"alg-geom/9711031","Jim Bryan","Jim Bryan and Naichung Conan Leung","The enumerative geometry of K3 surfaces and modular forms","24 pages, LaTeX2e with eepic macros",,,,"alg-geom hep-th math.AG",,"  We prove the conjectures of Yau-Zaslow and Gottsche concerning the number
curves on K3 surfaces. Specifically, let X be a K3 surface and C be a
holomorphic curve in X representing a primitive homology class. We count the
number of curves of geometric genus g with n nodes passing through g generic
points in X in the linear system |C| for any g and n satisfying C^2=2g+2n-2.
  When g=0, this coincides with the enumerative problem studied by Yau and
Zaslow who obtained a conjectural generating function for the numbers.
Recently, Gottsche has generalized their conjecture to arbitrary g in terms of
quasi-modular forms. We prove these formulas using Gromov-Witten invariants for
families, a degeneration argument, and an obstruction bundle computation. Our
methods also apply to P^2 blown up at 9 points where we show that the ordinary
Gromov-Witten invariants of genus g constrained to g points are also given in
terms of quasi-modular forms.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 23:21:11 GMT""}]","2007-05-23"
"alg-geom/9711032","Viacheslav V. Nikulin","Viacheslav V. Nikulin","On the classification of hyperbolic root systems of the rank three. Part
  I","AMS-Tex, 58 pages, no figures",,,,"alg-geom hep-th math.AG math.QA q-alg",,"  It was recently understood that from the point of view of automorphic
Lorentzian Kac-Moody algebras and some aspects of Mirror Symmetry, interesting
hyperbolic root systems should have restricted arithmetic type and a
generalized lattice Weyl vector. One can consider hyperbolic root systems with
these properties as an appropriate hyperbolic analog of the classical finite
and affine root systems.
  This series of papers is devoted to classification of hyperbolic root systems
of restricted arithmetic type and with a generalized lattice Weyl vector
$\rho$, having the rank 3 (it is the first non-trivial rank). In the Part I we
announce classification of the maximal hyperbolic root systems of elliptic
(i.e. $\rho^2 >0$) and parabolic (i.e. $\rho^2=0$) type, having the rank 3. We
give sketch of the proof. Details of the proof and further results (non-maximal
cases) will be given in Part II. Classification for hyperbolic type (i.e.
$\rho^2<0$) and applications will be considered in Part III.
","[{""version"":""v1"",""created"":""Tue, 25 Nov 1997 14:01:09 GMT""}]","2007-05-23"
"astro-ph/9711281","Gary Mamon","G.A. Mamon (IAP & DAEC, Meudon), M. Tricottet (IAP), W. Bonin (IAP) &
  V. Banchet (IAP & CYBEL, SA)","Galaxies and Cosmology with DENIS","Invited review, XVIIth Moriond Astrophysics Meeting, Les Arcs,
  France, March 1997, eds. G.A. Mamon, T.X. Thuan & J. Tran Van Thanh (Paris:
  Frontieres) 12 pages, LaTeX2e, uses psfig, 5 PS and 3 gif figures","Extragalactic Astronomy in the Infrared, pp. 369-380 (1997)",,"IAP-199711003","astro-ph",,"  The DENIS survey is currently imaging 21334 deg^2 of the mainly southern sky
in the IJK and the observations are expected to go on until mid 2000. The
expectations for extragalactic and cosmological research are outlined,
including a quantitative assessment of the effects of recent star formation on
the measured fluxes of galaxies. The galaxy extraction is much improved with
the modeling of the PSF across the 12'x12' frames and the reliability of
star/galaxy separation (currently based upon a combination of classical and
neural-network based methods) is measured from visual inspection to be >90% at
I = 16. The I band counts follow the high bright-end normalization and the J
differential counts follow N(J) \simeq 11 \times dex [0.6 (J-14)] deg^{-2}
mag^{-1} and are expected to be complete, reliable and photometrically accurate
(\Delta m < 0.1) for J \leq 14.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 16:08:57 GMT""}]","2009-09-25"
"astro-ph/9711282","Shuang Nan Zhang","S. N. Zhang (1,2) W. Yu (1,4) W. Zhang (3) ((1) ES-84, NASA/Marshall
  Space Flight Center, Huntsville, AL, USA; (2) Universities Space Research
  Association; (3) NASA/GSFC, Greenbelt, MD; (4) LCRHEA, Institute of High
  Energy Physics, Beijing, China)","Spectral State Transitions in Aql X-1: Evidence for `Propeller' Effects","17 pages, including two PostScript figures and one table. Accepted
  for publication in Astrophysical Journal, Letters",,"10.1086/311161",,"astro-ph",,"  Aql X-1 is a soft X-ray transient source and emits type I X-ray bursts. A
spectral state transition was observed with RXTE during its outburst decay in
February and March 1997. Its 10-30 keV and 5-10 keV count rate ratio increased
suddenly when its luminosity was between (4-12) E35 ergs/s, assuming a 2.5 kpc
distance. Spectral fitting with a model composed of a blackbody and a power-law
components showed that its blackbody component decreased and the power-law
became much harder significantly and simultaneously. We interpret this
transition as caused by the centrifugal barrier, or commonly known as the
`propeller' effect. We thus infer that the magnetic field strength of the
neutron star is around 1E8 Gauss, if the neutron star spin period is 1.8 ms.
Similarly we infer the neutron star magnetic field strength in another soft
X-ray transient Cen X-4 is about 2E9 Gauss. We also propose a unified scheme
for spectral state transitions in soft X-ray transients, from soft high state
to hard low state and further to quiescent state. With this scheme accretion
onto neutron star may take place even during the propeller regime.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 17:19:48 GMT""}]","2009-10-30"
"astro-ph/9711283","Frank Wang","F. Y.-H. Wang, M. Ruderman, J. P. Halpern, and T. Zhu","Models for X-Ray Emission from Isolated Pulsars","34 pages, 7 figures",,"10.1086/305532",,"astro-ph",,"  A model is proposed for the observed combination of power-law and thermal
emission of keV X-rays from rotationally powered pulsars. For gamma-ray pulsars
with accelerators very many stellar radii above the neutron star surface, 100
MeV curvature gamma-rays from $e^{-}$ or $e^{+}$ flowing starward out of such
accelerators are converted to electron-positron pairs on closed field lines all
around the star. These pairs strongly affect X-ray emission from near the star
in two ways. (1) The pairs are a source of synchrotron emission immediately
following their creation in regions where $B \sim 10^{10}$ G. This emission, in
the photon energy range 0.1 keV $\lesssim E_{X} \lesssim$ 5 MeV, has a
power-law spectrum with energy index 0.5 and X-ray luminosity that depends on
the backflow current, and is typically $\sim 10^{33}$ \lum. (2) The pairs
ultimately form a cyclotron resonance ``blanket'' surrounding the star except
for two holes along the open field line bundles which pass through it. In such
a blanket the gravitational pull on electron-positron pairs toward the star is
balanced by the hugely amplified push of outflowing surface emitted X-rays
wherever cyclotron resonance occurs. Because of it the neutron star is
surrounded by a leaky ``hohlraum'' of hot blackbody radiation with two small
holes, which prevents direct X-ray observation of a heated polar cap of a
gamma-ray pulsar. Weakly spin-modulated radiation from the blanket together
with more strongly spin-modulated radiation from the holes through it would
then dominate observed low energy (0.1--10 keV) emission. For non-gamma-ray
pulsars, in which no such accelerators with their accompanying extreme
relativistic backflow toward the star are ...
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 17:59:07 GMT""}]","2009-10-30"
"astro-ph/9711284","Anita Krishnamurthi","Anita Krishnamurthi (1), D. M. Terndrup (1), M. H. Pinsonneault (1),
  K. Sellgren (1), John R. Stauffer (2), R. Schild (2), D. E. Backman (3), K.
  B. Beisser (3), D. B. Dahari (3), A. Dasgupta (3), J. T. Hagelgans (3) M. A.
  Seeds (3), Rajan Anand (4), Bentley D. Laaksonen (4), Laurence A. Marschall
  (4) and T. Ramseyer (4) ((1) OSU, (2) SAO, (3) Franklin & Marshall College,
  (4) Gettysburg College)","New rotation periods in the Pleiades: Interpreting activity indicators","24 pages, LaTex (AASTeX); includes 8 postscript figures and 4 Latex
  tables. To appear in ApJ, Feb. 1, 1998. Postscript version of preprint can be
  obtained from http://casa.colorado.edu/~anitak/pubs.html",,"10.1086/305173",,"astro-ph",,"  We present results of photometric monitoring campaigns of G, K and M dwarfs
in the Pleiades carried out in 1994, 1995 and 1996. We have determined rotation
periods for 18 stars in this cluster. In this paper, we examine the validity of
using observables such as X-ray activity and amplitude of photometric
variations as indicators of angular momentum loss. We report the discovery of
cool, slow rotators with high amplitudes of variation. This contradicts
previous conclusions about the use of amplitudes as an alternate diagnostic of
the saturation of angular momentum loss. We show that the X-ray data can be
used as observational indicators of mass-dependent saturation in the angular
momentum loss proposed on theoretical grounds.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 18:15:37 GMT""}]","2009-10-30"
"astro-ph/9711285","Zlatan Tsvetanov","R. Morganti, T. Oosterloo, and Z. Tsvetanov","A Radio Study of the Seyfert Galaxy IC 5063: Evidence for Fast Gas
  Outflow","18 pages, 8 Postscript figures, 3 jpeg figures, Postscript preprint
  is available from http://jhufos.pha.jhu.edu/~zlatan/papers.html",,"10.1086/300236","IRA-97-111","astro-ph",,"  New radio continuum (8 GHz and 1.4 GHz) and HI 21 cm line observations of the
Seyfert 2 galaxy IC 5063 (PKS 2048-572) were obtained with the Australia
Telescope Compact Array (ATCA). The 8 GHz image reveals a linear triple
structure (~4'', 1.5 kpc) oriented perpendicular to the optical polarization
position angle. It is aligned with the inner dust lane and shows strong
morphological association with the narrow emission line region (NLR). At 21 cm,
very broad (~700 km/s) HI absorption is observed against the strong continuum
source. This absorption is almost entirely blueshifted, indicating a fast net
outflow, but a faint and narrow redshifted component is also present. In IC
5063 we see clear evidence for strong shocks resulting from the radio
plasma-ISM interaction in the central few kpc. However, the energy flux in the
radio plasma is an order of magnitude smaller than the energy emitted in
emission lines. Thus, shocks are unlikely to account solely for the global
ionization of the emission line region, particularly at large distances.
  The HI emission outlines a warped disk associated with the system of dust
lanes some ~2' (~38 kpc) in radius. The lack of kinematically disturbed gas
outside the central few kpc, coupled with the disk warp and close morphological
connection of the inner dust lanes and the large-scale ionized gas, support the
idea that the gas at large radii is photoionized by the central region, while
shadowing effects are important in defining its X-shaped morphology. The
kinematics of the ionized and of the neutral gas suggests the existence of a
dark halo.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 19:16:06 GMT""}]","2009-10-30"
"astro-ph/9711286","Mark Strickman","M. S. Strickman (NRL), M. Tavani (Columbia University), M. J. Coe
  (University of Southampton), I. A. Steele (Liverpool John Moores University),
  J. Fabregat (Universidad de Valencia), J. Marti (Centre d'Etudes de Saclay),
  J. M. Paredes (Universitat de Barcelona), P. S. Ray (NRL/NRC)","A Multiwavelength Investigation of the Relationship Between 2CG135+1 and
  LSI+61o 303","17 pages, 9 figures, 6 tables to be published in Astrophysical
  Journal, 10 April 1998",,"10.1086/305446","7-1221.1-1467","astro-ph",,"  We present the results of a multiwavelength monitoring campaign targeting the
gamma-ray source 2CG 135+1 in an attempt to confirm the association of this
object with the radio/Be/X-ray binary system LSI +61o 303. The campaign
included simultaneous radio, optical, infrared, and hard x-ray/gamma-ray
observations carried out with a variety of instruments, covering (not
continously) almost three binary cycles of LSI +61o 303 during the period
April-July 1994. Three separate OSSE observations of the gamma-ray source were
carried out, covering different phases of the radio lightcurve. Hard
X-ray/gamma-ray emission was detected from the direction of 2CG 135+1 during
the first of these OSSE observations. The signal to noise ratio of the OSSE
observations was insufficient to establish a spectral or intensity correlation
of the high-energy emission with simultaneous radio, optical and infrared
emission of LSI +61o 303. We briefly discuss the theoretical implications of
our observations.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 20:34:42 GMT""}]","2009-10-30"
"astro-ph/9711287","Keith Jahoda","Keith Jahoda","Present Epoch Plus - An X-ray Survey for Cosmology","4 pages, contributed to the proceedings of the Potsdam Workshop on
  X-ray Surveys, to be published in Astron. Nach. 319 (1998); uses
  xsurv_article.cls (included)",,"10.1002/asna.2123190159",,"astro-ph",,"  This paper summarizes some cosmologically interesting measurements which are
uniquely possible in the hard X-ray band and presents a mission concept capable
of achieving them. The Present Epoch Plus mission will achieve a surface
brightness sensitivity of better than 1% per square degree in the 2-10 keV
band, and create a catalog of about 10^6 sources. About 160,000 extragalactic
sources are expected to be detected in the 2-10 keV band, providing an all sky
survey with nearly uniform selection effects 10 times deeper than exisiting or
planned surveys. The PEP concept can be achieved within the size and budgetary
constraints of a NASA Medium Explorer (MIDEX) mission.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 21:31:38 GMT""}]","2015-06-24"
"astro-ph/9711288","Sean Carroll","Greg W. Anderson and Sean M. Carroll","Dark Matter with Time-Dependent Mass","14 pages, 2 figures; based on a talk by SMC at Cosmo-97, September
  1997, Ambleside, England. Important references added",,"10.1142/9789814447263_0025","NSF-ITP-97-146","astro-ph hep-ph",,"  We propose a simple model in which the cosmological dark matter consists of
particles whose mass increases with the scale factor of the universe. The
particle mass is generated by the expectation value of a scalar field which
does not have a stable vacuum state, but which is effectively stabilized by the
rest energy of the ambient particles. As the universe expands, the density of
particles decreases, leading to an increase in the vacuum expectation value of
the scalar (and hence the mass of the particle). The energy density of the
coupled system of variable-mass particles (``vamps'') redshifts more slowly
than that of ordinary matter. Consequently, the age of the universe is larger
than in conventional scenarios.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 22:45:25 GMT""},{""version"":""v2"",""created"":""Wed, 26 Nov 1997 00:39:18 GMT""}]","2016-10-26"
"astro-ph/9711289","Maxim Markevitch","M. Markevitch (CfA), W. R. Forman (CfA), C. L. Sarazin (UVA), and A.
  Vikhlinin (CfA)","The Temperature Structure of 30 Nearby Clusters Observed with ASCA.
  Similarity of Temperature Profiles","Added 4 clusters, updated one; added discussion of several outliers.
  Accepted for ApJ. Latex, 20 pages with figures, uses emulateapj.sty","Astrophys.J. 503 (1998) 77","10.1086/305976",,"astro-ph",,"  We present ASCA temperature profiles and, when possible, crude temperature
maps for a sample of bright clusters with 0.04<z<0.09. Together with several
previously published clusters, the sample includes A85, A119, A399, A401, A478,
A644, A754, A780, A1650, A1651, A1795, A2029, A2065, A2142, A2256, A2319,
A2597, A2657, A3112, A3266, A3376, A3391, A3395, A3558, A3571, A3667, A4059,
Cygnus A, MKW3S, and Triangulum Australis. Nearly all clusters show a
significant radial temperature decline. For a typical 7 keV cluster, the
temperature decline between 1 and 6 X-ray core radii (0.15 and 0.9/h Mpc) can
be approximately quantified by a polytropic index of 1.2-1.3. Assuming such a
polytropic temperature profile, the gravitating mass within 1 and within 6 core
radii is approximately 1.35 and 0.7 times the isothermal beta-model estimates,
respectively.
  Most interestingly, we find that temperature profiles, excluding those for
the most asymmetric clusters, appear remarkably similar when plotted against
radius in units of the estimated virial radius. We compare the composite
temperature profile to the published hydrodynamic simulations. The observed
profiles appear steeper than those in most Lagrangian simulations (Evrard etal
1996; Eke etal 1997). The predictions for Omega=1 models are most discrepant,
while models with low Omega are closer to our data. We note, however, that at
least one Omega=1 Lagrangian simulation (Katz & White 1993) and the recent
high-resolution Eulerian simulation (Bryan & Norman 1997) produced clusters
with temperature profiles similar to or steeper than those observed. Our
results thus provide a new constraint for adjusting numerical simulations and,
potentially, discriminating among models of cluster formation. (ABRIDGED)
","[{""version"":""v1"",""created"":""Tue, 25 Nov 1997 02:10:56 GMT""},{""version"":""v2"",""created"":""Fri, 6 Mar 1998 00:38:42 GMT""}]","2009-10-30"
