"alg-geom/9711019",,"Victor V. Batyrev","Stringy Hodge numbers and Virasoro algebra","10 pages, AMSLaTeX",,,,"alg-geom hep-th math.AG",,"  Let $X$ be an arbitrary smooth $n$-dimensional projective variety. It was
discovered by Libgober and Wood that the product of the Chern classes
$c_1(X)c_{n-1}(X)$ depends only on the Hodge numbers of $X$. This result has
been used by Eguchi, Jinzenji and Xiong in their approach to the quantum
cohomology of $X$ via a representation of the Virasoro algebra with the central
charge $c_n(X)$. In this paper we define for singular varieties $X$ a rational
number $c_{st}^{1,n-1}(X)$ which is a stringy version of the number
$c_1c_{n-1}$ for smooth $n$-folds. We show that the number $c_{st}^{1,n-1}(X)$
can be expressed in the same way using the stringy Hodge numbers of $X$. Our
results provides an evidence for the existence of an approach to quantum
cohomology of singular varieties $X$ via a representation of the Virasoro
algebra whose central charge is the rational number $e_{st}(X)$ which equals
the stringy Euler number of $X$.
","[{""version"":""v1"",""created"":""Sun, 16 Nov 1997 22:03:30 GMT""}]","2007-05-23"
"astro-ph/9711177","Matthew Baring","Matthew G. Baring","Diffusive Shock Acceleration: the Fermi Mechanism","10 pages, including 2 eps figures, invited review in Proc. of XXXIInd
  Rencontres de Moriond, ""Very High Energy Phenomena in the Universe,"" eds.
  Giraud-Heraud, Y. & Tran Thanh Van, J., (Editions Frontieres, Paris), p. 97",,,,"astro-ph",,"  The mechanism of diffusive Fermi acceleration at collisionless plasma shock
waves is widely invoked in astrophysics to explain the appearance of
non-thermal particle populations in a variety of environments, including sites
of cosmic ray production, and is observed to operate at several sites in the
heliosphere. This review outlines the principal results from the theory of
diffusive shock acceleration, focusing first on how it produces power-law
distributions in test-particle regimes, where the shock dynamics are dominated
by the thermal populations that provide the seed particles for the acceleration
process. Then the importance of non-linear modifications to the shock
hydrodynamics by the accelerated particles is addressed, emphasizing how these
subsequently influence non-thermal spectral formation.
","[{""version"":""v1"",""created"":""Sun, 16 Nov 1997 16:28:55 GMT""}]","2007-05-23"
"astro-ph/9711178","Eelco van Kampen","Eelco van Kampen (Theoretical Astrophysics Center, Copenhagen,
  Denmark)","Cluster mass estimation from lens magnification","4 pages including 1 figure, LaTex, using sprocl.sty (included), To
  appear in proceedings ""Large Scale Structure: tracks and traces"", Potsdam
  1997, World Scientific",,,,"astro-ph",,"  The mass of a cluster of galaxies can be estimated from its lens
magnification, which can be determined from the variation in number counts of
background galaxies. In order to derive the mass one needs to make assumptions
for the lens shear, which is unknown from the variation in number counts alone.
Furthermore, one needs to go beyond the weak lensing (linear) approximation as
most of the observational data is concentrated in the central parts of
clusters, where the lensing is strong. By studying the lensing properties of a
complete catalogue of galaxy cluster models, one can find reasonable
approximations about the lens shear as a function of the lens convergence. We
show that using these approximations one can fairly well reconstruct the
surface mass distribution from the magnification alone.
","[{""version"":""v1"",""created"":""Sun, 16 Nov 1997 16:55:37 GMT""}]","2007-05-23"
"astro-ph/9711179","Asantha R. Cooray","Asantha Cooray","Gravitational Lens Image Separations versus Redshift as a Cosmological
  Test","withdrawn",,,,"astro-ph",,"  This preprint, or a revised version, was never published as it was based on
and included unacknowledged material from Helbig, P. (1997) `The Delta
theta-z_s relation as a cosmological test', first presented at the 12th Potsdam
Cosmology Workshop (V. M""uller, S. Gottl""ober, J.-P. M""ucket & J. Wambsganss
(eds), Singapore: World Scientific, pp. 319--20) and that I wanted this paper,
rather than mine, to receive full credit for the work under discussion. I am
withdrawing my preprint to further emphasize that I take no credit and note
that astro-ph/9804104 by P. Helbig (1998) (MNRAS, 298, 2, 395 (1998)) contains
fully detailed arguments, using the complete JVAS sample and other techniques,
against the claim made by Park & Gott in astro-ph/9702173 (1997) (ApJ, 489,
476).
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 03:01:21 GMT""},{""version"":""v2"",""created"":""Mon, 15 Jan 2001 14:48:35 GMT""}]","2007-05-23"
"astro-ph/9711180","Ue-Li Pen","Ue-Li Pen","Reconstructing Nonlinear Stochastic Bias from Velocity Space Distortions","15 pages incl 2 figures, submitted to ApJ",,"10.1086/306098",,"astro-ph",,"  We propose a strategy to measure the dark matter power spectrum using minimal
assumptions about the galaxy distribution and the galaxy-dark matter
cross-correlations. We argue that on large scales the central limit theorem
generically assures Gaussianity of each smoothed density field, but not
coherence. Asymptotically, the only surviving parameters on a given scale are
galaxy variance $\sigma$, bias $b=\Omega^{.6}/\beta$ and the galaxy-dark matter
correlation coefficient $r$. These can all be determined by measuring the
quadrupole and octupole velocity distortions in the power spectrum. Measuring
them simultaneously may restore consistency between all $\beta$ determinations
independent of galaxy type.
  The leading deviations from Gaussianity are conveniently parameterized by an
Edgeworth expansion. In the mildly non-linear regime, two additional parameters
describe the full picture: the skewness parameter $s$ and non-linear bias
$b_2$. They can both be determined from the measured skewness combined with
second order perturbation theory or from an N-body simulation. By measuring the
redshift distortion of the skewness, one can measure the density parameter
$\Omega$ with minimal assumptions about the galaxy formation process. This
formalism also provides a convenient parametrization to quantify statistical
galaxy formation properties.
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 06:47:48 GMT""}]","2009-10-30"
"astro-ph/9711181","Chris Churchill","Christopher W. Churchill and Jane C. Charlton (Penn State University)","Kinematics and Cloud to Cloud Abundance Ratios: A Rosetta Stone for Disk
  and Halo Components in Mg II Absorbers","3 pages; Latex; paspconf.sty; figures included; To appear in the
  Proceedings of the UC Santa Cruz Workshop on Galactic Halos (ed. D. Zaritsky)",,,,"astro-ph",,"  Based upon QSO absorption line studies, galaxies at 0.3 < z < 1.0 are seen to
have extended gaseous ""halos"". When the absorption lines are observed at high
resolution, the velocity distribution of the absorbing gas gives clues as to
where this gas actually arises in and around the galaxies. Cloud to cloud
abundance ratios provide further clues, given that the ionization conditions
and chemical evolution histories of outer halos clouds, spiral disk clouds, and
clouds in elliptical galaxies are different. The key to interpreting the high
redshift data is the Milky Way galaxy, the absorption line ""Rosetta stone.""
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 06:54:52 GMT""}]","2007-05-23"
"astro-ph/9711182","Inigo Garcia Ruiz","I. Garcia-Ruiz (1), K. Kuijken (1), J. Dubinski (2). ((1) Kapteyn
  Astronomical Institute, (2) CITA)","Warps and Secondary Infall","3 pages, with 3 figures. Proceedings of the Halo Workshop, UC Santa
  Cruz, (Aug, 1997). LaTeX, using PASP macro paspconf.sty",,,,"astro-ph",,"  Secondary infall in galaxies could cause the angular momentum of the outer
halo to change its orientation. The generation of warps due to this effect is
studied using N-body simulations.
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 10:16:07 GMT""}]","2007-05-23"
"astro-ph/9711183","Martin Pohl","Martin Pohl, Gottfried Kanbach, Stan D. Hunter, Brian B. Jones","The pulsar contribution to the diffuse galactic gamma-ray emission","17 pages, ApJ 491, in press",,,"DRI 97-1","astro-ph",,"  There is active interest in the extent to which unresolved gamma-ray pulsars
contribute to the galactic diffuse emission, and whether unresolved gamma-ray
pulsars could be responsible for the excess of diffuse galactic emission above
1 GeV which has been observed by EGRET. The diffuse gamma-ray intensity due to
unresolved pulsars is directly linked to the number of objects which should be
observed in the EGRET data. We can therefore use our knowledge of the
unidentified EGRET sources to constrain model parameters like the pulsar birth
rate, their beaming angle, etc. This analysis is based only on the properties
of the six pulsars which have been identified in the EGRET data, and is
independent of choice of a pulsar emission model. We find that pulsars
contribute very little to the diffuse emission at lower energies, whereas above
1 GeV they can account for 18% of the observed intensity in selected regions
for a reasonable number of directly observable gamma-ray pulsars (14). The
latitude distribution of the diffuse emission caused by unresolved pulsars is
narrower than that of the observed diffuse emission. While the excess above 1
GeV gamma-ray energy is observed up to at least 6-8 degrees off the plane, the
pulsar contribution would be small there. Thus pulsars do significantly
contribute to the diffuse galactic gamma-ray emission above 1 GeV, but they can
not be made responsible for all the discrepancy between observed intensity and
model predictions in this energy range.
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 10:22:13 GMT""}]","2007-05-23"
"astro-ph/9711184","Combes","F. Combes (Paris Observatory) and T. Wiklind (Onsala Observatory)","Molecular lines in absorption: recent results","8 pages, 4 figures, to be published in Proceedings of Green-Bank
  Conference, 9-11 October 1997, ed. C. Carilli",,,,"astro-ph",,"  Some recent results are presented about high redshift molecular absorption
lines, namely about chemical abundances of elements, and in particular of water
and molecular oxygen. Excitation temperatures of several molecules are found
lower than the cosmic background temperature at the corresponding redshift
z=0.88582 in PKS1830-211, and interpretations are proposed. The radio flux
monitoring of the two gravitational images of PKS1830-211 is presented over
almost two years, but precise calibration is still preventing the determination
of the time-delay without ambiguity. The high spectral resolution of radio
observations allows to put constraints on the variation of the fine-structure
constant over a large fraction of the Hubble time.
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 12:29:22 GMT""}]","2007-05-23"
"astro-ph/9711185","Douglas Heggie","D. C. Heggie (University of Edinburgh)","Star Cluster Simulations","10 pages, postscript, also available at
  http://www.maths.ed.ac.uk/people/douglas/preprints.html To appear in T.
  Ebisuzaki, ed, Proc. Int. Symp. on Supercomputing - New Horizon of
  Computational Science, Tokyo, Japan, 1-3 September, 1997. Kluwer, Dordrecht",,,,"astro-ph",,"  The simulation of rich star clusters presents challenging problems of several
kinds, including the design of suitable hardware and software, and numerous
theoretical problems in stellar dynamics and stellar physics. Great progress
has been made possible in recent years through the widespread use of GRAPE
hardware. Simulations are, however, still too small to be applied to real star
clusters without scaling. How this is done is partly an issue of stellar
dynamics, and it has thrown into focus a number of fundamental theoretical
problems in this field.
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 13:52:02 GMT""}]","2007-05-23"
"astro-ph/9711186","Matthew Baring","Matthew G. Baring","Gamma-ray Production in Supernova Remnants","10 pages, including 2x2 eps figures, invited review in Proc. of
  XXXIInd Rencontres de Moriond, ""Very High Energy Phenomena in the Universe,""
  eds. Giraud-Heraud, Y. & Tran Thanh Van, J., (Editions Frontieres, Paris), p.
  107",,,"MGB-97-03","astro-ph",,"  Supernova remnants are widely believed to be a principal source of galactic
cosmic rays, produced by diffusive shock acceleration in the environs of the
remnant's expanding shock. This review discusses recent modelling of how such
energetic particles can produce gamma-rays via interactions with the remnants'
ambient interstellar medium, specifically via neutral pion decay,
bremsstrahlung and inverse Compton emission. Predictions that relate to the
handful of associations between EGRET unidentified sources and known
radio/optical/X-ray emitting remnants are summarized. The cessation of
acceleration above 1 TeV - 10 TeV energies in young shell-type remnants is
critical to model consistency with Whipple's TeV upper limits; these
observations provide important diagnostics for theoretical models.
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 15:18:44 GMT""}]","2007-05-23"
