"alg-geom/9710029","Tomas L. Gomez","Tomas L. Gomez","Irreducibility of the moduli space of vector bundles on surfaces and
  Brill-Noether theory on singular curves","Revised PhD thesis (Princeton, 1997), 64 pages, 1 figure, LaTeX2e,
  Xy-pic",,,,"alg-geom math.AG",,"  We prove the irreducibility of the moduli space of rank 2 semistable torsion
free sheaves (with a generic polarization and any value of c_2) on a K3 or a
del Pezzo surface. In the case of a K3 surface, we need to prove a result on
the connectivity of the Brill-Noether locus for singular curves on the surface.
"cond-mat/9710284","Harry Westfahl Junior","H. Westfahl Jr., A.O. Caldeira, D. Baeriswyl, and E. Miranda","Solution of the X-ray edge problem for 2D electrons in a magnetic field","4 pages, 1 figure",,"10.1103/PhysRevLett.80.2953",,"cond-mat.mes-hall cond-mat.str-el",,"  The absorption and emission spectra of transitions between a localized level
and a two-dimensional electron gas, subjected to a weak magnetic field, are
calculated analytically. Adopting the Landau level bosonization technique
developed in previous papers, we find an exact expression for the relative
intensities of spectral lines. Their envelope function, governed by the
interaction between the electron gas and the core hole, is reminescent of the
famous Fermi edge singularity, which is recovered in the limit of a vanishing
magnetic field.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 14:18:45 GMT""}]","2009-10-30"
"cond-mat/9710285","S. G. den Hartog","S.G. den Hartog and B.J. van Wees","Comment on ""Conductance fluctuations in mesoscopic
  normal-metal/superconductor samples""","1 page",,"10.1103/PhysRevLett.80.5023",,"cond-mat.mes-hall cond-mat.supr-con",,"  Recently, Hecker et al. [Phys. Rev. Lett. 79, 1547 (1997)] experimentally
studied magnetoconductance fluctuations in a mesoscopic Au wire connected to a
superconducting Nb contact. They claimed to have observed an enhancement of the
rms magnitude of these conductance fluctuations in the superconducting state
(rms(Gns)) relative to that in the normal state (rms(Gn)) by a factor of 2.8.
In this comment, we argue that the measured rms(Gns) is NOT significantly
enhanced compared to rms(Gn) when we correct for the presence of an incoherent
series resistance from the contacts, which is different when Nb is in the
superconducting or normal state.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 14:35:28 GMT""}]","2009-10-30"
"cond-mat/9710286","Norbert Elstner","Norbert Elstner (University of Bonn, Germany) Rajiv. R. P. Singh
  (University of California, Davis)","Strong-coupling Expansions at Finite Temperatures: Application to
  Quantum Disordered and Quantum Critical Phases","Revtex, 10 pages, 6 figures (postscript)",,"10.1103/PhysRevB.57.7740",,"cond-mat.str-el",,"  By combining conventional finite-temperature many-body perturbation theory
with cluster expansions, we develop a systematic method to carry out high order
arbitrary temperature perturbative calculations on the computer. The method is
well suited to studying the thermodynamic properties of quantum disordered and
quantum critical phases at finite temperatures. As an application, we calculate
the magnetic susceptibility, internal energy and specific heat of the bilayer
Heisenberg model. It is shown that for a wide range of coupling constants these
expansions show excellent convergence at all temperatures. Comparing the direct
series (without extrapolations) for the bulk susceptibility to Quantum Monte
Carlo simulations we find an almost perfect agreement between the two methods
even at the quantum critical coupling separating the dimerized and
antiferromagnetic phases. The convergence fails only at very low temperatures,
which are also difficult to reach by Quantum Monte Carlo simulations.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 14:39:10 GMT""}]","2009-10-30"
"dg-ga/9710028","Eugene Ferapontov","E.V. Ferapontov","Surfaces in Lie sphere geometry and the stationary Davey-Stewartson
  hierarchy","Latex, 31 pages",,,,"dg-ga math.DG",,"  We introduce two basic invariant forms which define generic surface in
3-space uniquely up to Lie sphere equivalence. Two particularly interesting
classes of surfaces associated with these invariants are considered, namely,
the Lie-minimal surfaces and the diagonally-cyclidic surfaces. For
diagonally-cyclidic surfaces we derive the stationary modified Veselov-Novikov
equation, whose role in the theory of these surfaces is similar to that of
Calapso's equation in the theory of isothermic surfaces. Since Calapso's
equation itself turns out to be related to the stationary Davey-Stewartson
equation, these results shed some new light on differential geometry of the
stationary Davey-Stewartson hierarchy. Diagonally-cyclidic surfaces are the
natural Lie sphere analogs of the isothermally-asymptotic surfaces in
projective differential geometry for which we also derive the stationary
modified Veselov-Novikov equation with the different real reduction. Parallels
between invariants of surfaces in Lie sphere geometry and reciprocal invariants
of hydrodynamic type systems are drawn in the conclusion.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 13:11:29 GMT""}]","2007-05-23"
"dg-ga/9710029","Vicente Munoz Velazquez","Vicente Mu\~noz","Ring structure of the Floer Cohomology of $\Sigma \times S^1$","13 pages, Latex2e",,,,"dg-ga math.DG",,"  We give a presentation for the Floer cohomology ring $HF^*(\Sigma \times
S^1)$, where $\Sigma$ is a Riemann surface of genus bigger than one, which
coincides with the conjectural presentation for the quantum cohomology ring of
the moduli space of flat SO(3)-connections of odd degree over $\Sigma$. We
study the spectrum of the action of the homology of $\Sigma$ on the Floer
cohomology and prove a physical assumption made by Vafa et al.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 14:06:26 GMT""}]","2007-05-23"
"gr-qc/9710113","Paulo Rodrigues Lima Vargas Moniz","P. V. Moniz (DAMTP, University of Cambridge)","Origin of Structure in a Supersymmetric Quantum Universe","3 pages, LaTeX, requires mprocl.sty available at
  http://shemesh.fiz.huji.ac.il/MG8/submission.html, talk given in the Early
  Universe session at the MG8 Conference","Phys.Rev.D57:7071-7074,1998","10.1103/PhysRevD.57.7071",,"gr-qc astro-ph hep-th",,"  In this report we advance the current repertoire of quantum cosmological
models to incorporate inhomogenous field modes in a supersymmetric manner. In
particular, we introduce perturbations about a supersymmetric FRW model. A
quantum state of our model has properties typical of the no-boundary
(Hartle--Hawking) proposal. This solution may then lead to a scale--free
spectrum of density perturbations.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 11:51:24 GMT""}]","2009-12-30"
"hep-ex/9710029","Hans Paar","William S. Brower and Hans P. Paar (University of California at San
  Diego, La Jolla, CA, USA)","A New Method for Selecting Exclusive Semileptonic Charmless B-Decays at
  $e^+ e^-$ Colliders at the $\Upsilon(4S)$","10 pages with 7 figures in subdirectory fig","Nucl.Instrum.Meth. A421 (1999) 411-416","10.1016/S0168-9002(98)01141-3",,"hep-ex",,"  We introduce a new method for selecting exclusive semileptonic charmless
B-decays in the presence of a large background. The method can be applied to
charged and neutral B-mesons decaying into any exclusive neutral or charged
hadronic final state. The method is designed for high luminosity $\eplemi$
colliders operating at the $\Upsilon(4S)$. It employs an improved partial
reconstruction technique for $\Dstar$-mesons and a novel 0-C event fit to both
B-meson's decay products resulting in the kinematics of all particles
(including neutrinos) in the event. The charged lepton energies are accessible
from $1.0 \GeV$ to the kinematic limit.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 01:18:37 GMT""}]","2016-08-31"
"hep-lat/9710088","Hartmut Wittig","Hartmut Wittig","Heavy quarks on the lattice: status and perspectives","12 pages, LaTeX + cimento.cls (provided), axodraw, 2 postscript
  files, lecture presented at International School of Physics, ""Enrico Fermi"",
  Varenna, Italy, 8-18 July 1997",,,"OUTP 97-59-P","hep-lat hep-ph",,"  The lattice method for the calculation of weak decay amplitudes of heavy
quark systems is introduced. Results for leptonic and semi-leptonic decays of
heavy mesons and $B-\bar{B}$ mixing are reviewed.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 10:23:48 GMT""}]","2007-05-23"
"hep-ph/9710470","Sunil Mukhi","Sunil Mukhi (Tata Institute of Fundamental Research, Mumbai)","Recent Developments in String Theory: A Brief Review for Particle
  Physicists","harvmac, 15 pages (b), two eps figures, Based on a talk delivered at
  the XII DAE Symposium on High-Energy Physics, Guwahati, December 1996",,,"TIFR/TH/97-55","hep-ph",,"  At the present time, string theory (and its generalizations) remain
relatively abstruse subjects to the particle phenomenologist and
experimentalist. Yet, striking developments of the last two years offer hope
that a fundamental non-perturbative formulation of this theory will be found,
and that this formulation will permit us to make contact with supersymmetric
standard-model physics. This article is based on a talk which attempted to
convey the essence of these recent developments in string theory, in a
non-technical manner, to an audience of particle theorists, phenomenologists
and experimentalists.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 06:02:34 GMT""}]","2007-05-23"
"hep-ph/9710475","Arthur Hebecker","A. Hebecker","Hard and Soft Colour Singlet Exchange in the Semiclassical Approach","6 pages LaTeX, 3 figures, Talk presented at the Madrid low-x
  Workshop, Miraflores de la Sierra, June 18-21, 1997",,"10.1142/9789814447256_0029",,"hep-ph",,"  In the present talk diffraction in deep inelastic scattering is discussed in
the framework of the semiclassical approach. The main emphasis is on the
possibility of a consistent semiclassical description of both hard and soft
colour singlet exchange processes. This approach allows the comparison of hard
and soft colour neutralization in diffractive electroproduction of
high-$p_\perp$ jets or heavy quarks.
","[{""version"":""v1"",""created"":""Sun, 26 Oct 1997 16:08:44 GMT""}]","2016-11-03"
"hep-ph/9710476",,"A.K. Likhoded and S.R. Slabospitsky (Serpukhov, IFVE)","On Mechanism of Charmed c-Quarks Fragmentation in Hadronic Collisions","18 pages, LaTeX, epsfig, 5 figures",,,"IHEP-97-66","hep-ph",,"  We propose a modification of the mechanism of charmed quarks fragmentation
into $D$ mesons in hadronic collisions. It is shown that the distinction in
valence quark distributions in the initial $\pi^{\pm}$ and $K^{\pm}$ mesons
leads to different inclusive spectra of $D$ and $D_s$ mesons produced in
$\pi^{\pm}$ and $K^{\pm}$ beams.
","[{""version"":""v1"",""created"":""Sun, 26 Oct 1997 17:53:39 GMT""}]","2007-05-23"
"hep-ph/9710477","Pran Nath","Pran Nath and R. Arnowitt","Non-universal Soft SUSY Breaking Effects on Dark Matter and on Physics
  at Colliders","Invited talk at the Workshop on Physics beyond the Standard Model
  -Accelerator and Non-Accelerator Approaches- Castle Ringberg, Germany, 8-14
  June 1997; 10 pages LaTex, 2 Postscript figures",,,,"hep-ph",,"  Implications of the effects of non-universalities of the soft SUSY breaking
parameters on dark matter and on physics at colliders is discussed.
","[{""version"":""v1"",""created"":""Sun, 26 Oct 1997 19:24:11 GMT""}]","2007-05-23"
"hep-ph/9710478","Lee Kang Young","Kang Young Lee (Yonsei U.)","Implications of the recent CERN LEP data on nonuniversal interactions
  with the precision electroweak tests","17 pages (including figs), ReVTeX, 5 .eps figs are included, to
  appear in Phys. Rev. D","Phys.Rev. D57 (1998) 598-601","10.1103/PhysRevD.57.598","YUMS 97--17","hep-ph",,"  We explore the nonuniversal interaction effects in terms of the precision
variables epsilons with the recent LEP data reported by the Electroweak Working
Group. The epsilon variables with the nonuniversal interactions are calculated
and constrained by the experimental ellipses in the $\epsilon_1$--$\epsilon_b$,
$\epsilon_2$--$\epsilon_b$, and $\epsilon_3$--$\epsilon_b$ planes. We find that
the new data enables us to make a stringent test on the correction to $Z \to b
\bar{b}$ vertex. The $\epsilon_b$ variable is sensitive to the $Z b \bar b$
couplings and thus plays a major role to give constraints on the nonuniversal
interaction effects. Upon imposing the new data on $\epsilon_b$, we have the
allowed range of the model parameter $\kappa_L = 0.0063 \pm 0.0030$ at
1-$\sigma$ level with $m_t = 175$ GeV. Along with the minimal contact term, we
predict the new physics scale $\Lambda \sim$ 1.6 TeV. By combining the
experimental results from all planes we obtain the allowed range of $\kappa_L$
: $0.003 < \kappa_L < 0.010$ at 95 % C.L..
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 02:57:17 GMT""}]","2009-10-30"
"hep-ph/9710479",,"K.-I. Izawa","Primary Inflation","4 pages, latex",,,"UT-794","hep-ph",,"  We consider an inflationary universe scenario with multiple stages of
inflation. The primary inflation, which may start at the Planck epoch, is
followed by secondary inflations, which include the cosmological inflation that
causes the primordial density fluctuations of our universe. We point out that
an initial condition for a secondary inflation is naturally realized if the
e-fold number of the primary inflation is sufficiently large.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 06:45:11 GMT""}]","2007-05-23"
"hep-ph/9710480","Akira Niegawa","A. Ni\'egawa","Perturbative QCD at finite temperature and density","21pages","Prog.Theor.Phys.Suppl.129:105-118,1997","10.1143/PTPS.129.105","OCU-PHYS 167","hep-ph",,"  This is a comprehensive review on the perturbative hot QCD including the
recent developments. The main body of the review is concentrated upon dealing
with physical quantities like reaction rates.
  Contents: \S1. Introduction, \S2. Perturbative thermal field theory: Feynman
rules, \S3. Reaction-rate formula, \S4. Hard-thermal-loop resummation scheme in
hot QCD, \S5. Effective action, \S6. Hard modes with $|P^2| \leq O (g^2 T^2)$,
\S7. Application to the computation of physical quantities, \S8. Beyond the
hard-thermal-loop resummation scheme, \S9. Conclusions.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 07:57:48 GMT""}]","2016-08-15"
"hep-ph/9710481","Arnd Leike","A. Leike","Form factors and radiative Corrections in Z' Physics","One reference added, 13 pages Latex, 1 figure, uses appb.sty
  (included) and epsf.sty, Lecture given at the XXI school of Theoretical
  Physics of the Katowice Univ., ``Recent progress in theory and phenomenology
  of fundamental interactions'', Ustro\'n, September 97","Acta Phys.Polon.B28:2495-2507,1997",,"LMU-14/97","hep-ph",,"  This lecture contains a pedagogical approach to the description of Z' physics
in the formalism of form factors. Usually, only electroweak corrections are
described by form factors, which modify the Weinberg angle and the overall
normalization. It is demonstrated how this formalism can be extended to include
different Born contributions. In the second part of the lecture, QCD and QED
corrections are considered. The development and consequences of the radiative
tail for a Z' search are discussed in detail.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 12:17:58 GMT""},{""version"":""v2"",""created"":""Wed, 29 Oct 1997 14:07:35 GMT""}]","2011-04-15"
"hep-ph/9710482","Name","M.Genovese, J.-M.Richard, B. Silvestre-Brac, K. Varga","Baryons Electromagnetic Mass Splittings in Potential Models","4 pages, Proc. of ISS97 Tashkent 6-13 Oct. 97",,,"ISN 97.98","hep-ph",,"  We study electromagnetic mass splittings of charmed baryons. We point out
discrepancies among theoretical predictions in non-relativistic potential
models. None of them seems supported by experimental data. A new calculation is
presented.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 13:07:41 GMT""}]","2007-05-23"
"hep-ph/9710483","Robert Peschanski","R. Peschanski (Service de Physique Th\'eorique de Saclay)","Is QCD at small x a string theory?","8 pages, no figures, LaTeX. Proceedings of the Madrid low-x workshop
  on deep inelastic scattering held at Miraflores de la Sierra, June 18-21,
  1997 (shortened mixture of hep-ph/9704342 and PLB 409 (1997) 491)",,"10.1142/9789814447256_0006",,"hep-ph hep-th",,"  Using the dipole picture describing the $1/N_C$ limit of QCD at small $x$ and
the conformal invariance properties of the BFKL kernel in transverse coordinate
space, we show that the 1->p dipole densities can be expressed in terms of dual
Shapiro-Virasoro amplitudes B_{2p+2} and their generalization including
non-zero conformal spins. We discuss the possibility of an effective closed
string theory of interacting QCD dipoles.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 13:37:38 GMT""}]","2016-11-03"
"hep-th/9710194","D. V. Antonov","D.V.Antonov (Humboldt University, Berlin and ITEP, Moscow)","'t Hooft Loop Average in the Vicinity of the Londons' Limit and the
  Quartic Cumulant of the Field Strength Tensors","5 pages, LaTeX, references are added",,,,"hep-th",,"  The next-to-leading term in the weight factor of the string representation of
the 't Hooft loop average defined on the string world-sheet is found in the
Abelian Higgs Model near the Londons' limit. This term emerges due to the
finiteness of the coupling constant and, in contrast to the Londons' limit,
where only the bilocal cumulant in the expansion of the 't Hooft average
survived, leads to the appearance of the quartic cumulant. Apart from the
Londons' penetration depth of the vacuum, which was a typical fall-off scale of
the bilocal cumulant, the quartic cumulant depends also on the other
characteristic length of the Abelian Higgs Model, the correlation radius of the
Higgs field.
","[{""version"":""v1"",""created"":""Sun, 26 Oct 1997 19:17:39 GMT""},{""version"":""v2"",""created"":""Thu, 27 Nov 1997 19:33:56 GMT""},{""version"":""v3"",""created"":""Fri, 28 Nov 1997 18:00:51 GMT""},{""version"":""v4"",""created"":""Wed, 17 Dec 1997 11:34:04 GMT""}]","2007-05-23"
"hep-th/9710195","Konstantin Selivanov","K.Selivanov","Self-dual Perturbiner in Yang-Mills theory","4 pages, Latex, to appear in Proceedings of the Europhysics
  conference on HEP, Jerusalem'97",,,,"hep-th hep-ph",,"  The perturbiner approach to the multi-gluonic amplitudes in Yang-Mills theory
is reviewed.
","[{""version"":""v1"",""created"":""Sun, 26 Oct 1997 21:02:10 GMT""}]","2007-05-23"
"hep-th/9710196","Konstantin Selivanov","A.Rosly, K.Selivanov","Gravitational SD Perturbiner","4 pages, Latex",,,"ITEP-TH-97-56","hep-th gr-qc hep-ph",,"  We present here an explicit self-dual classical solution of the type of
perturbiner in gravity. This solution is a generating function for tree
gravitational form-factors with all on-shell gravitons in the same helicity
state.
","[{""version"":""v1"",""created"":""Sun, 26 Oct 1997 21:02:58 GMT""}]","2007-05-23"
"hep-th/9710197","Konstantin Selivanov","K.Selivanov","SD Perturbiner in YM+Gravity","8 pages, Latex","Phys.Lett. B420 (1998) 274-278","10.1016/S0370-2693(97)01514-1","ITEP-TH-97-59","hep-th gr-qc hep-ph",,"  An explicit self-dual classical solution of the type of perturbiner in
Yang-Mills theory interacting with gravity is obtained. This allows one to
describe the tree self-dual gluonic form-factors including any number of
positive-helicity gravitons in addition to the positive helicity gluons.
","[{""version"":""v1"",""created"":""Sun, 26 Oct 1997 21:03:43 GMT""}]","2009-10-30"
"hep-th/9710198","Gregory Moore","Gregory Moore","String duality, automorphic forms, and generalized Kac-Moody algebras","12 pages, latex. Talk at the Trieste conference on Duality
  Symmetries. Replaced version has a confusing misprint in equation 22 fixed","Nucl.Phys.Proc.Suppl.67:56-67,1998","10.1016/S0920-5632(98)00120-0","YCTP-P20-97","hep-th",,"  This is a summary of a review talk at the Trieste conference on duality
symmetries in string theory, April 1997. We review some work that has been done
on the relation of BPS states, automorphic forms and the geometry of the
quantum ground states of string compactifications with extended supersymmetry,
emphasizing the (hypothetically) central role of BPS algebras.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 00:42:17 GMT""},{""version"":""v2"",""created"":""Fri, 3 Apr 1998 15:03:49 GMT""}]","2010-11-19"
"hep-th/9710200","Subrata Pal","Subir Ghosh (D.A. College, Calcutta)","Anyon Zitterbewegung","5 pages, Latex; email:guest@bose.ernet.in",,,,"hep-th",,"  A new model for anyon is proposed, which exhibits the classical analogue of
the quantum phenomenon - Zitterbewegung. The model is derived from existing
spinning particle model and retains the essential features of anyon in the
non-relativistic limit.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 05:48:18 GMT""}]","2007-05-23"
"hep-th/9710202","Wolfgang Lucha","Wolfgang Lucha, Michael Moser","Finite quantum field theories: Clifford algebras for Yukawa couplings?","10 pages, LaTeX",,,"HEPHY-PUB 675/97","hep-th hep-ph",,"  By imposing on the most general renormalizable quantum field theory the
requirement of the absence of ultraviolet-divergent renormalizations of the
physical parameters (masses and coupling constants) of the theory, finite
quantum field theories in four space-time dimensions may be constructed. Famous
prototypes of these form certain well-known classes of supersymmetric finite
quantum field theories. Within a perturbative evaluation of the quantum field
theories under consideration, the starting point of all such investigations is
represented by the conditions for one- and two-loop finiteness of the gauge
couplings as well as for one-loop finiteness of the Yukawa couplings.
Particularly attractive solutions of the one-loop Yukawa finiteness condition
involve Yukawa couplings which are equivalent to generators of Clifford
algebras with identity element. However, a closer inspection shows, at least
for all simple gauge groups up to and including rank 8, that these
Clifford-like solutions prove to be inconsistent with the requirements of one-
and two-loop finiteness of the gauge coupling and of absence of gauge
anomalies.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 12:44:44 GMT""}]","2007-05-23"
"hep-th/9710203","Yurii Shil'nov","E. Elizalde, Yu. I. Shil'nov, V. V. Chitov","Dynamical symmetry breaking in the Nambu-Jona-Lasino model with external
  gravitational and constant electric fields","20 pages, LaTeX, 6 .ps-figures, Final version published in ""Classical
  and Quantum Gravity""","Class.Quant.Grav. 15 (1998) 735-748","10.1088/0264-9381/15/4/003",,"hep-th",,"  An investigation of the Nambu-Jona-Lasino model with external constant
electric and weak gravitational fields is carried out in three- and four-
dimensional spacetimes. The effective potential of the composite bifermionic
fields is calculated keeping terms linear in the curvature, while the electric
field effect is treated exactly by means of the proper- time formalism.
  A rich dynamical symmetry breaking pattern, accompanied by phase transitions
which are ruled, independently, by both the curvature and the electric field
strength is found. Numerical simulations of the transitions are presented.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 13:48:56 GMT""},{""version"":""v2"",""created"":""Wed, 28 Jan 1998 14:01:41 GMT""},{""version"":""v3"",""created"":""Wed, 13 May 1998 14:55:25 GMT""}]","2009-10-30"
"math/9710209",,"Ovidiu Costin, Rodica Daniela Costin","Singular normal form for the Painlev\'e equation P1",,,"10.1088/0951-7715/11/5/002","MSRI 1997-101","math.CA math.CV",,"  We show that there exists a rational change of coordinates of Painlev\'e's P1
equation $y''=6y^2+x$ and of the elliptic equation $y''=6y^2$ after which these
two equations become analytically equivalent in a region in the complex phase
space where $y$ and $y'$ are unbounded. The region of equivalence comprises all
singularities of solutions of P1 (i.e. outside the region of equivalence,
solutions are analytic). The Painlev\'e property of P1 (that the only movable
singularities are poles) follows as a corollary. Conversely, we argue that the
Painlev\'e property is crucial in reducing P1, in a singular regime, to an
equation integrable by quadratures.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 00:00:00 GMT""}]","2016-09-07"
"nucl-th/9710059","Santosh Samaddar","S.K. Samaddar (SINP, Calcutta), J.N. De (VECC Calcutta), and S. Shlomo
  (Texas A & M)","Effect of Flow on Caloric Curve for Finite Nuclei","11 pages revtex; 4 figs; version to appear in Phys. Rev. Lett","Phys.Rev.Lett.79:4962-4965,1997","10.1103/PhysRevLett.79.4962",,"nucl-th",,"  In a finite temperature Thomas-Fermi theory, we construct caloric curves for
finite nuclei enclosed in a freeze-out volume few times the normal nuclear
volume, with and without inclusion of flow. Without flow, the caloric curve
indicates a smooth liquid-gas phase transition whereas with flow, the
transition may be very sharp. We discuss these results in the context of two
recent experiments, one for heavy symmetric system (Au + Au at 600A MeV) and
the other for highly asymmetric system (Au + C at 1A GeV) where different
behaviours in the caloric curves are seen.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 05:19:48 GMT""}]","2009-01-23"
"nucl-th/9710061","Harold W. Fearing","Harold W. Fearing (TRIUMF)","Nucleon-nucleon bremsstrahlung: An example of the impossibility of
  measuring off-shell amplitudes","9 pages, Latex, using RevTeX; Minor wording changes, title changed,
  version to be published in Phys. Rev. Letters","Phys. Rev. Lett. 81 (1998) 758","10.1103/PhysRevLett.81.758","TRIUMF Report TRI-PP-97-31","nucl-th hep-ph",,"  For nearly fifty years theoretical and experimental efforts in
nucleon-nucleon bremsstrahlung (NN$\gamma$) have been devoted to measuring
off-shell amplitudes and distinguishing among various NN potentials on the
basis of their off-shell behavior. New experiments are underway, designed
specifically to attain kinematics further off shell than in the past, and thus
to be more sensitive to the off-shell behavior. This letter shows that,
contrary to these expectations, and due to the invariance of the S-matrix under
transformations of the fields, the off-shell NN amplitude is as a matter of
principle an unmeasurable quantity in NN$\gamma$.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 13:43:36 GMT""},{""version"":""v2"",""created"":""Fri, 3 Jul 1998 21:32:39 GMT""}]","2009-10-30"
"physics/9710036","T. Padmanabhan","Abhinav Gupta and T. Padmanabhan","Radiation from a charged particle and radiation reaction -- revisited","Submitted to Physical Review D","Phys.Rev. D, 57, 7241 (1998)","10.1103/PhysRevD.57.7241","IUCAA Preprint 55/97","physics.class-ph gr-qc hep-th",,"  We study the electromagnetic fields of an arbitrarily moving charged particle
and the radiation reaction on the charged particle using a novel approach. We
first show that the fields of an arbitrarily moving charged particle in an
inertial frame can be related in a simple manner to the fields of a uniformly
accelerated charged particle in its rest frame. Since the latter field is
static and easily obtainable, it is possible to derive the fields of an
arbitrarily moving charged particle by a coordinate transformation. More
importantly, this formalism allows us to calculate the self-force on a charged
particle in a remarkably simple manner. We show that the original expression
for this force, obtained by Dirac, can be rederived with much less computation
and in an intuitively simple manner using our formalism.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 13:00:04 GMT""}]","2009-10-30"
"physics/9710037","James P. M. Flude","James P. M. Flude","The Edmonds asymptotic formulae for the 3j and 6j symbols","14 pages, latex2e, bibtex, epsf, 4 figures",,,,"math-ph gr-qc math.MP",,"  The purpose of this paper is to provide definitions for, and proofs of, the
asymptotic formulae given by Edmonds, which relate the 3j and 6j symbols to
rotation matrices.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 14:08:36 GMT""}]","2008-11-06"
"q-alg/9710031","Tomoyuki Arakawa","T. Arakawa, T. Suzuki, A. Tsuchiya","Degenerate Double Affine Hecke Algebra And Conformal Field Theory","33 pages, Latex, changed contents",,,,"q-alg math.QA",,"  We introduce a class of induced representations of the degenerate double
affine Hecke algebra of gl_N and analyze their structure mainly by means of
intertwiners. We also construct them from modules of the affine Lie algebra
using Knizhnik-Zamolodchikov connections in the conformal field theory. This
construction provides a natural quotient of induced modules, which turns out to
be the unique irreducible one under a certain condition. Some cunjectual
formulas are presented for the symmetric part of these quotients.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 14:54:36 GMT""},{""version"":""v2"",""created"":""Tue, 21 Apr 1998 07:45:17 GMT""}]","2007-05-23"
"quant-ph/9710059","Jeong-Young Ji","Jeong-Young Ji, Kwang-Sup Soh, Rong-Gen Cai (S.N.U.), Sang Pyo Kim
  (Kunsan N.U.)","Electromagnetic fields in a 3D cavity and in a waveguide with
  oscillating walls","8 pages revTeX including 1 eps fig","J.Phys. A31 (1998) L457-L462","10.1088/0305-4470/31/24/003","SNUTP 97-145","quant-ph hep-th",,"  We consider classical and quantum electromagnetic fields in a
three-dimensional (3D) cavity and in a waveguide with oscillating boundaries of
the frequency $\Omega $. The photons created by the parametric resonance are
distributed in the wave number space around $\Omega/2 $ along the axis of the
oscillation. When classical waves propagate along the waveguide in the one
direction, we observe the amplification of the original waves and another wave
generation in the opposite direction by the oscillation of side walls. This can
be understood as the classical counterpart of the photon production. In the
case of two opposite walls oscillating with the same frequency but with a phase
difference, the interferences are shown to occur due to the phase difference in
the photon numbers and in the intensity of the generated waves.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 07:29:27 GMT""}]","2009-10-30"
"solv-int/9710025","Krzysztof Gawedzki","Krzysztof Gawedzki and Pascal Tran-Ngoc-Bich","Self-duality of the SL_2 Hitchin integrable system at genus two","32 pages, latex, no figures, references and a discussion inspired by
  one of them added",,"10.1007/s002200050438","IHES/P/97/80","solv-int alg-geom hep-th math.AG nlin.SI",,"  We revisit the Hitchin integrable system whose phase space is the bundle
cotangent to the moduli space $N$ of holomorphic $SL_2$-bundles over a smooth
complex curve of genus two. $N$ may be identified with the 3-dimensional
projective space of theta functions of the second order, We prove that the
Hitchin system on $T^*N$ possesses a remarkable symmetry: it is invariant under
the interchange of positions and momenta. This property allows to complete the
work of van Geemen-Previato which, basing on the classical results on geometry
of the Kummer quartic surfaces, specified the explicit form of the Hamiltonians
of the Hitchin system. The resulting integrable system resembles the classic
Neumann systems which are also self-dual. Its quantization produces a commuting
family of differential operators of the second order acting on homogeneous
polynomials in four complex variables. As recently shown by van Geemen-de Jong,
these operators realize the Knizhnik-Zamolodchikov-Bernard-Hitchin connection
for group SU(2) and genus 2 curves.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 08:39:55 GMT""},{""version"":""v2"",""created"":""Tue, 20 Jan 1998 14:08:17 GMT""}]","2009-10-30"
