"alg-geom/9710027","Mikhail Kapranov","M. Kapranov","Injective resolutions of BG and derived moduli spaces of local systems","12 pages, plain TEX",,,,"alg-geom math.AG",,"  It was suggested on several occasions by Deligne, Drinfeld and Kontsevich
that all the moduli spaces arising in the classical problems of deformation
theory should be extended to natural ""derived"" moduli spaces which are always
smooth in an appropriate sense and whose tangent spaces involve the entire
cohomology of the sheaf of infinitesimal automorphisms, not just H^1. In this
note we give an algebraic construction of such an extension for the simplest
class of moduli spaces, namely for moduli of local systems (representations of
the fundamental group).
","[{""version"":""v1"",""created"":""Fri, 24 Oct 1997 22:22:03 GMT""}]","2007-05-23"
"astro-ph/9710281","Peter R. Newman","Peter R. Newman(1), Roger G. Clowes(1), Luis E. Campusano(2), and
  Matthew J. Graham(1) ((1) University of Central Lancashire, UK, (2)
  Universidad de Chile)","Large groups in the Chile-UK quasar survey","2 pages including 2 figures, Latex, sprocl.sty and psfig.sty
  included. To appear in proceedings of the 12th Potsdam Cosmology Workshop
  1997. Larger versions of the figures are available from
  p.r.newman@uclan.ac.uk",,,,"astro-ph",,"  The Chile-UK quasar survey, a new-generation 140 deg^2 UVX survey to B = 20,
is now \sim 25 per cent complete. The catalogue currently contains 319 quasars
and 93 emission line galaxies. Using the minimal-spanning tree method, we have
independently confirmed the \sim 200 h^-1 Mpc group of quasars at z \simeq 1.3
discovered by Clowes & Campusano (1991). We have discovered a new \sim 150 h^-1
Mpc group of 13 quasars at median z \simeq 1.51. The null hypothesis of a
uniform, random distribution is rejected at a level of significance of 0.003
for both groups.
","[{""version"":""v1"",""created"":""Fri, 24 Oct 1997 17:02:01 GMT""}]","2007-05-23"
"astro-ph/9710282",,"Guy S. Miller, Myeong-Gu Park","Variability and Stability in Radiation Hydrodynamic Accretion Flows","31 pages. LaTeX, requires AAS LaTeX macros, version 4.0. 5 figures in
  encapsulated postscipt format. Accepted by the Astrophysical Journal",,"10.1086/305380",,"astro-ph",,"  In this paper we examine time-dependent and three-dimensional perturbations
of spherical accretion flow onto a neutron star close to its Eddington limit.
Our treatment assumes a Schwarzschild geometry for the spacetime outside the
neutron star and is fully general relativistic. At all the accretion rates
studied, the response of the accretion flow to perturbations includes weakly
damped oscillatory modes. At sufficiently high luminosities --- but still well
below the Eddington limit --- the flows become unstable to aspherical
perturbations. These unstable radiation hydrodynamic modes resemble the onset
of convection, and allow accretion to occur preferentially through more rapidly
descending columns of gas, while the radiation produced escapes through
neighboring columns in which the gas descends more slowly.
","[{""version"":""v1"",""created"":""Fri, 24 Oct 1997 21:13:37 GMT""}]","2009-10-30"
"astro-ph/9710283","Biswajit Paul","B. Paul, P. C. Agrawal, A. R. Rao, et al. (Tata Institute of
  Fundamental Research, Mumbai, India)","X-ray variability of GRS 1915+105 during the low-hard state observed
  with the Indian X-ray astronomy experiment (IXAE)","14 pages including 6 figures. To appear in Astronomy and Astrophysics
  Supplement Series",,"10.1051/aas:1998131","TIFR/SA/97/06","astro-ph",,"  The galactic superluminal transient X-ray source GRS 1915+105 was observed
with the pointed proportional counters (PPCs) onboard the Indian satellite
IRS-P3 during 1996 July 23-27. We report here details of the behavior of this
source during the relatively quiet and low luminosity state. Large intensity
variations by a factor of 2 to 3, generally seen in black-hole candidates, are
observed at a time scale of 100 ms to few seconds. No significant variation is
detected over larger time scale of minute or more. The intensity variations are
described as sum of shots in the light curve, and the number distribution of
the shots are found to be exponential function of the fluence and duration of
the shots. The cross correlation spectrum between 6-18 keV and 2-6 keV X-rays
is found to have asymmetry signifying a delay of the hard X-rays by about 0.2
to 0.4 sec. This supports the idea of hard X-rays being generated by Compton
up-scattering from high energy clouds near the source of soft X-rays. Very
strong and narrow quasi periodic oscillations in the frequency range 0.62 to
0.82 Hz are observed. We discuss about a model which explains a gradual change
in the QPO frequencies with corresponding changes in the mass accretion rate of
the disk.
","[{""version"":""v1"",""created"":""Fri, 24 Oct 1997 18:37:06 GMT""}]","2009-10-30"
"astro-ph/9710284","Biswajit Paul","A. R. Rao, P. C. Agrawal, B. Paul, et al. (Tata Institute of
  Fundamental Research, Mumbai, India)","Observations of Cygnus X-1 during the two spectral states with the
  Indian X-ray Astronomy Experiment (IXAE)","17 pages including 8 figures. To appear in Astronomy and Astrophysics",,,"TIFR/SA/97/11","astro-ph",,"  We present the time variability characteristics of Cygnus X-1 in its two
spectral states. The observations were carried out using the Pointed
Proportional Counters (PPC) on-board the Indian X-ray Astronomy Experiment
(IXAE). The details of the instrument characteristics, the observation
strategy, and the background modeling methods are described. In the soft state
of Cyg X-1, we confirm the general trend of the Power Density Spectrum (PDS)
obtained using the Proportional Counter Array (PCA) on-board the RXTE
satellite. The hard state of the source just prior to the spectral transition
was not observed by the PCA and we present the PDS obtained in this state. We
find that the low frequency end of the PDS is flatter than that observed during
the spectral transition. Additionally, we find that there is one more component
in the low frequency end of the PDS, which is independent of the spectral state
of the source. The time variability is also examined by taking the statistics
of the occurrence of shots and it is found that the shot duration and shot
energy follow an exponential distribution, with time constants significantly
different in the two spectral states. In the soft state of the source a shot
with a very large strength has been identified and it has exponential rise and
decay phases with time constants of 0.4 s. We examine these results in the
light of the current models for accretion onto black holes.
","[{""version"":""v1"",""created"":""Fri, 24 Oct 1997 19:03:36 GMT""}]","2007-05-23"
"astro-ph/9710285","Biswajit Paul","B. Paul, P. C. Agrawal, A. R. Rao, et al. (Tata Institute of
  Fundamental Research, Mumbai, India)","Quasi-regular X-ray bursts from GRS 1915+105 observed with the IXAE:
  possible evidence for matter disappearing into the event horizon of the black
  hole","12 pages including 3 figures. To appear in ApJ Letters",,"10.1086/311087","TIFR/SA/97/13","astro-ph",,"  Three different types of very intense, quasi-regular X-ray bursts have been
observed from the Galactic superluminal X-ray transient source GRS 1915+105
with the Pointed Proportional Counters of the Indian X-ray Astronomy Experiment
onboard the Indian satellite IRS-P3. The observations were carried out from
1997 June 12 to June 29 in the energy range of 2-18 keV and revealed the
presence of persistent quasi-regular bursts with different structures. Only one
of the three types of bursts is regular in occurrence revealing a stable
profile over extended durations. The regular bursts have an exponential rise
with a time scale of about 7 s to 10 s and a sharp linear decay in 2 to 3 s.
The X-ray spectrum becomes progressively harder as the burst evolves and it is
the hardest near the end of the burst decay. The profile and energetics of the
bursts in this black hole candidate source are distinct from both the type I
and type II X-ray bursts observed in neutron star sources. We propose that the
sharp decay in the observed burst pattern is a signature of the disappearance
of matter through the black hole horizon. The regular pattern of the bursts can
be produced by material influx into the inner disk due to oscillations in a
shock front far away from the compact object.
","[{""version"":""v1"",""created"":""Fri, 24 Oct 1997 19:04:06 GMT""}]","2009-10-30"
"astro-ph/9710286","Nelson Caldwell","Nelson Caldwell, Taft E. Armandroff, G. S. Da Costa and Patrick
  Seitzer","Dwarf Elliptical Galaxies in the M81 Group: The Structure and Stellar
  Populations of BK5N and F8D1","To appear in Feb. 1998 AJ. 18 figures, 5 of which are jpg. The jpg's
  can be incorporated into the main ps file by changing the figures to ps
  files, then uncommenting the appropriate lines in the captions in the .tex
  file. Error in title corrected",,"10.1086/300233",,"astro-ph",,"  We have obtained HST WFPC2 images through the F555W and F814W filters of two
M81 group dE's: BK5N and a new system, designated F8D1. The resulting
color-magnitude diagrams show the upper two magnitudes of the red giant branch.
Surface brightness and total magnitude measurements indicate that BK5N and F8D1
have similar central surface brightness (24.5 and 25.4 mag/arcsec^2 in V,
respectively), but F8D1's larger length scale results in it being 3 magnitudes
more luminous than BK5N. BK5N lies on the relation between central surface
brightness and absolute magnitude defined by Local Group dwarf ellipticals, but
F8D1 does not. F8D1 is more luminous for its central surface brightness than
the relation predicts, similar to the large low surface brightness dwarf
galaxies found in, for example, Virgo. The mean color of the giant branch is
used to establish the mean abundance of each galaxy. F8D1, the more luminous
galaxy, is significantly more metal rich ([Fe/H] ~ -1.0) than BK5N ([Fe/H] ~
-1.7). Both BK5N and F8D1 lie on the relation between absolute magnitude and
metal abundance defined by Local Group dwarf ellipticals. However, as regards
the relation between central surface brightness and metal abundance, BK5N again
follows the Local Group dwarfs, while F8D1 deviates significantly from this
relation. This suggests that the total amount of luminous matter is more
fundamental in controlling metal enrichment than the surface density of
luminous matter. We also discuss the intermediate age stars, and note 1
globular cluster in F8D1. (edited)
","[{""version"":""v1"",""created"":""Fri, 24 Oct 1997 21:06:27 GMT""},{""version"":""v2"",""created"":""Mon, 27 Oct 1997 21:52:33 GMT""}]","2009-10-30"
"astro-ph/9710287","A. R. Rao","V. R. Chitnis, A. R. Rao and P. C. Agrawal (Tata Institute of
  Fundamental Research, Mumbai, India)","Broad band X-ray spectrum of Cygnus X-1","25 pages including 8 figures. To appear in Astronomy and Astrophysics",,,"TIFR/SA/97/14","astro-ph",,"  We present the hard X-ray (20-100 keV) observations of Cygnus X-1 obtained
using a large area balloon-borne Xenon filled Multi-anode Proportional Counter
(XMPC) telescope. The observations were carried out during the gamma_2 state of
the source and we obtain a power law photon index of 1.62 +- 0.07. To constrain
the spectral shape of the source, we have analyzed the archival EXOSAT ME argon
and GSPC data in the low energies (2-20 keV band) as well as the archival OSSE
data in the high energies (50-500 keV). The data in different energy bands are
not obtained in simultaneous observations, but they pertain to the gamma_2
state of the source. We have attempted a combined fit to the wide band data
using appropriate mutual detector calibrations. A combined fit to the EXOSAT
and XMPC data (2-100 keV) shows that the observed spectrum requires a low
energy absorption corresponding to the Galactic interstellar absorption, a low
energy excess modeled as blackbody, a narrow emission line due to iron K_alpha
and a continuum. The continuum can be either modeled as a power law with a
reflection bump or a Comptonisation model with an additional bump which can be
modeled as the partial covering with a heavy absorber. To resolve between these
two models, we have attempted combined fit to the 2-500 keV data obtained from
EXOSAT, XMPC and OSSE. We find that two component Comptonisation model
adequately represents the data. We explore the possible emission region that is
responsible for the observed spectrum.
","[{""version"":""v1"",""created"":""Fri, 24 Oct 1997 21:56:30 GMT""}]","2007-05-23"
"astro-ph/9710288","Kevin P. Rauch","Kevin P. Rauch and Brian Ingalls","Resonant Tidal Disruption in Galactic Nuclei","27 page AASTeX source (3 figures)",,"10.1046/j.1365-8711.1998.01889.x",,"astro-ph",,"  It has recently been shown that the rate of angular momentum relaxation in
nearly-Keplerian star clusters is greatly increased by a process termed
resonant relaxation (Rauch & Tremaine 1996), who also argued that tidal
disruption of stars in galactic nuclei containing massive black holes could be
noticeably enhanced by this process. We describe here the results of numerical
simulations of resonant tidal disruption which quantitatively test the
predictions made by Rauch & Tremaine. The simulation method is based on an
N-body routine incorporating cloning of stars near the loss cone and a
semi-relativistic symplectic integration scheme. We also briefly describe the
discovery of chaos in the Wisdom-Holman symplectic integrator applied to highly
eccentric orbits and propose a modified integration scheme that remains robust
under these conditions.
  We find that resonant disruption rates exceed their non-resonant counterparts
by an amount consistent with the predictions; in particular, we estimate the
net tidal disruption rate for a fully resonant cluster to be about twice that
of its non-resonant counterpart. No significant enhancement in rates is
observed outside the critical radius. Relativistic quenching of the effect is
found to occur for hole masses M>8*10^7 solar masses. The numerical results
combined with the observed properties of galactic nuclei indicate that for most
galaxies the resonant enhancement to tidal disruption rates will be very small.
","[{""version"":""v1"",""created"":""Fri, 24 Oct 1997 22:30:10 GMT""}]","2009-10-30"
"astro-ph/9710289","Paul Hickson","Paul Hickson","Compact groups of galaxies","40 pages including 5 figures","Ann.Rev.Astron.Astrophys. 35 (1997) 357-388","10.1146/annurev.astro.35.1.357",,"astro-ph",,"  Compact groups of galaxies have posed a number of challenging questions.
Intensive observational and theoretical studies are now providing answers to
many of these, and at the same time, are revealing unexpected new clues about
the nature and role of these systems. Most compact groups contain a high
fraction of galaxies having morphological or kinematical peculiarities, nuclear
radio and infrared emission, and starburst or active galactic nuclei (AGN)
activity. They contain large quantities of diffuse gas and are dynamically
dominated by dark matter. They most likely form as subsystems within looser
associations and evolve by gravitational processes. Strong galaxy interactions
result and merging is expected to lead to the ultimate demise of the group.
Compact groups are surprisingly numerous, and may play a significant role in
galaxy evolution.
","[{""version"":""v1"",""created"":""Sat, 25 Oct 1997 00:46:21 GMT""}]","2009-10-30"
"astro-ph/9710290",,"R. Bernabei (1), P. Belli (1), F. Montecchia (1), W. Di Nicolantonio
  (2), A. Incicchitti (2), D. Prosperi (2), C. Bacci (3), C.J. Dai (4), L.K.
  Ding (4), H.H. Kuang (4), J.M. Ma (4) ((1) Dip. di Fisica, II Universita' di
  Roma and INFN Roma2, Italy; (2) Dip. di Fisica, Universita' di Roma and INFN
  Roma, Italy; (3) Dip. di Fisica, III Universita' di Roma and INFN Roma,
  Italy; (4) IHEP, Chinese Academy, Beijing, China.)","WIMPs search by scintillators: possible strategy for annual modulation
  search with large-mass highly-radiopure NaI(Tl)","6 pages, 4 figures, LaTex. Contributed paper to TAUP97; to appear in
  the Proceedings","Nucl.Phys.Proc.Suppl. 70 (1999) 79-84","10.1016/S0920-5632(98)00392-2","ROM2F/97/39","astro-ph",,"  The DAMA experiments are running deep underground in the Gran Sasso National
Laboratory. Several interesting results have been achieved so far. Here a
maximum likelihood method to search for the WIMP annual modulation signature is
discussed and applied to a set of preliminary test data collected with large
mass highly radiopure NaI(Tl) detectors. Various related technical arguments
are briefly addressed.
","[{""version"":""v1"",""created"":""Sat, 25 Oct 1997 15:10:06 GMT""}]","2015-06-24"
