"alg-geom/9710030","Enrique Arrondo","Enrique Arrondo","The universal rank-(n-1) bundle on G(1,n) restricted to subvarieties","11 pages, plain tex",,,,"alg-geom math.AG",,"  We classify those smooth (n-1)-folds in G(1,n) for which the restriction of
the rank-(n-1) universal bundle has more than n+1 independent sections. As an
aplication, we classify also those (n-1)-folds for which that bundle splits.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 18:54:41 GMT""}]","2007-05-23"
"alg-geom/9710031","Gregor Masbaum","Jorgen Ellegaard Andersen and Gregor Masbaum","Involutions on Moduli Spaces and Refinements of the Verlinde Formula","33 pages, Latex, minor modifications, to appear in Mathematische
  Annalen",,,"MSRI 1997-102","alg-geom math.AG math.QA q-alg",,"  The moduli space $M$ of semi-stable rank 2 bundles with trivial determinant
over a complex curve carries involutions naturally associated to 2-torsion
points on the Jacobian of the curve. For every lift of a 2-torsion point to a
4-torsion point, we define a lift of the involution to the determinant line
bundle $\L$. We obtain an explicit presentation of the group generated by these
lifts in terms of the order 4 Weil pairing. This is related to the triple
intersections of the components of the fixed point sets in $M$, which we also
determine completely using the order 4 Weil pairing. The lifted involutions act
on the spaces of holomorphic sections of powers of $\L$, whose dimensions are
given by the Verlinde formula. We compute the characters of these vector spaces
as representations of the group generated by our lifts, and we obtain an
explicit isomorphism (as group representations) with the
combinatorial-topological TQFT-vector spaces of [BHMV]. As an application, we
describe a `brick decomposition', with explicit dimension formulas, of the
Verlinde vector spaces. We also obtain similar results in the twisted (i.e.,
degree one) case.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 09:39:59 GMT""},{""version"":""v2"",""created"":""Mon, 14 Dec 1998 15:34:18 GMT""}]","2007-05-23"
"astro-ph/9710303","Wayne Hu","Daniel J. Eisenstein, Wayne Hu (IAS), Joseph Silk (UCB), Alex Szalay
  (JHU)","Can Baryonic Features Produce the Observed 100 Mpc Clustering?","LaTeX, 7 pages, 5 Postscript figures, submitted to ApJ Letters","Astrophys.J. 494 (1998) L1-L4","10.1086/311171",,"astro-ph",,"  We assess the possibility that baryonic acoustic oscillations in adiabatic
models may explain the observations of excess power in large-scale structure on
100h^-1 Mpc scales. The observed location restricts models to two extreme areas
of parameter space. In either case, the baryon fraction must be large
(Omega_b/Omega_0 > 0.3) to yield significant features. The first region
requires Omega_0 < 0.2h to match the location, implying large blue tilts
(n>1.4) to satisfy cluster abundance constraints. The power spectrum also
continues to rise toward larger scales in these models. The second region
requires Omega_0 near 1, implying Omega_b well out of the range of big bang
nucleosynthesis constraints; moreover, the peak is noticeably wider than the
observations suggest. Testable features of both solutions are that they require
moderate reionization and thereby generate potentially observable (about 1 uK)
large-angle polarization, as well as sub-arc-minute temperature fluctuations.
In short, baryonic features in adiabatic models may explain the observed excess
only if currently favored determinations of cosmological parameters are in
substantial error or if present surveys do not represent a fair sample of
100h^-1 Mpc structures.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 01:04:40 GMT""}]","2009-10-30"
"astro-ph/9710304","J. Christopher Clemens","J. Christopher Clemens, I. Neill Reid, John E. Gizis and M. Sean
  O'Brien","The Lower Main Sequence and the Orbital Period Distribution of
  Cataclysmic Variable Stars","27 pages, 10 postscript figures, AASTeX (aaspp4), accepted by ApJ",,"10.1086/305353",,"astro-ph",,"  The color-magnitude diagram of the lower main sequence, as measured from a
volume-limited sample of nearby stars, shows an abrupt downward jump between Mv
= 12 and 13. This jump indicates that the observed mass-radius relationship
steepens between 0.3 and 0.2 solar masses, but theoretical models show no such
effect. It is difficult to isolate the source of this disagreement: the
observational mass-radius relationship relies upon transformations that may not
be sufficiently accurate, while the theoretical relationship relies upon
stellar models that may not be sufficiently complete, particularly in their
treatment of the complex physics governing the interior equation-of-state.
  If the features in the observationally derived mass-radius relationship are
real, their existence provides a natural explanation for the well-known gap in
the orbital period distribution of cataclysmic variables. This explanation
relies only upon the observed mass-radius relationship of low-mass stars, and
does not require ad hoc changes in magnetic braking or in the structure of
cataclysmic variable secondaries. If correct, it will allow broader application
of cataclysmic variable observations to problems of basic stellar physics.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 22:38:36 GMT""}]","2009-10-30"
"astro-ph/9710305","Daniel Proga","Daniel Proga (1), James M. Stone (2) and Janet E. Drew (1) ((1)
  Imperial College of Science, Technology and Medicine, London, U.K., (2)
  University of Maryland, College Park, Maryland, USA)","Radiation driven winds from luminous accretion disks","26 pages, LaTeX including two tables, requires mn.sty, 24 Postscript
  figures including 8 colour ones, to appear in MNRAS",,"10.1046/j.1365-8711.1998.01337.x",,"astro-ph",,"  We study the 2-D, time-dependent hydrodynamics of radiation-driven winds from
accretion disks in which the radiation force is mediated by spectral lines. If
the dominant contribution to the total radiation field comes from the disk,
then we find the outflow is intrinsically unsteady and characterised by large
amplitude velocity and density changes. Both infall and outflow can occur in
different regions of the wind at the same time. On the other hand, if the total
luminosity of the system is dominated by the central star, then the outflow is
steady. In either case, we find the 2-D structure of the wind consists of a
dense, slow outflow, typically confined to angles within about 45$^o$ of the
equatorial plane, that is bounded on the polar side by a high -velocity, lower
density stream. The flow geometry is controlled largely by the geometry of the
radiation field. Global properties e.g., the total mass loss rate and terminal
velocity depend more on the system luminosity and are insensitive to geometry.
Matter is fed into the fast wind from within a few stellar radii of the central
star. Our solutions agree qualitatively with the kinematics of outflows in CV
systems inferred from spectroscopic observations. We predict that low
luminosity systems may display unsteady behavior in wind-formed spectral lines.
Our study also has application to winds from active galactic nuclei and from
high mass YSOs.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 16:57:55 GMT""}]","2015-06-24"
"astro-ph/9710306","Hanadi Abdelsalam","Hanadi M. AbdelSalam (Astrophysics, Oxford), Prasenjit Saha
  (Astrophysics, Oxford), and Liliya L.R. Williams (IoA, Cambridge)","Cluster Mass Profile from Lensing","4 pages (6 postscript figures), to appear in the proceedings of the
  13th Potsdam Cosmology Workshop, ""Large Scale Structure: Tracks and Traces""",,,,"astro-ph",,"  We propose a new technique to reconstruct non-parametrically the projected
mass distribution of galaxy clusters from their gravitational lens effect on
background galaxies. The beauty of our technique, is that it combines
information from multiple imaging (strong lensing) and shear (weak lensing) as
linear constraints on the projected mass distribution. Moreover, our technique
overcomes all the drawbacks of non-linear methods. The method is applied to the
first cluster-lens A370 and to the cluster-lens A2218 which is exceptionally
rich in multiple images and arc(let)s. The reconstructed maps for both cases
revealed unprecedented levels of detail.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 19:17:28 GMT""}]","2007-05-23"
"astro-ph/9710307","Ester Giannuzzo","M. Ester Giannuzzo (1 and 2), Marco Mignoli (3), Giovanna M. Stirpe
  (3) and Andrea Comastri (3) ((1) Department of Physical Sciences, University
  of Hertfordshire, Hatfield HERTS, UK; (2) Dipartimento di Astronomia,
  Universita' di Bologna, Italy; (3) Osservatorio Astronomico di Bologna,
  Italy)","A search for variability in Narrow Line Seyfert 1 Galaxies. II. New data
  from the Loiano monitoring programme","10 pages, 3 Encapsulated Postscript figures, A&A version 4.01 LaTex,
  uses 'graphics', to be published in 'Astronomy & Astrophysics'",,,"BAP 10-1997-033-OAB","astro-ph",,"  We present part of the results from a spectroscopic monitoring programme on a
sample of AGNs, relative to Narrow Line Seyfert 1 Galaxies: following the idea
that Balmer-line variability can help discriminate among the possible models
for these objects, and on the basis of a first monitoring project with long
time-scales, we now add to the previous database new variability results, both
on short and long time-scales. The comparison with a similar data-set of normal
Seyfert 1's suggests now a statistically different behaviour of NLS1s with
regard to the 1-year variability properties, and a clearer trend of NLS1s
towards weaker variability is suggested by the comparison between the 1-month
variations of NLS1s and those of the typical Seyfert 1 NGC 5548. Although these
results do not take into account the possible role of the relative contribution
of narrow components to the line fluxes, and of the continuum variability
amplitudes (both of which can in principle be different in the two classes of
objects), they are consistent with the model of a BLR which is on average
larger in NLS1s.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 17:49:04 GMT""}]","2007-05-23"
"astro-ph/9710308","Piero Rosati","P. Rosati (ESO), R. Della Ceca (OAB Milano), C. Norman (JHU), R.
  Giacconi (ESO)","The ROSAT Deep Cluster Survey: the X-ray Luminosity Function out to
  z=0.8","12 pages, 4 figures, LaTeX (aasms4.sty). To appear in ApJ Letters","Astrophys.J. 492 (1998) L21","10.1086/311085",,"astro-ph",,"  We present the X-ray Luminosity Function (XLF) of the ROSAT Deep Cluster
Survey (RDCS) sample over the redshift range 0.05-0.8. Our results are derived
from a complete flux-limited subsample of 70 galaxy clusters, representing the
brightest half of the total sample, which have been spectroscopically
identified down to the flux limit of 4*10^{-14} erg/cm^2/s (0.5-2.0 keV) and
have been selected via a serendipitous search in ROSAT-PSPC pointed
observations. The redshift baseline is large enough that evolutionary effects
can be studied within the sample. The local XLF (z < 0.25) is found to be in
excellent agreement with previous determinations using the ROSAT All-Sky Survey
data. The XLF at higher redshifts, when combined with the deepest number counts
constructed to date (f>2*10^{-14} arg/cm^2/s), reveal no significant evolution
at least out to z=0.8, over a luminosity range 2*10^{42}-3*10^{44} erg/s in the
[0.5-2 keV] band. These findings extend the study of cluster evolution to the
highest redshifts and the faintest fluxes probed so far in X-ray surveys. They
complement and do not necessarily conflict with those of the Einstein Extended
Medium Sensitivity Survey, leaving the possibility of negative evolution of the
brightest end of the XLF at high redshifts.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 19:20:28 GMT""}]","2009-10-30"
"astro-ph/9710309","Eyal Maoz","Eyal Maoz (UC Berkeley)","Dynamical Constraints On Alternatives To Massive Black Holes In Galactic
  Nuclei","ApJ (Letters), in press. v2: corrected figure, 11 pages",,"10.1086/311194",,"astro-ph",,"  The compelling dynamical evidence for massive dark objects in galactic nuclei
does not uniquely imply massive black holes (BHs). To argue convincingly that
these objects are BHs we must rule out alternatives to a BH, and the
alternative to a point mass is a cluster of some sort of nonluminous objects,
such as a cluster of brown dwarfs or stellar remnants.
  We use simple physical considerations to derive the maximum possible lifetime
of a dark cluster which may consist of any plausible form of non-luminous
gravitating objects -- from brown dwarfs and very low-mass objects of cosmic
composition, to white dwarfs, neutron stars, and black holes. The lower this
limit relative to the galaxy age, the more implausible is the cluster
hypothesis, thus arguing for a point mass. A cluster with a lifetime much
shorter than ~10 Gyr is unacceptable, since observing it at the present epoch
would be highly improbable.
  Since the goal is to rule out a dark cluster by showing that its lifetime
must be very short, we make the most generous assumptions possible under the
observational constraints to allow for its survival. We find that the lifetime
of such an hypothetical cluster must be much shorter than the galaxy age only
in the cases of NGC 4258 and our Galaxy, thus strongly arguing for a point
mass. In all other galaxies, the case of a massive BH, although compelling, is
not yet watertight. We also note that there are two exotic alternatives to a
massive BH that cannot be ruled out even in the cases of NGC 4258 and the
Galaxy: clusters of elementary particles (e.g. bosons), and clusters of very
low-mass BHs. We point out, however, serious difficulties with these
alternatives, and argue that they are highly implausible.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 19:59:59 GMT""},{""version"":""v2"",""created"":""Mon, 15 Dec 1997 18:20:42 GMT""}]","2009-10-30"
"astro-ph/9710310","Hsiao-Wen Chen","H.-W. Chen(1), K. M. Lanzetta (1), J. K. Webb(2), X. Barcons(3) ((1)
  SUNY at Stony Brook, NY-USA,(2) UNSW-Sydney-Australia, (3) IFCA
  (CSIC-UC)-Santander-Spain)","The Gaseous Extent of Galaxies and the Origin of \lya Absorption
  Systems. III. Hubble Space Telescope Imaging of \lya-Absorbing Galaxies at z
  < 1","Minor changes. Figure 1 stays intact and is available at
  ftp://ftp.ess.sunysb.edu/pub/lanzetta/wfpc/",,"10.1086/305554",,"astro-ph",,"  We present initial results of a program to obtain and analyze HST WFPC2
images of galaxies identified in an imaging and spectroscopic survey of faint
galaxies in fields of HST spectroscopic target QSOs. We measure properties of
87 galaxies, of which 33 are associated with corresponding \lya absorption
systems and 24 do not produce corresponding \lya absorption lines to within
sensitive upper limits. Considering only galaxy and absorber pairs that are
likely to be physically associated and excluding galaxy and absorber pairs
within 3000 \kms of the background QSOs leaves 26 galaxy and absorber pairs and
seven galaxies that do not produce corresponding \lya absorption lines to
within sensitive upper limits. Redshifts of the galaxy and absorber pairs range
from 0.0750 to 0.8912 with a median of 0.3718, and impact parameter separations
of the galaxy and absorber pairs range from 12.4 to $157.4 h^{-1}$ kpc with a
median of $62.4 h^{-1}$ kpc. The primary result of the analysis is that the
amount of gas encountered along the line of sight depends on the galaxy impact
parameter and B-band luminosity but does not depend strongly on the galaxy
average surface brightness, disk-to-bulge ratio, or redshift. This result
confirms and improves upon the anti-correlation between \lya absorption
equivalent width and galaxy impact parameter found previously by Lanzetta et
al. (1995). There is no evidence that galaxy interactions play an important
role in distributing tenuous gas around galaxies in most cases. Galaxies might
account for all \lya absorption systems with $W > 0.3$ \AA, but this depends on
the unknown luminosity function and gaseous cross sections of low-luminosity
galaxies as well as on the uncertainties of the observed number density of \lya
absorption systems.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 01:32:13 GMT""},{""version"":""v2"",""created"":""Thu, 20 Nov 1997 22:53:52 GMT""}]","2009-10-30"
"astro-ph/9710311",,"I. Neill Reid (1) (1) Palomar Observatory, Caltech","Hipparcos subdwarf parallaxes - metal-rich clusters and the thick disk","to appear in AJ, January 1998; 63 pages, including 17 embedded,
  postscript figures and 3 tables; uses AAS LaTeX style files",,,,"astro-ph",,"  We have used main-sequence fitting to calibrate the distances to the globular
clusters NGC 6397, M5, NGC 288, M71 and 47 Tucanae, matching the cluster
photometry against data for subdwarfs with precise Hipparcos parallax
measurements and accurate abundance determinations. Both the cluster and
subdwarf abundance scales are tied to high-resolution spectroscopic analyses.
The distance moduli that we derive for the five clusters are 12.24, 14.52,
15.00, 13.19 and 13.59 magnitudes, with uncertainties of +/- 0.15 magnitudes.
As in previous analyses by Reid (1997) and Gratton et al (1997), those
distances are higher than those derived in pre-Hipparcos investigations.
  The calibrated cluster colour-magnitude diagrams provide fiducial sequences
in the (M(V), (B-V)) plane, outlining the distribution expected for stars of a
particular abundance. We have combined the photometric data for NGC 6397
([Fe/H]=-1.82 dex), M5 (-1.10 dex) and 47 Tucanae (-0.70 dex) with the mean
colour-magnitude relation delineated by nearby FGK dwarfs to define a reference
grid in the (M(V), (B-V)) plane, and we have matched this grid against data for
stars drawn from the Lowell proper motion survey, with both Hipparcos
astrometry and abundance determinations by Carney et al (1994). Limiting the
comparison to non-binaries, there are significantly fewer subluminous stars
than expected given the spectroscopic metallicity distribution. Inverting the
analysis, this implies a reduction by a factor of three in the proportion of
stars contributing to the metal-poor ([Fe/H] < -0.4) tail of the Galactic disk.
We discuss the implications of these results.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 01:55:06 GMT""}]","2007-05-23"
"astro-ph/9710312","Tomonori Totani","Tomonori Totani (Univ. of Tokyo)","Luminosity Density Evolution in the Universe and Cosmological Parameters","6 pages, to appear in the proceedings of IAU symposium No. 183
  (Cosmological Parameters and Evolution of the Universe), Aug. 18-22, Kyoto,
  Japan",,,,"astro-ph",,"  Star formation history in galaxies is strongly correlated to their
present-day colors and the Hubble sequence can be considered as a sequence of
different star formation history. Therefore we can model the cosmic star
formation history based on the colors of local galaxies, and comparison to
direct observations of luminosity density evolution at high redshift gives a
new test for the cosmological parameters which is insensitive to merger history
of galaxies. The luminosity density evolution in $0<z<1$ observed by the
Canada-France Redshift Survey in three wavebands of 2800{\AA}, 4400{\AA}, and
1$\mu$m indicates that the $\Lambda$-dominated flat universe with
$\lambda_0\sim0.8$ ($>$ 0.53 at 95%CL) is strongly favored. The cosmic star
formation rate (SFR) at $z>2$ is also compared to the latest data of the Hubble
Deep Field including new data which were not incorporated in the previous work
of Totani, Yoshii, & Sato (1997), and our model of the luminosity density of
spiral galaxies taking account of gas infall is consistent with the
observations. Starbursts in elliptical galaxies, which are expected from the
galactic wind model, however overproduce SFRs and hence they should be formed
at $z \gtilde 5$ or their UV emission has to be hidden by dust extinction. The
amound of metals in galactic winds and escaping ionizing photons are enough to
contaminate the Ly$\alpha$ forests or to reionize the universe.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 03:08:29 GMT""}]","2007-05-23"
"astro-ph/9710313",,"C. Bartolini(1), G.M. Beskin(2), A. Guarnieri(1), N. Masetti(1) and A.
  Piccioni(1) ((1) Dipartimento di Astronomia, Universita' di Bologna, Italy
  (2) Special Astrophysical Observatory of RAS, Russia)","Did GRB 970228 and GRB 970508 present similar optical properties?","5 pages plus 6 .ps figures, AIP style file aipproc.sty (included). To
  appear in the Proceedings of the 4th Huntsville Symposium on Gamma-Ray
  Bursts. Replaced version with bibliographic references in the text",,"10.1063/1.55379",,"astro-ph",,"  The analysis of the light curves of the optical counterparts of GRB 970228
and GRB 970508 points out remarkable similarities. The spectral distribution
obtained from the color indices shows that both the transients became bluer
during the increasing stage, and redder after the maximum. A main difference
concerns the behaviour of the optical fading which is well fitted by a single
power law in the case of GRB 970508 but not in the case of GRB 970228.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 07:51:01 GMT""},{""version"":""v2"",""created"":""Fri, 31 Oct 1997 10:55:47 GMT""}]","2009-10-30"
"astro-ph/9710314","Paolo Molaro","Paolo Molaro, Miriam Centurion and Giovanni Vladilo","Chemical abundances in the young galaxy at z=2.309 towards PHL 957","Accepted by MNRAS Letters",,"10.1046/j.1365-8711.1998.01278.x",,"astro-ph",,"  We present high-resolution UES spectra of the quasar PHL 957 obtained for
studying the foreground Damped Ly-alpha galaxy at z=2.309. Measurements of
absorption lines lead to accurate abundance determinations of Fe, S and N which
complement measurements of Zn, Cr and Ni already available for this system. We
find [Fe/H]= -2.0 (+/-0.1), [S/H]= -1.54 (+/-0.06) and [N/H]=-2.76 (+/-0.07).
The ratio [Fe/Zn]=-0.44 provides evidence that about 74% of iron and about 28%
of zinc are locked into dust grains with a dust-to-gas ratio of about 3% of the
Galactic one. The total iron content in both gas and dust in the DLA system is
[Fe/H]=-1.4. This confirms a rather low metallicity in the galaxy, which is in
the early stages of its chemical evolution. The detection of SII allows us to
measure the SII/ZnII ratio, which is a unique diagnostic tool for tracing back
its chemical history, since it is not affected by the presence of dust.
Surprisingly, the resulting relative abundance is [S/Zn]=0.0 (+/-0.1), at
variance with the overabundance found in the Galactic halo stars with similar
metallicity. We emphasize that the [S/Zn] ratio is solar in all the three DLA
absorbers with extant data. Upper limits are also found for Mn, Mg, O and P
and, once the dust depletion is accounted for, we obtain [Mg/Fe]_{c} <+0.2,
[O/Fe]_{c}< 0.4, [Mn/Fe]_{c}<+0.0 and [P/Fe]_{c}<-0.7. The [alpha/Fe] values do
not support a Galactic halo-like abundances implying that the chemical
evolution of this young galaxy is not reproducing our own Galaxy's evolution.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 09:37:43 GMT""}]","2009-10-30"
