"alg-geom/9710017","Martin Deschamps Mireille","Robin Hartshorne, Mireille Martin-Deschamps, Daniel Perrin","Un th\'eor\`eme de Rao pour les familles de courbes gauches","22 pages, TeX",,,,"alg-geom math.AG",,"  The aim of this paper is to prove a generalization of a theorem of Rao for
families of space curves, which caracterizes the biliaison classes of curves.
First we introduce the concept of pseudo-isomorphism of coherent sheaves, which
generalizes the concept of stable isomorphism. An N-type resolution for a
family of curves $C$ over the local ring $A$, defined by an ideal $J$, is an
exact sequence $0\to P\to N\to J\to 0$ where $N$ is a locally free sheaf on
$P^3_A$ and $P$ is a direct sum of invertible sheaves $O_P(-n_i)$. We prove the
two following results, when the residual field of $A$ is infinite : 1. Let $C$
and $C'$ be two flat families of space curves over the local ring $A$. Then $C$
and $C'$ are in the same biliaison class if and only if their ideals $J$ and
$J'$ are pseudo-isomorphic, up to a shift. 2. Let $C$ and $C'$ be two flat
families of space curves over the local ring $A$, with N-type resolutions,
involving sheaves $N$ and $N'$. Then $C$ and $C'$ are in the same biliaison
class if and only if $N$ and $N'$ are pseudo-isomorphic, up to a shift.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 10:48:55 GMT""}]","2007-05-23"
"astro-ph/9710137","Eric Blackman","Eric G. Blackman (Institute of Astronomy, Cambridge UK)","On Proton Energization in Accretion Flows","28 pages TeX, submitted to MNRAS, significantly expanded, discussion
  of non-thermal protons extended, updated references, figure added",,,,"astro-ph",,"  Two-temperature advection dominated accretion flow (ADAF) or hot ion tori
(HIT) models help explain low luminosity stellar and galactic accreting sources
and may complement observational support for black holes in nature. But low
radiative efficiencies demand that ions receive a fraction $\eta \gsim 99%$ of
energy dissipated in the turbulent accretion. The $\eta$ depends on the ratio
of particle to magnetic pressure. If compressive modes of dissipation, like
magnetic mirroring, dominate incompressible modes, then even when the pressure
ratio is O(1), the required large $\eta$ can be attained. However the relative
importance of compressive vs. incompressible modes is hard to estimate. The
larger up in the turbulent cascade, the more compressible the turbulence. The
relevant length scale for particle energization can be determined by equating
the dominant eddy turnover time to the time for which an energy equal to that
in the turbulence can be drained. Based on the large scales resulting from this
estimate, it is suggested that compressive mirroring may be important. Also,
regardless of the precise $\eta$ or dissipation mechanism, non-thermal protons
seem natural in two- temperature discs because all dissipation mechanisms, and
the use of an isotopic pressure, require wave-particle resonances that operate
only on a subset of the particles. Finally, it is briefly mentioned how
mirroring may help to generate an ADAF or HIT in the first place.
","[{""version"":""v1"",""created"":""Tue, 14 Oct 1997 20:52:16 GMT""},{""version"":""v2"",""created"":""Mon, 3 Aug 1998 23:18:17 GMT""}]","2007-05-23"
"astro-ph/9710141","Priscilla Chapman Frisch","Priscilla C. Frisch","The Local Bubble, Local Fluff, and Heliosphere","10 pages, 2 figures",,"10.1007/BFb0104732","AA97-0001","astro-ph",,"  The properties of the Local Bubble, Local Fluff complex of nearby
interstellar clouds, and the heliosphere are mutually constrained by data and
theory. Observations and models of the diffuse radiation field, interstellar
ionization, pick-up ion and anomalous cosmic-ray populations, and interstellar
dust link the physics of these regions. The differences between the
one-asymmetric-superbubble and two-superbubble views of the Local Bubble are
discussed.
","[{""version"":""v1"",""created"":""Tue, 14 Oct 1997 17:41:54 GMT""}]","2009-10-30"
"astro-ph/9710143","F. H. Briggs","F.H. Briggs","Cosmologically distant OH megamasers: A test of the galaxy merging rate
  at Z approximately 2 and a contaminant of blind HI surveys in the 21cm line","9 pages, 8 figures, latex, accepted for publication in Astronomy and
  Astrophysics with minor enhancements",,,,"astro-ph",,"  Bright OH megamaser galaxies, radiating 1667/1665 MHz lines, could be
detected at redshifts from z from 1 to 3 in moderate integration times with
existing radio telescopes. The superluminous FIR galaxies that host the
megamasers are relatively rare at z equal 0, but they may have been more common
at high redshift, if the galaxy merger rate increases steeply with redshift.
Therefore, blind radio spectroscopic surveys at frequencies of 400 to 1000 Mhz
can form an independent test of the galaxy merger rate as a function of time
over the redshift interval z = 4 to 0.7.
  The redshift range z = 0.17 to 0.4 will be difficult to survey for OH masers,
since spectroscopic survey signals will be confused with HI emission from
normal galaxies at redshifts less than 0.3. In fact, the signals from OH masers
are likely to dominate over 21cm line emission from normal galaxies at
frequencies below 1200 MHz (i.e. large redshifts z_HI > 0.18 and z_OH > 0.4).
Surveyors of nearby galaxies in the 21cm line may find that OH masers form a
contaminant to deep, blind HI surveys for redshift velocities less than a few
hundred kilometers per second. At frequencies just above 1420 MHz, sensitive
sky surveys might detect OH masers, which could be mistaken for a population of
``infalling, compact High Velocity Clouds'' but would ultimately be traced to
luminous FIR background galaxies at z equal 0.17 once optical and IR follow-up
has been performed.
","[{""version"":""v1"",""created"":""Tue, 14 Oct 1997 16:04:04 GMT""},{""version"":""v2"",""created"":""Fri, 12 Jun 1998 18:25:48 GMT""}]","2007-05-23"
"astro-ph/9710144","Q. Daniel Wang","Q. Daniel Wang","The Hot Galactic Corona and the Soft X-ray Background","An invited talk at IAU Colloquium No. 166: The Local Bubble and
  Beyond. 10 pages (including b/w figures). Color versions of Figs. 1 and 4 are
  provided separately and may also be found at
  www.astro.nwu.edu/astro/wqd/paper/halo",,"10.1007/BFb0104773",,"astro-ph",,"  I characterize the global distribution of the 3/4 keV band background with a
simple model of the hot Galactic corona, plus an isotropic extragalactic
background. The corona is assumed to be approximately polytropic (index = 5/3)
and hydrostatic in the gravitational potential of the Galaxy. The model
accounts for X-ray absorption, and is constrained iteratively with the ROSAT
all-sky X-ray survey data. Regions where the data deviate significantly from
the model represent predominantly the Galactic disk and individual nearby hot
superbubbles. The global distribution of the background, outside these regions,
is well characterized by the model; the 1 sigma relative dispersion of the data
from the model is about 15%. The electron density and temperature of the corona
near the Sun are about 1.1 x 10^{-3} cm^{-3} and about 1.7 x 10^6 K. The same
model also explains well the 1.5 keV band background. The model prediction in
the 1/4 keV band, though largely uncertain, qualitatively shows large intensity
and spectral variations of the corona contribution across the sky.
","[{""version"":""v1"",""created"":""Tue, 14 Oct 1997 16:37:26 GMT""}]","2009-10-30"
"astro-ph/9710145","Floyd Stecker","F.W. Stecker (NASA/GSFC) and O.C. De Jager (Potchefstroom U.)","Absorption of Intergalactic TeV Gamma-Rays","11 pages Latex, 5 figures, Invited paper to be published in Proc.
  Kruger Park Intl. Workshop on TeV Gamma-Ray Astrophysics","Proc. Kruger Natl. Park Symp. on TeV Gamma Ray Astr., ed. O.C. de
  Jager (1997) pg. 39",,,"astro-ph",,"  We discuss the problem of the absorption of very high-energy gamma-rays by
pair production interactions with extragalactic photons which originate from
stellar emission in the near IR-UV and reradiation of starlight in the mid- and
far-IR. The absorption of gamma-rays above 1 TeV is dominated by interactions
with infrared photons. We make a new determination of the optical depth of the
universe to multi-TeV photons as a function of energy and redshift and use the
results to compare with recent spectral data of Mrk 421 and Mrk 501, sources
that have been observed in the flaring state up to apx. 10 TeV energy. For the
optical depth calculations, we have made use of a new, empirically based
calculation of the intergalactic radiation field by Malkan & Stecker which we
consider to be more accurate than that based on previous theoretical modeling.
We also discuss the absorption of sub-TeV gamma-rays by starlight photons at
high redshifts.
","[{""version"":""v1"",""created"":""Tue, 14 Oct 1997 16:24:21 GMT""}]","2007-05-23"
"astro-ph/9710146","Tim Davidge--Canadian Project Astronomer","T. J. Davidge, D. A. Simons, F. Rigaut, R. Doyon, & D. Crampton","The Stellar Content Near the Galactic Center","34 pages, including 12 figures",,"10.1086/118668",,"astro-ph",,"  High angular resolution J, H, K, and L' images are used to investigate the
stellar content within 6 arcsec of SgrA*. The data, which are complete to K ~
16, are the deepest multicolor observations of the region published to date.
","[{""version"":""v1"",""created"":""Tue, 14 Oct 1997 23:48:14 GMT""}]","2009-10-30"
"astro-ph/9710147","Insu Yi","Insu Yi and Stephen P. Boughn","Hard X-rays from Emission Line Galaxies and the X-ray Background: A Test
  for Advection Dominated Accretion with Radio Sources","16 pages, 2 figures, ApJ",,,,"astro-ph",,"  Recent studies of the cosmic X-ray background (XRB) have suggested the
possible existence of a population of relatively faint sources with hard X-ray
spectra; however, the emission mechanism remains unclear. If the hard X-ray
emission is from the radiatively inefficient, advection dominated accretion
flows (ADAFs) around massive black holes in galactic nuclei, X-ray luminosity
and radio luminosity satisfy the approximate relation $L_R\sim 7\times
10^{35}(\nu/15GHz)^{7/5}(M/10^7M_{\odot}) (L_x/10^{40} erg s^{-1})^{1/10} erg
s^{-1}$ where $L_R=\nu L_\nu$ is the radio luminosity at frequency $\nu$, $M$
is the mass of the accreting black hole, and $10^{40} \simle L_x\simle 10^{42}
erg s^{-1}$ is the 2-10 keV X-ray luminosity. These sources are characterized
by inverted radio spectra $I_\nu \propto \nu^{2/5}$. For example, an ADAF X-ray
source with luminosity $L_x\sim 10^{41} erg s^{-1}$ has a nuclear radio
luminosity of $\sim 4\times 10^{36}(M/3\times 10^7M_{\odot}) erg s^{-1}$ at
$\sim 20$ GHz and if at a distance of $\sim 10 (M/3\times 10^7M_{\odot})^{1/2}
Mpc$ would be detected as a $\sim 1mJy$ point radio source. High frequency
($\sim 20 GHz$), high angular resolution radio observations provide an
important test of the ADAF emission mechanism. Since $L_R$ depends strongly on
black hole mass and only weakly on X-ray luminosity, the successful measurement
of nuclear radio emission could provide an estimate of black hole mass. Because
the X-ray spectra produced by ADAFs are relatively hard, sources of this
emission are natural candidates for contributing to the hard, $>2$ keV,
background.
","[{""version"":""v1"",""created"":""Tue, 14 Oct 1997 19:17:26 GMT""}]","2007-05-23"
"astro-ph/9710148","Insu Yi","Insu Yi and J. Craig Wheeler","Constraints on Torque-Reversing Accretion-Powered X-ray Pulsars","11 pages, 2 figures, ApJ",,"10.1086/305592",,"astro-ph",,"  The observed abrupt torque reversals in X-ray pulsars, 4U 1626-67, GX 1+4,
and OAO 1657-415, can be explained by transition in accretion flow rotation
from Keplerian to sub-Keplerian, which takes place at a critical accretion
rate, $\sim 10^{16}-10^{17}g/s$. When a pulsar system spins up near equilibrium
spin before the transition, the system goes into spin-down after transition to
sub-Keplerian. If a system is well into the spin-up regime, the transition can
cause a sharp decrease in spin-up rate but not a sudden spin-down. These
observable types of abrupt torque change are distinguished from the smooth
torque variation caused by change of ${\dot M}$ in the Keplerian flow. The
observed abrupt torque reversal is expected when the pulsar magnetic field
$B_*\sim 5\times 10^{11}b_p^{-1/2}L_{x,36}^{1/2}P_{*,10}^{1/2}G$ where the
magnetic pitch parameter $b_p\sim$ a few, $L_{x,36}$ is the X-ray luminosity in
$10^{36} erg/s$, and $P_{*,10}$ is the pulsar spin period in 10s. Observed
quasi-periodic oscillation (QPO) periods tightly constrain the model. For 4U
1626-67, ${\dot M}\approx 2.7\times 10^{16}g/s$ with $b_p^{1/2} B_*\approx
2\times 10^{12}G$. We estimate ${\dot M}\sim 6\times 10^{16} g/s$ and
$b_p^{1/2}B_*\sim 5\times 10^{13}G$ for GX 1+4, and ${\dot M} \sim 1\times
10^{17} g/s$ and $b_p^{1/2}B_*\sim 2\times 10^{13}G$ for OAO 1657-415. Reliable
detection of QPOs before and after torque reversal could directly test the
model.
","[{""version"":""v1"",""created"":""Tue, 14 Oct 1997 19:19:31 GMT""}]","2009-10-30"
"astro-ph/9710149","Insu Yi","Insu Yi and Eric G. Blackman","An Explanation for the Bimodal Distribution of Gamma-Ray Bursts:
  Millisecond Pulsars from Accretion-Induced Collapse","10 pages, ApJ",,"10.1086/311192",,"astro-ph",,"  Cosmological gamma-ray bursts (GRBs) could be driven by dissipation of pure
electromagnetic energy (Poynting flux) extracted from rapidly rotating compact
objects with strong magnetic fields. One such possibility is a young
millisecond pulsar (MSP) formed from accretion-induced collapse (AIC) of a
white dwarf. The combination of an efficient magnetic dynamo, likely operating
during the first seconds of the initially hot and turbulent MSP interior, and
the subsequent modest beaming of gamma-ray emitting outflows, would easily
account for energy constraints. But the remarkable feature of such models is
that they may naturally explain the hitherto unexplained bimodal distribution
in GRB time durations. The two burst classes could correspond to MSPs that form
spinning above and below a gravitationally unstable limit respectively. In the
former case, the spin-down time scale is due to gravitational radiation
emission ($<1s$) while the spin-down time scale of the latter is due to
electromagnetic dipole emission ($\gg 1s$). These two time scales account for
the short and long GRB durations, i.e. the observed bimodal GRB duration
distribution. A natural prediction is that the short duration GRBs would be
accompanied by strong gravitational radiation emission which is absent from the
longer class. Both would show millisecond variabilities.
","[{""version"":""v1"",""created"":""Tue, 14 Oct 1997 20:21:03 GMT""}]","2009-10-30"
"astro-ph/9710150","Jackie Lyon","David C. Black (Lunar and Planetary Institute)","Possible Observational Criteria for Distinguishing Brown Dwarfs from
  Planets","LaTeX, 11 pages including 2 figures, accepted for publication in the
  Astrophysical Journal Letters",,"10.1086/311026","LPI Contribution No. 932","astro-ph",,"  The difference in formation process between binary stars and planetary
systems is reflected in their composition as well as their orbital
architecture, particularly orbital eccentricity as a function of orbital
period. It is suggested here that this difference can be used as an
observational criterion to distinguish between brown dwarfs and planets.
Application of the orbital criterion suggests that with three possible
exceptions, all of the recently-discovered substellar companions discovered to
date may be brown dwarfs and not planets. These criterion may be used as a
guide for interpretation of the nature of sub-stellar mass companions to stars
in the future.
","[{""version"":""v1"",""created"":""Tue, 14 Oct 1997 20:41:51 GMT""}]","2009-10-30"
