"astro-ph/9710181","Gilles Gerbier","G. Gerbier (1), J. Mallet (1), L. Mosca (1), C. Tao (2) (1 CEA Saclay,
  2 LPCC Paris)","Note on a 'hint' for an annual modulation signature of a 60 GeV WIMP","LaTex, 4 pages, 2 figures",,,"DAPNIA-97-23","astro-ph hep-ph",,"  In a recent presentation at the TAUP97 conference about the analysis of data
from a NaI(Tl) 100 kg underground detector run at the Gran Sasso Laboratory by
the DAMA/NaI group, the speaker concluded there was a hint for a WIMP of mass
60 GeV with a cross section on proton of 10-5 pb (Spin Independent coupling)
(see also ROM2F/97/33). Even if no claim of any definite signal is made, such a
statement is strong enough to deserve a critical look. The present note puts
forward a few arguments which point towards a largely overestimated statistical
significance of the effect, an inconsistency in the energy distribution and
several experimental effects which could easily mimic the observed excess. The
conclusion is that, in no way, the presented result can be considered as a hint
of a WIMP annual modulation.
","[{""version"":""v1"",""created"":""Thu, 16 Oct 1997 16:13:42 GMT""}]","2007-05-23"
"astro-ph/9710182","Siow Wang Lee","Siow-Wang Lee and Judith A. Irwin (Department of Physics, Queen's
  University)","Neutral Hydrogen in the Edge-on Spiral Galaxy NGC 3044 -- Global
  Properties and Discovery of HI Supershells","Latex 23 pages including 13 postscript figures, to be published in
  the Nov. 20 issue of ApJ",,"10.1086/304840",,"astro-ph",,"  The first detailed VLA mapping of the neutral hydrogen distribution in the
isolated, edge-on spiral galaxy NGC 3044 is presented. Physical parameters
determined for this galaxy are typical for galaxies of its morphological class
(SBc). We have modelled the HI spectra in order to derive its global density
and velocity distributions. An HI scale height of 420 h^(-1) pc is thus found.
This can be compared to the 8 kpc radio continuum halo found previously.
  The present study reveals an asymmetry in the HI distribution as well as
numerous high-latitude HI structures at various galactocentric radii.
  Twelve high-latitude features were catalogued, of which four exhibit the
signature of an expanding shell. There is some correlation of these features
with features observed in the radio continuum from independent data. The most
massive shell (Feature 10) extends out to 6h^(-1) kpc above the galactic disk.
The radii and masses of these shells range from 1.2h^(-1) - 2.0h^(-1) kpc and
1.6 10^7 - 5.5 10^7h^(-2) solar masses, respectively. We have investigated the
possibility that the supershells could have been produced by external impacting
clouds, but conclude that this scenario is unattractive, given the age of the
shells, the isolation of the galaxy, and the lack of any observed features
sufficiently massive to form the shells in the vicinity of the galaxy.
Therefore, an internal origin is suggested. Since the implied input energies
from supernovae are extremely high (e.g. from 1.4 10^(53)h^(-20 - 7.4
10^(55)h^(-2) ergs, corresponding to 400 - 74,000 supernovae), we suggest that
some additional energy (e.g. from magnetic fields) may be needed to produce the
observed supershells.
","[{""version"":""v1"",""created"":""Thu, 16 Oct 1997 16:50:17 GMT""}]","2009-10-30"
"astro-ph/9710183","Pawel Magdziarz","P. Magdziarz, O. Blaes","A model of the broad-band continuum of NGC 5548","2 pages, no figures, LaTex, using crckspb.sty macro, to appear in
  Proceedings of IAU Symposium No. 188, `The Hot Universe', August 26-30, 1997,
  Kyoto, Japan",,,,"astro-ph",,"  We discuss a model of the central source in Seyfert 1 galaxy NGC 5548. The
model assumes a three phase disk structure consisting of a cold outer disk, a
hot central disk constituting a Comptonizing X/gamma source, and an
intermediate unstable and complex phase emitting a soft excess component. The
model qualitatively explains broad-band spectrum and variability behavior
assuming that the soft excess contributes significantly to the continuum
emission and drives variability by geometrical changes of the intermediate disk
zone.
","[{""version"":""v1"",""created"":""Thu, 16 Oct 1997 17:46:19 GMT""}]","2007-05-23"
"astro-ph/9710184","Xinmin Hua","Xin-Min Hua, Demosthenes Kazanas (LHEA, GSFC/NASA) and Wei Cui (CSR,
  MIT)","Modeling the Hard X-Ray Lag and Energy Spectrum of Cyg X-1","8 pages, 5 figures, Tex file, using AAS macro, submitted to
  Astrophysical Journal (June 24, 1997)",,,,"astro-ph",,"  In an effort to model the observed energy spectrum of Cygnus X-1 as well as
its hard X-ray lag by Comptonization in inhomogeneous clouds of hot electrons
with spherical geometry and various radial density profiles we discovered that:
1) Plasma clouds with different density profiles will lead to different
Comptonization energy spectra even though they have the same optical depth and
temperature. On the other hand, clouds with different optical depths can
produce the same energy spectra as long as their radial density distributions
are properly chosen. Thus by fitting the energy spectrum alone, it is not
possible to uniquely determine the optical depth of the Comptonization cloud,
let alone its density structure. 2) The phase or time difference as a function
of Fourier frequency or period for the X-rays in two energy bands is sensitive
to the radial density distribution of the scattering cloud. Comptonization in
plasma clouds with non-uniform density profiles can account for the long
standing puzzle of the frequency-dependent hard X-ray lags of Cygnus X-1 and
other sources. Thus simultaneously fitting the observed spectral and temporal
X-ray properties will allow us to probe the density structure of the
Comptonizing atmosphere and thereby the dynamics of mass accretion onto the
compact object.
","[{""version"":""v1"",""created"":""Thu, 16 Oct 1997 17:50:00 GMT""}]","2007-05-23"
"astro-ph/9710185","Jens Schmalzing","Jens Schmalzing and Krzysztof M. Gorski","Minkowski Functionals used in the Morphological Analysis of Cosmic
  Microwave Background Anisotropy Maps","14 pages, 13 figures, most of which look better in color. Uses
  AMSTeX, epsf.sty, mncite.sty. Very minor changes to match version accepted
  for publication in MNRAS","Mon. Not. R. Astron. Soc. 297 (1998) 355-365","10.1046/j.1365-8711.1998.01467.x",,"astro-ph",,"  We present a novel approach to quantifying the morphology of Cosmic Microwave
Background (CMB) anisotropy maps. As morphological descriptors, we use shape
parameters known as Minkowski functionals. Using the mathematical framework
provided by the theory of integral geometry on arbitrary curved supports, we
point out the differences to their characterization and interpretation in the
case of flat space. With restrictions of real data -- such as pixelization and
incomplete sky coverage, to mention just a few -- in mind, we derive and test
unbiased estimators for all Minkowski functionals. Various examples, among them
the analysis of the four-year COBE DMR data, illustrate the application of our
method.
","[{""version"":""v1"",""created"":""Thu, 16 Oct 1997 18:07:43 GMT""},{""version"":""v2"",""created"":""Sat, 20 Dec 1997 21:21:36 GMT""}]","2009-10-30"
"astro-ph/9710186","Greg L. Bryan","G.L. Bryan and M.L. Norman","Simulating X-ray Clusters with Adaptive Mesh Refinement","6 pages, 2 figures, in ""Computational Astrophysics"", Proc. 12th
  Kingston Conference, Halifax, Oct. 1996, ed. D. Clarke & M. West (PASP)",,,,"astro-ph",,"  Gravitational instabilities naturally give rise to multi-scale structure,
which is difficult for traditional Eulerian hydrodynamic methods to accurately
evolve. This can be circumvented by adaptively adding resolution (in the form
of multiple levels of finer meshes) to relatively small volumes as required. We
describe an application of this adaptive mesh refinement (AMR) technique to
cosmology, focusing on the formation and evolution of X-ray clusters. A set of
simulations are performed on a single cluster, varying the initial resolution
and refinement criteria. We find that although new, small scale structure
continues to appear as the resolution is increased, bulk properties and radial
profiles appear to converge at an effective resolution of $8192^3$.
","[{""version"":""v1"",""created"":""Thu, 16 Oct 1997 21:31:18 GMT""}]","2007-05-23"
"astro-ph/9710187","Greg L. Bryan","G.L. Bryan and M.L. Norman","A Hybrid AMR Application for Cosmology and Astrophysics","6 pages, 1 figure, to appear in ""Workshop on Structured Adaptive Mesh
  Refinement Grid Methods"", Mar. 1997, ed. N. Chrisochoides",,,,"astro-ph",,"  We describe an application of Berger and Colella's structured adaptive mesh
refinement algorithm to the field of cosmological astrophysics. Simulations in
this area must include not just a gaseous component which follows the
hyperbolic equations of compressible gas dynamics, but also a collisionless
component (such as dark matter or stars) described by the Newtonian dynamical
equations. The two fluids interact via gravity which requires an elliptic
solver. The challenge for AMR is twofold. First, the collisionless material is
most easily modeled by following trajectories of individual objects, a method
often referred to as an N-body scheme. The introduction of particles poses a
number of difficulties, both physical (how do they interact accurately with the
fluid in the mesh) and algorithmic (how to efficiently add a new data
structure). The second challenge is to incorporate the gravitational
interaction between the two components. We discuss our solutions to both of
these issues and briefly present very encouraging results.
","[{""version"":""v1"",""created"":""Thu, 16 Oct 1997 21:42:50 GMT""}]","2007-05-23"
"astro-ph/9710188","Yipeng Jing","Y.P. JING (Research Center for the Early Universe, University of
  Tokyo)","Measuring Galaxy Bias from the High-Order Correlation Functions","6 pages; LaTeX; to appear in the proceedings of IAU Symposium 183,
  Cosmological parameters and the evolution of the Universe, August 18-22,
  Kyoto",,,,"astro-ph",,"  In this talk, I will show how to determine the biasing factor $b$ from the
high-order moments of galaxies. The determination is based on the analytical
modeling of primordial peaks and virialized halos and is independent of the
currently unknown density parameter $\Omega_0$ and other cosmological
parameters. The observed high-oder moments of the APM galaxies require that the
biasing factor $b$ be very close to 1, i.e. the optical galaxies are an
unbiased tracer of the underlying mass distribution (on quasilinear scale). The
theoretical argument can be easily generalized to the three-point correlation
function and the bispectrum both of which can used as further observational
tests to the important conclusion of $b\approx 1$ drawn from the high-order
moments. Finally I present our preliminary results of the three-point
correlation functions for the Las Campanas Redshift Survey.
","[{""version"":""v1"",""created"":""Fri, 17 Oct 1997 02:21:53 GMT""}]","2007-05-23"
"astro-ph/9710189","James E. Rhoads","James E. Rhoads","Young red supergiants and the near infrared light appearance of disk
  galaxies","28 pages including 3 postscript figures. A fourth figure is in jpeg
  format. Uses AASTeX. Accepted for publication in The Astronomical Journal","The Astronomical Journal, v. 115, p. 472 (1998)","10.1086/300202",,"astro-ph",,"  Disk galaxies often show prominent nonaxisymmetric features at near-infrared
wavelengths. Such features may indicate variations in the surface density of
stellar mass, contributions from young red supergiants in star forming regions,
or substantial dust obscuration. To distinguish among these possibilities, we
have searched for spatial variations in the 2.3 micron photometric CO index
within the disks of three nearby galaxies (NGC 278, NGC 2649, & NGC 5713). This
index measures the strength of the absorption bands of molecular CO in stellar
atmospheres, and is strong in cool, low surface-gravity stars, reaching the
largest values for red supergiants. We observe significant spatial CO index
variations in two galaxies (NGC 278 & NGC 5713), indicating that the dominant
stellar population in the near-infrared is not everywhere the same. Central CO
index peaks are present in two galaxies; these could be due to either
metallicity gradients or recent star formation activity. In addition,
significant azimuthal CO index variations are seen in NGC 278. Because strong
azimuthal metallicity gradients are physically implausible in disk galaxies,
these features are most naturally explained by the presence of a young stellar
population. The fraction of 2 micron light due to young stellar populations in
star forming regions can be calculated from our data. Overall, young stellar
populations can contribute ~3% of a (normal) galaxy's near infrared flux.
Locally, this fraction may rise to ~33%. Thus, young stars do not dominate the
total near infrared flux, but can be locally dominant in star forming regions,
and can bias estimates of spiral arm amplitude or other nonaxisymmetric
structures in galaxies' mass distributions.
","[{""version"":""v1"",""created"":""Fri, 17 Oct 1997 06:47:20 GMT""}]","2015-06-24"
"astro-ph/9710190","Atsunori Yonehara","A. Yonehara(1), S. Mineshige(1), J. Fukue(2), M. Umemura(3), and E.L.
  Turner(4) ((1)Department of Astronomy, Kyoto University (2)Astronomical
  Institute, Osaka Kyoiku University (3)Center for Computational Physics,
  Tsukuba University (4)Princeton University Observatory)","Microlens Diagnostics of Accretion Disks in Active Galactic Nuclei","11 pages LaTeX, including 11 figures, accepted to A&A. e-mail to
  yonehara@kusastro.kyoto-u.ac.jp",,,,"astro-ph",,"  The optical-ultraviolet continuum from active galactic nuclei (AGN) seem to
originate from optically thick and/or thin disks, and occasionally from
associated circumnuclear starburst regions. These different possible origins
can, in principle, be discriminated by observations of gravitational
microlensing event. We performed numerical simulations of microlensing of an
AGN disk by a single lensing star passing in front of the AGN. Calculated
spectral variations and light curves show distinct behavior, depending on the
nature of emitting region; the time variation of a few months with strong
wavelength dependence is expected in the case of an optically thick disk ({\it
standard disk}), while an optically thin disk ({\it advection-dominated disk})
will produce shorter, nearly wavelength-independent variation. In the case of a
starburst region much slower variations (over a year) will be superposed on the
shorter variations.
","[{""version"":""v1"",""created"":""Fri, 17 Oct 1997 07:09:42 GMT""},{""version"":""v2"",""created"":""Wed, 22 Apr 1998 05:53:35 GMT""},{""version"":""v3"",""created"":""Thu, 2 Jul 1998 04:41:29 GMT""},{""version"":""v4"",""created"":""Fri, 9 Oct 1998 05:04:36 GMT""},{""version"":""v5"",""created"":""Fri, 6 Nov 1998 07:45:58 GMT""}]","2007-05-23"
"astro-ph/9710191","Jacek Szabelski","Jacek Szabelski (A.Soltan Institute for Nuclear Studies, Lodz, Poland)","Cosmic Rays: Studying the Origin","61 pages, 20 PostScript figures, LaTeX",,,"SINS-20/VII","astro-ph",,"  Investigations of the origin of cosmic rays are presented.
  Different methods are discussed: studies of cosmic gamma rays of energy from
30 MeV to about 10^15 eV (since photons point to their places of origin),
studies of the mass composition of cosmic rays (because it reflects source
morphology), and studies of cosmic rays with energy above 10^19 eV
  (for these are the highest energies observed in nature).
","[{""version"":""v1"",""created"":""Fri, 17 Oct 1997 07:57:22 GMT""}]","2016-08-30"
