"alg-geom/9702014","Sergei Merkulov","Yu.I.Manin and S.A.Merkulov","Semisimple Frobenius (super)manifolds and quantum cohomology of $P^r$","AMSTeX, 56 pages","Topol. Methods in Nonlinear Analysis 9 (1997), 107-161",,,"alg-geom dg-ga math.AG math.DG",,"  We introduce and study a superversion of Dubrovin's notion of semisimple
Frobenius manifolds. We establish a correspondence between semisimple Frobenius
(super)manifolds and special solutions to the (supersymmetric) Schlesinger
equations. Finally, we calculate the Schlesinger initial conditions for
solutions describing quantum cohomology of projective spaces.
","[{""version"":""v1"",""created"":""Fri, 21 Feb 1997 12:03:33 GMT""}]","2008-02-03"
"astro-ph/9702175","Klaus Jaeger","Klaus J""ager (1), Klaus J. Fricke (1) and Jochen Heidt (2) ((1)
  Universit""ats-Sternwarte G""ottingen, Germany, (2) Landessternwarte
  Heidelberg, Germany)","Observing the galaxy environment of QSOs","2 pages, 1 figure (postscript), Latex (uses lamuphys.sty). To appear
  in the proceedings of the ESO/IAC Conference on 'Quasar Hosts' held in Puerta
  de la Cruz, Tenerife, Spain, Sep. 24-27 1996",,,,"astro-ph",,"  We outline our recently started program to investigate the galaxy environment
of QSOs, in particular of radio-quiet objects at intermediate redshifts.
","[{""version"":""v1"",""created"":""Thu, 20 Feb 1997 18:02:24 GMT""}]","2007-05-23"
"astro-ph/9702176","C. Megan Urry","C. Megan Urry (Space Telescope Science Institute)","Multiwavelength Properties of Blazars","12 pages, 6 figures, latex file with encapsulated postscript. Invited
  review presented at the 1996 COSPAR Scientific Assembly (Birmingham UK 14-21
  July), in session E1.4 on The Variability of AGN and its Relation to
  Accretion Disk Phenomenology; paper to appear in Adv. Space Science",,"10.1016/S0273-1177(97)00619-4","STScI #1182","astro-ph",,"  The multiwavelength spectra of blazars appear to be dominated by nonthermal
emission from a relativistic jet oriented close to the line of sight. The
recent detection of many blazars at gamma-ray energies strongly supports this
scenario. High quality multiwavelength monitoring data for the brightest one or
two blazars suggest the optical through X-ray continuum is synchrotron emission
from an inhomogeneous jet. The gamma-rays are likely due to Compton scattering
of lower energy photons, either from within the jet or from the surrounding
gas. The physical properties of the jet and the way in which it is produced are
still largely a mystery but are probably related in some way to accretion onto
a central supermassive black hole. There is little direct observational
evidence for accretion disks in blazars, although there is evidence for winds
which might emanate from disks.
","[{""version"":""v1"",""created"":""Thu, 20 Feb 1997 16:29:51 GMT""}]","2009-10-30"
"astro-ph/9702177","Martine Mouchet","Martine Mouchet (Observatoire Meudon), Jean-Marc Bonnet-Bidaud (SAp,
  CEA Saclay), Nicolai Somov (SAO Zelenchuk), Tania Somova (SAO Zelenchuk)","The case of the two-period polar BY Cam (H0538+608)","14 pages, LATEX file (uses L-AA version 3 style), 9 ps figures,
  accepted for Astronomy and Astrophysics, Main Journal",,,,"astro-ph",,"  We present the results of fast temporal optical spectroscopy and photometry
of the AM Her type system BY Cam obtained in February 1990 and March 1991.
Emission line profiles show a complex structure and are strongly variable. The
radial velocity studies of a sharp component detected in Balmer lines in March
confirms the non-synchronism of the system. Different possible emitting regions
are discussed to explain the characteristics of the multiple line components.
It is shown from a computation of the line velocities and widths that the
'horizontal' stream cannot explain the lines of intermediate widths observed in
this system. A critical review of the different estimations of the periods
found in BY Cam is presented. Additional periods are revealed from a
re-analysis of previous optical polarimetric and UV spectroscopic data. We show
that because of the slight asynchronism between the white dwarf rotation and
the orbital period, significant changes in the accretion geometry introduce a
bias in the period determination depending on the length of the observations.
Large phase variations are shown to exist which are well reproduced by a
phase-drift model in which a magnetic dipole rotates in the orbital frame with
a period of 14.5+/-1.5 days.
","[{""version"":""v1"",""created"":""Thu, 20 Feb 1997 17:32:53 GMT""}]","2007-05-23"
"astro-ph/9702178","Jonathan P. Gardner","J. P. Gardner (1,2), R. M. Sharples (1), C. S. Frenk (1), and B. E.
  Carrasco (3) ((1) Durham University, UK, (2) LASP, NASA-GSFC, (3) INAOE,
  Mexico)","A wide-field K-band survey. The luminosity function of galaxies","Accepted for publication in ApJ Letters. 12 pages in LaTex, including
  3 postscript figures, requires aaspp4.sty","Astrophys.J.480:L99-L102,1997","10.1086/310630",,"astro-ph",,"  We present the first determination of the near-infrared K-band luminosity
function of field galaxies from a wide field K-selected redshift survey. The
best fit Schechter function parameters are $M^* = -23.12 +5log(h)$, $\alpha =
-0.91$, and $\phi^* = 1.66 \times 10^{-2} h^3 ~ Mpc^{-3}$. We estimate that
systematics are no more than 0.1 mag in $M^*$ and 0.1 in $\alpha$, which is
comparable to the statistical errors on this measurement.
","[{""version"":""v1"",""created"":""Thu, 20 Feb 1997 22:46:23 GMT""}]","2009-06-16"
"astro-ph/9702179","Carlos Gutierrez","C. M. Gutierrez (1), S. Hancock (2), R. D. Davies (3), R. Rebolo (1),
  R. A. Watson (1), R. J. Hoyland (1), A. N. Lasenby (2), and A. W. Jones (2)
  ((1) Instituto de Astrofisica de Canarias (IAC), (2) Mullard Radio Astronomy
  Observatory, Cavendish Laboratory (MRAO) (3) University of Manchester,
  Nuffield Radio Astronomy Laboratories, Jodrell Bank (NRAL))","New Cosmological Structures on Medium Angular Scales Detected with the
  Tenerife Experiments","ApJ Letters accepted, 13 pages Latex (uses AASTEX) and 4 encapsulated
  postscript figures.",,"10.1086/310634",,"astro-ph",,"  We present observations at 10 and 15 GHz taken with the Tenerife experiments
in a band of the sky at Dec.=+35 degrees. These experiments are sensitive to
multipoles in the range l=10-30. The sensitivity per beam is 56 and 20 microK
for the 10 and the 15 GHz data, respectively. After subtraction of the
prediction of known radio-sources, the analysis of the data at 15 GHz at high
Galactic latitude shows the presence of a signal with amplitude Delta Trms ~ 32
microK. In the case of a Harrison-Zeldovich spectrum for the primordial
fluctuations, a likelihood analysis shows that this signal corresponds to a
quadrupole amplitude Q_rms-ps=20.1+7.1-5.4 microK, in agreement with our
previous results at Dec.+=40 degrees and with the results of the COBE DMR.
There is clear evidence for the presence of individual features in the RA range
190 degrees to 250 degrees with a peak to peak amplitude of ~110 microK. A
preliminary comparison between our results and COBE DMR predictions for the
Tenerife experiments clearly indicates the presence of individual features
common to both. The constancy in amplitude over such a large range in frequency
(10-90 GHz) is strongly indicative of an intrinsic cosmological origin for
these structures.
","[{""version"":""v1"",""created"":""Thu, 20 Feb 1997 23:50:21 GMT""}]","2009-10-30"
"astro-ph/9702180","Dimitar Sasselov","Dimitar D. Sasselov (Harvard-Smithsonian Center for Astrophysics)","The Chromaticity of Microlensing (Surface Imaging of Stars)","5 pages, 2 figures, LaTex, invited talk 12th IAP Colloquium on ""The
  Astrophysical Returns of Microlensing Surveys"", eds. R.Ferlet and
  J.P.Maillard",,,,"astro-ph",,"  Gravitational microlensing is not achromatic when the star being microlensed
is resolved by the lens. We show how narrow-band photometry and moderate- to
high-resolution spectroscopy can be used to reconstruct the stellar surface
intensity distribution of a microlensed star. Such microlens imaging can
provide a unique opportunity to study the surfaces of normal red giants where
Doppler imaging is not applicable due to slow rotation.}
","[{""version"":""v1"",""created"":""Thu, 20 Feb 1997 23:46:13 GMT""}]","2007-05-23"
"astro-ph/9702181","Carlos Gutierrez","C.M. Gutierrez (Instituto de Astrofisica de Canarias)","The estimation of the noise in cosmic microwave background anisotropy
  experiments","ApJ accepted for publication. 12 pages Latex (uses AASTEX) and 2
  encapsulated postscript figures",,"10.1086/304241",,"astro-ph",,"  Even the most sensitive cosmic microwave background anisotropy experiments
have signal to noise ratios <=5, so that an accurate determination of the
properties of the cosmological signal requires a careful assessment of the
experimental noise. Most of the experiments combine simultaneous multi-channel
observations in which the presence of correlated noise is likely. This case is
common for ground-based experiments in which an important fraction of the noise
could be atmospheric in origin. Here, the way to compute and determine the
effects produced by this correlated noise is discussed; in particular, the
paper considers the Tenerife experiments (three radiometers at 10, 15 and 33
GHz with two independent receivers each) showing how this effect has been
taking into account properly in the more recent analysis of these data. It will
be demonstrated that for each of the three radiometers of these experiments,
the atmospheric noise is equivalent to a Gaussian noise common to both channels
with a coherence time smaller than the binning time, the net effect being an
enhancement of the error-bars in the stacked scan as compared with the
estimation for the case of pure uncorrelated noise. As expected from the
spectral index of the atmosphere, the effect is more important at higher
frequencies. The formalism is generalized and applied to the general case of
simultaneous multi-channel observations.
","[{""version"":""v1"",""created"":""Fri, 21 Feb 1997 00:01:37 GMT""}]","2009-10-30"
"astro-ph/9702182","Hui Li","Robert C. Duncan (UT-Austin) and Hui Li (LANL)","The Halo Beaming Model for Gamma-Ray Bursts","ApJ accepted, 9 figures, AASTEX",,"10.1086/304364",,"astro-ph",,"  We consider a model for gamma-ray bursts (GRBs) from high-velocity neutron
stars in the galactic halo. In this model, bursters are born in the galactic
disk with large recoil velocities V_r, and GRBs are beamed to within emission
cones of half-angle \phi centered on V_r. We describe scenarios for
magnetically -channeled GRBs that have such beaming characteristics. We then
make detailed comparisons of this halo beaming model (HBM) to BATSE and PVO
data for GRB intensity & angular position distributions. Acceptable fits to
observations of over 1000 bursts are obtained for \phi = 15 - 30 degrees and
for a BATSE sampling depth ~ 180 kpc. Present data favor a truly isotropic
(cosmological) model over the HBM, but not by a statistically compelling
margin. Bursters born in nearby external galaxies, such as M31, are almost
entirely undetectable in the HBM because of misdirected beaming. We analyze
several refinements of the basic HBM: gamma-ray intensities that vary with
angle from the beam axis; non-standard-candle GRB luminosity functions; and
models including a subset of bursters that do not escape from the galaxy. We
also discuss the energy budgets for the bursters, the origins of their recoils,
and the physics of burst beaming and alignment. One possible physical model is
based on the magnetar model of soft gamma repeaters (SGRs). Empirical bounds on
the rate of formation and peculiar velocities of SGRs imply that there exist ~
10^4 to ~ 10^7 aged SGRs in the galactic halo within a distance of 100 kpc. The
HBM gives an acceptable fit to observations only if it satisfies certain
conditions (e.g. \phi ~ 20 deg) which are possible, but for which there exist
no clear & compelling theoretical justifications. The cosmological burster
hypothesis is more generic and thus more attractive in this sense. (Abbreviated
Abstract).
","[{""version"":""v1"",""created"":""Fri, 21 Feb 1997 00:06:38 GMT""}]","2009-10-30"
"astro-ph/9702183","Bill Langer","W. D. Langer, T. Velusamy, T. B. H. Kuiper, R. Peng, M. C. McCarthy,
  M. J. Travers, A. Kov\'acs, C. A. Gottlieb, and P. Thaddeus","First Astronomical Detection of the Cumulene Carbon Chain Molecule
  H_2C_6 in TMC1","plain tex",,"10.1086/310622",,"astro-ph",,"  The cumulene carbenes are important components of hydrocarbon chemistry in
low mass star forming cores. Here we report the first astronomical detection of
the long chain cumulene carbene H_2C_6 in the interstellar cloud TMC1, from
observations of two of its rotational transitions: $J_{K,K'} = 7_{1,7}
\rightarrow 6_{1,6}$ at 18.8 GHz and $8_{1,8} \rightarrow 7_{1,7}$ at 21.5 GHz,
using NASA's Deep Space Network 70 m antenna at Goldstone, California. In
addition we also observed the shorter cumulene carbene, H_2C_4 at the same
position. The fractional abundance of H_2C_6 relative to H_2 is about $4.7
\times 10^{-11}$ and H_2C_4 is about $1.1 \times 10^{-9}$. The abundance of
H_2C_6 is in fairly good agreement with gas phase chemical models for young
molecular cloud cores, but the abundance of H_2C_4 is significantly larger than
predicted.
","[{""version"":""v1"",""created"":""Fri, 21 Feb 1997 00:28:52 GMT""}]","2016-08-15"
"astro-ph/9702184","Arlin Crotts","Arlin Crotts (Columbia U.), Scott Burles, David Tytler (UCSD)","The Weakness of C IV Absorber Clustering in Keck HIRES Spectra of
  Adjacent QSO Sightlines","15 LaTeX pages, plus 2 postscript figures. This version edited
  significantly, but with same results. To appear in The Astrophysical Journal
  Letters, 1 November 1997",,"10.1086/310948",,"astro-ph",,"  We observe with Keck/HIRES the z ~ 2.5 QSO triplet 1623+27 in order to
explore on the scale of a Megaparsec the spatial clustering of C IV absorbers
between adjacent sightlines. We find this signal to be significantly weaker
than the clustering in velocity on corresponding scales along single
sightlines, assuming that the relative velocity of absorbers is dominated by
the Hubble flow. This indicates that small-scale clustering (200 km/s < Delta v
< 600 km/s) of the C IV absorbers cannot be interpreted in terms of the
positions of the absorbers in space, but must be considered as internal motions
within individual absorbers, or within clusters of absorbers whose internal
velocities dominate over Hubble expansion across the cluster scale. If the
single- sightline signal is due to spatial clustering, it is caused by absorber
clusters smaller than would be implied by their velocities if a Hubble flow is
assumed. The spatial clustering of C IV absorbers at z ~ 2 is consistent with
data on Ly alpha forest clustering measured in the same way at the same
redshifts. However, present-day galaxy clustering, evolved back to z ~ 2, is
consistent with C IV spatial clustering but perhaps not with that of the Ly
alpha forest. Even so, one cannot as yet distinguish the two absorber
populations on the basis of spatial clustering on these small scales.
","[{""version"":""v1"",""created"":""Fri, 21 Feb 1997 01:49:51 GMT""},{""version"":""v2"",""created"":""Mon, 27 Oct 1997 02:29:08 GMT""}]","2009-10-30"
