"alg-geom/9707014","Constantin Teleman","Constantin Teleman (Cambridge, UK)","Borel-Weil-Bott theory for Loop Groups","4 pages, Mac-created PostScript. May display incorrectly but should
  print OK",,,,"alg-geom hep-th math.AG",,"  This note outlines the Borel-Weil-Bott theory for (arbitrary-genus) flag
varieties of loop groups, following ideas of G. Segal. Recent revivalist
interest in the ""WZW fusion rules"" suggests that my original (CMP 1995)
treatment of the matter is not all that well understood, so a brief account
thereof has been recycled along with the more recent results. Proofs are only
outlined, with full details given in the references.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 18:50:23 GMT""}]","2008-02-03"
"astro-ph/9707200","Max Pettini","Max Pettini (Royal Greenwich Observatory), Charles C. Steidel (Palomar
  Observatory), Mark Dickinson (The Johns Hopkins University), Melinda Kellogg
  (Palomar Observatory), Mauro Giavalisco (The Carnegie Observatories), Kurt L.
  Adelberger (Palomar Observatory)","The Spectra of Star Forming Galaxies at High Redshift","11 pages, LaTeX, 5 Postscript Figures. To appear in `The Ultraviolet
  Universe at Low and High Redshift', ed. W. Waller, (Woodbury: AIP Press)",,"10.1063/1.53800",,"astro-ph",,"  We review the spectral properties of the population of star forming galaxies
at z = 3 discovered using a colour selection technique which targets the Lyman
discontinuity at 912 Angstroms. The UV luminosity of the typical z = 3 galaxy
exceeds by more than one order of magnitude that of the most luminous
starbursts in the nearby universe, although the maximum star formation
intensity (SFR per unit area) is within the limits found in local surveys. We
consider in detail the likely magnitude of dust extinction and conclude that
published estimates of the volume-averaged star formation rate at high z need
to be revised to higher values by a factor of about 3. This correction improves
the agreement between the observations and recent theoretical predictions.
Lyman alpha emission is generally weak, most likely as a result of resonant
scattering. The large equivalent widths of the strongest interstellar lines and
their systematic blueshift (by up to several hundred km/s) relative to the
Lyman alpha emission line are indicative of highly energetic outflows in the
interstellar medium. Pilot observations have detected the redshifted Hbeta and
[O III] emission lines in the K band. The widths of these features imply
dynamical masses of approximately 10^{10} solar masses for the innermost star
forming regions; the total masses involved are likely to exceed 10^{12} solar
masses.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 22:13:38 GMT""}]","2009-10-30"
"astro-ph/9707202",,"P. Magdziarz, O. M. Blaes, A. A. Zdziarski, W. N. Johnson, D. A. Smith","Broad-band continuum and variability of NGC 5548","5 pages, 3 figures, LaTex, using AIP macro, to appear in Proceedings
  of ""4th Compton Symposium"", April 27-30, 1997, Williamsburg, Virginia, USA",,"10.1063/1.54115",,"astro-ph",,"  We analyze a composite broad-band optical/UV/Xgamma-ray spectrum of the
Seyfert 1 galaxy NGC 5548. The spectrum consists of an average of simultaneous
optical/IUE/Ginga observations accompanied by ROSAT and GRO/OSSE data from
non-simultaneous observations. We show that the broad-band continuum is
inconsistent with simple disk models extending to the soft X-rays. Instead, the
soft-excess is well described by optically thick, low temperature, thermal
Comptonization which may dominate the entire big blue bump. This might explain
the observed tight UV/soft X-ray variability correlation and absence of a Lyman
edge in this object. However, the plasma parameters inferred by the spectrum
need stratification in optical depth and/or temperature to prevent physical
inconsistency. The optical/UV/soft X-ray component contributes about half of
the total source flux. The spectral variations of the soft-excess are
consistent with that of the UV and argue that the components are closely
related. The overall pattern of spectral variability suggests variations of the
source geometry, and shows the optical/UV/soft X-ray component to be harder
when brighter, while the hard X-ray component is softer when brighter.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 20:09:53 GMT""}]","2009-10-30"
"astro-ph/9707207","Hanadi Abdelsalam","H.M. AbdelSalam(Astrophysics, Oxford), P. Saha(Astrophysics, Oxford),
  L.L.R. Williams(IoA, Cambridge)","Non-parametric Reconstruction of Cluster Mass Distribution from Strong
  Lensing: Modelling Abell 370","14 pages(19 postscript figures), minor corrections, MNRAS in press",,"10.1111/j.1365-8711.1998.01356.x",,"astro-ph",,"  We describe a new non-parametric technique for reconstructing the mass
distribution in galaxy clusters with strong lensing, i.e., from multiple images
of background galaxies. The observed positions and redshifts of the images are
considered as rigid constraints and through the lens (ray-trace) equation they
provide us with linear constraint equations. These constraints confine the mass
distribution to some allowed region, which is then found by linear programming.
Within this allowed region we study in detail the mass distribution with
minimum mass-to-light variation; also some others, such as the smoothest mass
distribution. The method is applied to the extensively studied cluster Abell
370, which hosts a giant luminous arc and several other multiply imaged
background galaxies. Our mass maps are constrained by the observed positions
and redshifts (spectroscopic or model-inferred by previous authors) of the
giant arc and multiple image systems. The reconstructed maps obtained for \a370
reveal a detailed mass distribution, with substructure quite different from the
light distribution. The method predicts the bimodal nature of the cluster and
that the projected mass distribution is indeed elongated along the axis defined
by the two dominant cD galaxies. But the peaks in the mass distribution appear
to be offset from the centres of the cDs. We also present an estimate for the
total mass of the central region of the cluster. This is in good agreement with
previous mass determinations. The total mass of the central region is
M=(2.0-2.7) 10^14 Msun/h50, depending on the solution chosen.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 16:39:22 GMT""},{""version"":""v2"",""created"":""Wed, 14 Jan 1998 23:15:19 GMT""}]","2020-11-25"
"astro-ph/9707208","David L. Lambert","Jocelyn Tomkin, Bengt Edvardsson, David L. Lambert, and Bengt
  Gustafsson","The rise and fall of the NaMgAl stars","12 pages, 6 figures, 5 tables","Astron.Astrophys. 327 (1997) 587",,,"astro-ph",,"  We have made new abundance determinations for a sample of NaMgAl stars. These
stars, which are a subgroup of the nearby metal-rich field F and G disk dwarfs,
were first identified by Edvardsson et al. (1993) on the basis of their
apparent enrichment in Na, Mg and Al relative to other elements. The discovery
of a planetary companion to the nearby solar type star 51 Peg (Mayor & Queloz
1995) combined with Edvardsson et al.'s earlier identification of 51 Peg as a
NaMgAl star highlighted the group's potential importance. Our new analysis,
which uses new spectra of higher resolution and better wavelength coverage than
the analysis of Edvardsson et al., shows that the Na, Mg and Al abundances of
the NaMgAl stars are indistinguishable from those of non-NaMgAl stars with
otherwise similar properties. The group thus appears to be spurious. Our study,
which includes 51 Peg, also provides the most complete set of abundances for
this star available to date. The new Fe abundance, $[Fe/H] = +0.20 \pm 0.07$,
of 51 Peg confirms earlier measurements of its metal richness. Abundances for
19 other elements, including C, N and O, reveal a fairly uniform enrichment
similar to that of Fe and show no evidence of abnormality compared to other
metal rich stars of similar spectral type.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 18:39:13 GMT""}]","2007-05-23"
"astro-ph/9707209",,"David M. Goldberg and Michael A. Strauss (Princeton University
  Observatory)","Determination of the Baryon Density from Large Scale Galaxy Redshift
  Surveys","23 Pages, 10 Postscript figures","Astrophys.J.495:29,1998","10.1086/305284",,"astro-ph",,"  We estimate the degree to which the baryon density, $\Omega_{b}$, can be
determined from the galaxy power spectrum measured from large scale galaxy
redshift surveys, and in particular, the Sloan Digital Sky Survey. A high
baryon density will cause wiggles to appear in the power spectrum, which should
be observable at the current epoch. We assume linear theory on scales $\geq
20h^{-1}Mpc$ and do not include the effects of redshift distortions, evolution,
or biasing. With an optimum estimate of $P(k)$ to $k\sim 2\pi/(20 h^{-1} Mpc)$,
the $1 \sigma$ uncertainties in $\Omega_{b}$ are roughly 0.07 and 0.016 in flat
and open ($\Omega_{0}=0.3$) cosmological models, respectively. This result
suggests that it should be possible to test for consistency with big bang
nucleosynthesis estimates of $\Omega_{b}$ if we live in an open universe.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 18:40:08 GMT""}]","2011-02-11"
"astro-ph/9707210","Tristan Guillot","Tristan Guillot, Daniel Gautier and William B. Hubbard","New Constraints on the Composition of Jupiter from Galileo Measurements
  and Interior Models","15 pages, 2 figures (1 color)","Icarus 130, 534-539 (1997)","10.1006/icar.1997.5812",,"astro-ph",,"  Using the helium abundance measured by Galileo in the atmosphere of Jupiter
and interior models reproducing the observed external gravitational field, we
derive new constraints on the composition and structure of the planet. We
conclude that, except for helium which must be more abundant in the metallic
interior than in the molecular envelope, Jupiter could be homogeneous (no core)
or could have a central dense core up to 12 Earth masses. The mass fraction of
heavy elements is less than 7.5 times the solar value in the metallic envelope
and between 1 and 7.2 times solar in the molecular envelope. The total amount
of elements other than hydrogen and helium in the planet is between 11 and 45
Earth masses.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 19:46:48 GMT""}]","2009-10-30"
"astro-ph/9707211","Martin Federspiel","P. Stein (1), H. Jerjen (2), M. Federspiel (3) ((1) Departament
  d'Astronomia i Meteorologia, Universitat de Barcelona (2) Mt. Stromlo and
  Siding Spring Observatories, (3) Astronomisches Institut der Universitaet
  Basel)","Velocity structure of the dwarf galaxy population in the Centaurus
  cluster","13 pages, LaTeX2e using A&A l-aa4.01 package, 6 eps figures, 5
  Tables; accepted for publication in Astronomy and Astrophysics",,,,"astro-ph",,"  Based on the photometric survey of the inner region of the Centaurus cluster
(Jerjen & Dressler 1997a) we measured redshifts for a deep, surface brightness
limited sample of galaxies using the MEFOS multifibre spectrograph at the ESO
3.6m telescope. With the new data set radial velocities for 120 centrally
located cluster members become available which is equivalent to 78% of all
known cluster galaxies in the region brighter than B_T=18.5. The relevant
aspect of this investigation is that new redshifts for 32 dwarf galaxies have
been measured, rising the total number to 48. We investigate the prominent
bimodal velocity distribution of Centaurus in more detail, discussing the very
different characteristics of the velocity distributions for the main Hubble
types E&S0, spirals, Im&BCD, and dE&dS0. The nucleated, bright dwarf
ellipticals are the only galaxies with a Gaussian-like distribution centred at
3148+/-98 km/s. The remarkable coincidence of this velocity with the mean
velocity of Cen30 and the redshift of NGC 4696 in particular strongly suggests
a connection of the dE&dS0s to the gravitational centre of the Centaurus
cluster and/or to the cluster dominant E galaxy. The application of statistical
tests reveals the existence of a population dwarf galaxies bound to NGC 4696.
The dynamical parameters for the two velocity components suggest that Cen30 is
the real Centaurus cluster whereas Cen45 can only be a loosely bound group of
galaxies. This conclusion is followed up with a type-mixture analysis. All
results are fully consistent with the cluster-group scenario. Whether Cen45 is
merging with the cluster or is located in the close background remains unclear.
We show that the poorness of Cen45 represents an intrinsic problem which makes
it difficult to approach this question.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 20:02:01 GMT""}]","2007-05-23"
"astro-ph/9707212",,"Keith A. Olive","Primordial Nucleosynthesis and Dark Matter","67 pages, latex, 28 ps figures, Summary of lectures given at the 1997
  Lake Louise Winter Institute, Lake Louise, Alberta, February 16-20 1997",,,"UMN-TH-1539/96","astro-ph",,"  Following a brief introduction to early Universe cosmology, the current of
status of big bang nucleosynthesis is reviewed and the concordance between
theory and observation is examined in detail. The abundances of He4 and Li7
determine the value of the baryon-to-photon ratio, $\eta$ to be relatively low,
$\eta \approx 1.8 \times 10^{-10}$, and agrees with some recent measurements of
D/H in quasar absorption systems. These results have far reaching consequences
for galactic chemical evolution, the amount of baryonic dark matter in the
Universe and on the allowed number of degrees of freedom in the early Universe.
Finally, motivations for cosmological dark matter will be reviewed with special
emphasis placed on supersymmetric candidates.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 20:46:08 GMT""}]","2007-05-23"
"astro-ph/9707213","Marek Gierlinski","Marek Gierlinski, Andrzej A. Zdziarski, Tadayasu Dotani, Ken Ebisawa,
  Keith Jahoda, W. Neil Johnson","X-ray and gamma-ray spectra of Cyg X-1 in the soft state","5 pages, 3 figures, to appear in the Proceedings of 4th Compton
  Symposium, April 27-30, 1997, Williamsburg, Virginia, USA",,"10.1063/1.54153","CAMK-323/97","astro-ph",,"  We present X-ray/gamma-ray observations of Cyg X-1 in the soft state during
1996 May-June. We analyze ASCA, RXTE and OSSE data. The spectrum consists of
soft X-ray blackbody emission of an optically thick accretion disk in the
vicinity of a black hole and a power law with an energy index alpha around
1.2-1.5 extending to at least several hundred keV. In the spectra, we find the
presence of strong Compton reflection, which probably comes from the disk.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 22:40:02 GMT""},{""version"":""v2"",""created"":""Sat, 19 Jul 1997 14:41:09 GMT""}]","2009-10-30"
"astro-ph/9707214","Nikolaos Tetradis","N. Tetradis (CERN)","Fine tuning of the initial conditions for hybrid inflation","11 pages, LaTeX, 8 figures in eps format","Phys.Rev.D57:5997-6002,1998","10.1103/PhysRevD.57.5997","CERN-TH/97-163","astro-ph hep-ph",,"  We study the evolution of regions of space with various initial field values
for a simple theory that can support hybrid inflation. Only very narrow domains
within the range of initial field values below the Planck scale lead to the
onset of inflation. This implies a severe fine tuning for the initial
configuration that will produce inflation.
","[{""version"":""v1"",""created"":""Fri, 18 Jul 1997 09:18:11 GMT""},{""version"":""v2"",""created"":""Sat, 31 Oct 1998 14:30:53 GMT""}]","2009-06-19"
