"adap-org/9707002","Peter Grassberger","Hans-Martin Broeker and Peter Grassberger","Random Neighbor Theory of the Olami-Feder-Christensen Earthquake Model","18 pages, 6 ps-figures included; minor correction in sec.5",,"10.1103/PhysRevE.56.3944","HLRZ1997-22","adap-org nlin.AO",,"  We derive the exact equations of motion for the random neighbor version of
the Olami-Feder-Christensen earthquake model in the infinite-size limit. We
solve them numerically, and compare with simulations of the model for large
numbers of sites. We find perfect agreement. But we do not find any scaling or
phase transitions, except in the conservative limit. This is in contradiction
to claims by Lise & Jensen (Phys. Rev. Lett. 76, 2326 (1996)) based on
approximate solutions of the same model. It indicates again that scaling in the
Olami-Feder-Christensen model is only due to partial synchronization driven by
spatial inhomogeneities. Finally, we point out that our method can be used also
for other SOC models, and treat in detail the random neighbor version of the
Feder-Feder model.
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 12:37:31 GMT""},{""version"":""v2"",""created"":""Tue, 16 Sep 1997 13:25:44 GMT""}]","2009-10-30"
"astro-ph/9707120","S. G. Moiseenko","G.S.Bisnovatyi-Kogan (Space Research Institute, Moscow)","Asymmetric neutrino emision and formation of rapidly moving pulsars","8 pages, TeX, No figures. No macroses","Astron.Astrophys.Trans. 3 (1993) 287-294","10.1080/10556799308230566",,"astro-ph",,"  The neutron star formation during the collapse with the strong magnetic field
may lead to a mirror symmetry violation and formation of an asymmetric magnetic
field. Dependence of the week interaction cross-section on the magnetic field
strength lead to the asymmetric neutrino flux and formation of rapidly mooving
pulsars due to the recoil action as well as rapidly moving black holes.
","[{""version"":""v1"",""created"":""Thu, 10 Jul 1997 16:13:43 GMT""}]","2015-06-24"
"astro-ph/9707121","J. Robert Buchler","J. Robert Buchler (University of Florida)","Classical Cepheids -- a Review","10 pages - to appear in Proceedings of the Twelfth IAP Colloquium on
  Variable Stars and the Astrophysical Returns of Microlensing Surveys, Paris,
  Eds. R. Ferlet & J.P. Maillard, (in press)",,,,"astro-ph",,"  We briefly review the evolutionary status of the classical Cepheid variables,
their structure, and the properties of the linear modes. Then we discuss the
current status of the nonlinear hydrodynamical modelling, including modern
adaptive mesh techniques, and the sensitivity to opacity. We stress the
importance of resonances among the normal modes of pulsation because they can
be used to impose severe constraints on the models and on the input physics.
  We show that recent hydrodynamics computations provide an explanation for the
hitherto unexplained dip in the histogram of Galactic Cepheids around 8--10
days.
  The EROS and MACHO observations of classical Cepheids in the Large and Small
Magellanic Clouds have opened up a new exciting perspective on these variable
stars. This new observational basis is very important, not only because of the
sheer number of new Cepheids, but especially because the composition of the MCs
is known to differ from our Galaxy's, thus extending the range of astrophysical
parameters. These new data have been found not to be fully compatible with our
current Cepheid modelling and are forcing a review of our assumptions and input
physics.
","[{""version"":""v1"",""created"":""Thu, 10 Jul 1997 17:49:46 GMT""}]","2007-05-23"
"astro-ph/9707122","Dr. Jerome James Brainerd","J. J. Brainerd","The Cosmological Signatures and Flux Distribution of Gamma-Ray Bursts
  with a Broad Luminosity Distribution","38 pages with embedded figures. To appear in ApJ on Sept. 20, 1997.
  Minor errors corrected August 16, 1997",,"10.1086/304585",,"astro-ph",,"  The cosmological expansion cannot produce the reported correlations of the
gamma-ray burst timescale and spectral energy with peak flux if the burst model
reproduces the BATSE 3B peak-flux distribution for a non-evolving burst source
density. Power law luminosity distribution models proportional to L^{-beta}
produce acceptables fits to the data for most values of the spectral parameters
when beta < 1.6. In this model, gamma-ray bursts of a given peak flux have a
distribution of redshifts, with a maximum redshift of > 3 for peak fluxes near
the BATSE threshold, and with an average redshift of < 1 for all values of peak
flux. The reported correlations of the burst timescale and the spectral energy
with peak flux are systematically 1 standard deviation above the monoluminous
model and 1.5 to 2 standard deviation above the power-law luminosity model.
These results suggest that an intrinsic correlation of burst timescale and
spectral energy with luminosity is present.
","[{""version"":""v1"",""created"":""Thu, 10 Jul 1997 17:53:32 GMT""},{""version"":""v2"",""created"":""Sat, 16 Aug 1997 18:40:34 GMT""}]","2009-10-30"
"astro-ph/9707123","Dick Henry","J.F. Buell, R.B.C. Henry, E. Baron (U. of Oklahoma), K.B. Kwitter
  (Williams College)","On the Origin of Planetary Nebula K648 in Globular Cluster M15","19 pages, 2 figures, latex, 2 files containing postscript figures.
  Paper to appear in Astrophysical Journal, 483, 837 (1997)",,"10.1086/304273",,"astro-ph",,"  We examine two scenarios for formation of the planetary nebula K648: a prompt
scenario where the planetary nebula is ejected and formed immediately after a
helium shell flash and a delayed scenario where a third dredge up occurs and
the envelope is ejected during the following interpulse phase. We present
models of both scenarios and find that each can produce K648-like systems. We
suggest that the prompt scenario is more favorable but cannot rule out the
delayed scenario.
","[{""version"":""v1"",""created"":""Thu, 10 Jul 1997 19:26:21 GMT""}]","2009-10-30"
"astro-ph/9707124","Eddie Guerra","Erick J. Guerra & Ruth A. Daly (Princeton Univ. Physics)","Outflow Angles, Bulk Lorentz Factors, and Kinematics of Outflows from
  the Cores of AGN","30 pages, Latex, uses AAS Latex macros v4.0 (aaspp4.sty), 6 seperate
  table files tb*.tex, 33 postscript file figures. Postscript version available
  at http://pulsar.princeton.edu/~eddie/preprint.html Accepted to The
  Astrophysical Journal",,"10.1086/304977",,"astro-ph",,"  Outflow angles and bulk Lorentz factors for 43 sources that have proper
motions compiled by Vermeulen & Cohen (1994) are computed on the basis of
Doppler factors and observed apparent motions in the plane of the sky. These
estimates of outflow angles and bulk Lorentz factors are discussed along with
their agreement with orientation unified models of AGN. Intrinsic (i.e. rest
frame) brightness temperatures computed by using the inverse Compton and
equipartition Doppler factor are discussed along with their relevance to the
``Inverse Compton catastrophe''. Intrinsic luminosity densities and
luminosities are presented, and the role of systematic errors is discussed.
These studies are carried out using a sample of 100 compact radio sources
compiled by Ghisellini et al. (1993). Error estimates for previously computed
inverse Compton Doppler factors and equipartition Doppler factors are presented
for these sources, along with a few updates of these Doppler factor estimates.
","[{""version"":""v1"",""created"":""Thu, 10 Jul 1997 20:29:40 GMT""},{""version"":""v2"",""created"":""Fri, 11 Jul 1997 02:55:49 GMT""}]","2009-10-30"
"astro-ph/9707125","Brian Vaughan","Lars Bildsten, Deepto Chakrabarty, John Chiu, Mark H. Finger, Danny T.
  Koh, Robert W. Nelson, Thomas A. Prince, Bradley C. Rubin, D. Matthew Scott,
  Mark Stollberg, Brian A. Vaughan, Colleen A. Wilson, and Robert B. Wilson","Observations of Accreting Pulsars","LaTeX, psfig, 90 pages, 42 figures. To appear in Dec. 1997 ApJS, Vol
  113, #2",,"10.1086/313060",,"astro-ph",,"  We summarize five years of continuous monitoring of accretion-powered pulsars
with the Burst and Transient Source Experiment (BATSE) on the Compton Gamma Ray
Observatory. Our 20-70 keV observations have determined or refined the orbital
parameters of 13 binaries, discovered 5 new transient accreting pulsars,
measured the pulsed flux history during outbursts of 12 transients (GRO
J1744-28, 4U 0115+634, GRO J1750-27, GS 0834-430, 2S 1417-624, GRO J1948+32,
EXO 2030+375, GRO J1008-57, A 0535+26, GRO J2058+42, 4U 1145-619 and A
1118-616), and also measured the accretion torque history of during outbursts
of 6 of those transients whose orbital parameters were also known. We have also
continuously measured the pulsed flux and spin frequency for eight persistently
accreting pulsars (Her X-1, Cen X-3, Vela X-1, OAO 1657-415, GX 301-2, 4U
1626-67, 4U 1538-52, and GX 1+4). Because of their continuity and uniformity
over a long baseline, BATSE observations have provided new insights into the
long-term behavior of accreting magnetic stars. We have found that all
accreting pulsars show stochastic variations in their spin frequencies and
luminosities, including those displaying secular spin-up or spin-down on long
time scales, blurring the conventional distinction between disk-fed and
wind-fed binaries. Pulsed flux and accretion torque are strongly correlated in
outbursts of transient accreting pulsars, but uncorrelated, or even
anticorrelated, in persistent sources.
","[{""version"":""v1"",""created"":""Thu, 10 Jul 1997 19:09:24 GMT""},{""version"":""v2"",""created"":""Tue, 22 Jul 1997 21:39:41 GMT""}]","2009-10-30"
"astro-ph/9707126","Wayne G. Roberge","W. G. Roberge (Rensselaer Polytechnic Institute)","An adiabatic approximation for grain alignment theory","22 pages (LaTeX+4 eps figs); accepted by MNRAS 6/30/97","Mon.Not.Roy.Astron.Soc. 291 (1997) 345-352","10.1093/mnras/291.2.345",,"astro-ph",,"  The alignment of interstellar dust grains is described by the joint
distribution function for certain ``internal'' and ``external'' variables,
where the former describe the orientation of a grain's axes with respect to its
angular momentum, J, and the latter describe the orientation of J relative to
the interstellar magnetic field. I show how the large disparity between the
dynamical timescales of the internal and external variables--- which is
typically 2--3 orders of magnitude--- can be exploited to greatly simplify
calculations of the required distribution. The method is based on an
``adiabatic approximation'' which closely resembles the Born-Oppenheimer
approximation in quantum mechanics. The adiabatic approximation prescribes an
analytic distribution function for the ``fast'' dynamical variables and a
simplified Fokker-Planck equation for the ``slow'' variables which can be
solved straightforwardly using various techniques. These solutions are accurate
to order epsilon, where epsilon is the ratio of the fast and slow dynamical
timescales. As a simple illustration of the method, I derive an analytic
solution for the joint distribution established when Barnett relaxation acts in
concert with gas damping. The statistics of the analytic solution agree with
the results of laborious numerical calculations which do not exploit the
adiabatic approximation.
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 04:06:14 GMT""}]","2015-06-24"
"astro-ph/9707127","David Woods","David Woods, Gregory G. Fahlman (University of British Columbia)","Measuring the Angular Correlation Function for Faint Galaxies in High
  Galactic Latitude Fields","LaTeX (aaspp4.sty), 54 pages including 15 postscript figures; 3
  additional uuencoded, gzipped postscript files (~300 kb each) of Figs. 1, 2
  and 3 available at ftp://ftp.astro.ubc.ca/pub/woods ; To be published in the
  Nov. 20, 1997 issue of The Astrophysical Journal",,"10.1086/304843",,"astro-ph",,"  A photometric survey of faint galaxies in three high Galactic latitude fields
(each $\sim49~\rm{arcmin^{2}}$) with sub-arcsecond seeing is used to study the
clustering properties of the faint galaxy population. Multi-color photometry of
the galaxies has been obtained to magnitude limits of $V\sim25$, $R\sim25$ and
$I\sim24$. Angular correlation analysis is applied to magnitude-limited and
color-selected samples of galaxies from the three fields for angular
separations ranging from $10-126''$. General agreement is obtained with other
recent studies which show that the amplitude of the angular correlation
function, $\omega(\theta)$, is smoothly decreasing as a function of limiting
magnitude. The observed decline of $\omega(\theta)$ rules out the viability of
``maximal merger'' galaxy evolution models. Using redshift distributions
extrapolated to faint magnitude limits, models of galaxy clustering evolution
are calculated and compared to the observed I-band $\omega(\theta)$. Faint
galaxies are determined to have correlation lengths and clustering evolution
parameters of either $r_{0}\sim4~h^{-1}~Mpc$ and $\epsilon\sim0-1$;
$r_{0}\sim5-6~h^{-1}~Mpc$ and $\epsilon>1$; or $r_{0}\sim2-3~h^{-1}~ Mpc$ and
$\epsilon\sim-1.2$, assuming $q_{0}=0.5$ and with $h=H_{0}/100~
km~s^{-1}~Mpc^{-1}$. The latter case is for clustering fixed in co-moving
coordinates and is probably unrealistic since most local galaxies are observed
to be more strongly clustered. No significant variations in the clustering
amplitude as a function of color are detected, for all the color-selected
galaxy samples considered. (Abridged)
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 05:03:46 GMT""}]","2009-10-30"
"astro-ph/9707128","Litvine D. Litvak M. or Alisov A.","I. G. Mitrofanov, M. L. Litvak and D. A. Ushakov (Space Research
  Institute, Moscow, Russia)","The Direct Test of Cosmological Model for Cosmic Gamma-Ray Bursts Based
  on the Peak Alignment Averaging","25 pages, Latex, 7 Postscript figures, uses aasms4.sty accepted to
  ApJ 19.06.97",,"10.1086/304892",,"astro-ph",,"  The cosmological origin of cosmic gamma-ray bursts is tested using the method
of peak alignment for the averaging of time profiles. The test is applied to
the basic cosmological model with standard sources, which postulates that
difference between bright and dim bursts results from different cosmological
red-shifts of their sources. The average emissivity curve (ACEbright) of the
group of bright BATSE bursts is approximated by a simple analytical function,
which takes into account the effect of squeezing of the time pulses with
increasing energy of photons. This function is used to build the model light
curve for ACEdim of dim BATSE bursts, which takes into account both the
cosmological time- stretching of bursts light curves and the red-shifting of
photons energies. Direct comparison between the model light curve and the
ACEdim of dim bursts is performed, which is based on the estimated
probabilities of differences between ACEs of randomly selected groups of
bursts. It shows no evidence for the predicted cosmological effects. The 3
sigma upper limit of the average red- shift Zdim of emitters of dim bursts is
estimated to be as small, as 0.1-0.5, which is not consistent with values 1
predicted by the known cosmological models of gamma-ray bursts.
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 10:24:56 GMT""}]","2009-10-30"
"astro-ph/9707129","Albrecht","Andreas Albrecht, Richard A. Battye and James Robinson","The case against scaling defect models of cosmic structure formation","7 Pages, Latex, 4 figures","Phys.Rev.Lett.79:4736-4739,1997","10.1103/PhysRevLett.79.4736","Imperial/TP/96-97/51","astro-ph",,"  We calculate predictions from defect models of structure formation for both
the matter and Cosmic Microwave Background (CMB) over all observable scales.
Our results point to a serious problem reconciling the observed large-scale
galaxy distribution with the COBE normalization, a result which is robust for a
wide range of defect parameters. We conclude that standard scaling defect
models are in conflict with the data, and show how attempts to resolve the
problem by considering non-scaling defects would require radical departures
from the standard scaling picture.
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 13:02:54 GMT""}]","2010-04-08"
