"alg-geom/9707004","Robert Friedman","Robert Friedman, John W. Morgan, Edward Witten","Principal G-bundles over elliptic curves","AMS-TeX, 20 pages, amsppt style; minor errors corrected","Math.Res.Lett.5:97-118,1998",,,"alg-geom hep-th math.AG",,"  Let $G$ be a simple and simply connected complex Lie group. We discuss the
moduli space of holomorphic semistable principal $G$ bundles over an elliptic
curve $E$. In particular we give a new proof of a theorem of Looijenga and
Bernshtein-Shvartsman, that the moduli space is a weighted projective space.
The method of proof is to study the deformations of certain unstable bundles
coming from special maximal parabolic subgroups of $G$. We also discuss the
associated automorphism sheaves and universal bundles, as well as the relation
between various universal bundles and spectral covers.
","[{""version"":""v1"",""created"":""Mon, 7 Jul 1997 17:43:09 GMT""},{""version"":""v2"",""created"":""Mon, 23 Feb 1998 15:31:46 GMT""}]","2010-04-07"
"astro-ph/9707081","J. Robert Buchler","J. R. Buchler, P. A. Yecko, Z. Kollath (University of Florida)","The Nature of Strange Modes in Classical Variable Stars","14 pages, including figures. Home Page
  http://www.phys.ufl.edu/~buchler Revised with minor corrections","A&A 326, 669 (1997)",,,"astro-ph chao-dyn nlin.CD",,"  Strange modes have been found in the radial spectrum of many luminous stars,
most recently in Cepheids and RR Lyrae. We show that there is nothing strange
about these modes -- they must exist even in the adiabatic limit.
  With a change of variables and without approximation the adiabatic linear
pulsation equation is reduced to a Schroedinger equation in which the radial
coordinate is the local sound-traversal time. In this formulation, the narrow
hydrogen partial ionization region is seen to act as a potential barrier,
separating the star into two regions. Resonances between the two regions result
in the strange modes, for which the ratio of interior to exterior amplitude is
at a minimum. The relative location of the barrier changes with the stellar
parameters, and this gives rise to avoided level-crossings along a sequence of
models. 2 The appearance of strange modes and the associated level crossings
are exhibited with an analytic toy-model with the potential barrier
approximated by a delta function. This toy-model is readily extensible to
nonadiabatic modes.
  Hydrodynamical calculations find that pure strange mode limit-cycles have
extremely small photospheric velocities and luminosity variations in the
milli-magnitude range. They are therefore expected to be difficult to observe.
","[{""version"":""v1"",""created"":""Mon, 7 Jul 1997 17:05:27 GMT""},{""version"":""v2"",""created"":""Wed, 24 Sep 1997 19:51:32 GMT""}]","2008-02-03"
"astro-ph/9707082","Chris Reynolds","C.S.Reynolds (JILA, Boulder) and A.C.Fabian (IoA, Cambridge)","Special relativistic effects on the strength of the fluorescent K-alpha
  iron line from black hole accretion disks","5 pages, 3 postscript figures. Accepted for publication in MNRAS
  (pink pages). Also available at
  http://rocinante.Colorado.EDU/~chris/html_papers/special/special.html",,"10.1093/mnras/290.1.L1",,"astro-ph",,"  The broad iron K$\alpha$ emission line, commonly seen in the X-ray spectrum
of Seyfert nuclei, is thought to originate when the inner accretion disk is
illuminated by an active disk-corona. We show that relative motion between the
disk and the X-ray emitting material can have an important influence on the
observed equivalent width (EW) of this line via special relativistic aberration
and Doppler effects. We suggest this may be relevant to understanding why the
observed EW often exceeds the prediction of the standard X-ray reflection
model. Several observational tests are suggested that could disentangle these
special relativistic effects from iron abundance effects.
","[{""version"":""v1"",""created"":""Mon, 7 Jul 1997 16:02:43 GMT""}]","2016-01-13"
"astro-ph/9707083","Fred Walter : Astronomy","F.M. Walter, F.J. Vrba, S.J. Wolk, R.D. Mathieu, & R. Neuhauser","X-Ray Sources in Regions of Star Formation. VI. The R CrA Association as
  Viewed by EINSTEIN","LATEX text (aaspp4 style) and 7 postscript figures. Accepted for
  publication in the Astronomical Journal, October 1997. Also available by
  anonymous ftp to sbast3.ess.sunysb.edu (cd pub/fred; get cra.tar.gz) or on
  the WWW at http://sbast3.ess.sunysb.edu/~fwalter/plan.html",,"10.1086/118584",,"astro-ph",,"  We report on optical identifications of X-ray sources in the vicinity of the
R~CrA association. We identify 11 low-mass pre-main-sequence stars as
counterparts of 9 X-ray sources. We also find X-ray emission from coordinates
consistent with the position of 3 bright late-B stars, although the emission
may come from lower mass companions. The X-ray-selected stars lie along a
narrow locus in the luminosity-temperature diagram at an age of about 7~Myr,
which is considerably older than the estimated ages of the higher mass stars or
of the IR-excess stars. We determine the physical characteristics of these
stars, including masses, ages, and Lithium abundances. We estimate that the
complete membership of the R~CrA association amounts to about 90 stars, mostly
older naked T~Tauri stars, and that the population is consistent with the
standard IMF.
","[{""version"":""v1"",""created"":""Mon, 7 Jul 1997 16:24:49 GMT""}]","2009-10-30"
"astro-ph/9707084","Melinda Weil","Melinda L. Weil (University of Oxford), Jonathan Bland-Hawthorn and
  David F. Malin (Anglo-Australian Observatory)","Diffuse Stellar Light at 100 kpc Scales in M87","24 pages, Latex (aaspp4.sty), with 15 figures. Accepted for
  publication in ApJ",,"10.1086/304886",,"astro-ph",,"  In a new survey of nearby galaxies from stacked photographic images, M87
shows a diffuse fan of stellar material which extends along the projected SE
(major) axis out to about 100 kpc at a limiting (B) surface brightness of $28
\hbox{mag arcsec}^{-2}$. We suggest that disruption of a small spheroidal
galaxy within a larger potential is the most likely explanation for the diffuse
structure. Our simulations include a rigid primary potential with
characteristics similar to those derived for M87 and a populated intruder. The
orbit is required to pass close to the center of the potential to produce a fan
which nearly aligns with the major axis and has a large opening angle, as seen
in M87. The structure of the dark matter at large galactic radii is
investigated by representing M87 with different potentials. The morphology and
luminosity of the fan and the kinematics of debris in the center of the primary
potential are analyzed and compared with substructure in M87. The short
lifetimes (t_fan < 5 10^8 years) of the simulated diffuse fans indicate that
several accretion events could be hidden in galaxies.
","[{""version"":""v1"",""created"":""Mon, 7 Jul 1997 17:33:24 GMT""}]","2009-10-30"
"astro-ph/9707085","Ebakker","E.J. Bakker","Circumstellar Molecular Spectra towards Evolved Stars","7 pages, 1 figure, 1 table. CCP7/UMIST workshop on ""Dust and
  Molecules in Evolved Stars""","Astrophys.Space Sci. 251 (1997) 73-80","10.1023/A:1000707916589",,"astro-ph",,"  In this paper we discuss the relevance of, and possible scientific gains
which can be acquired from studying circumstellar molecular spectra toward
evolved stars. Where can we expect circumstellar molecular spectra, why would
we want to study these spectra, which molecules might be present, and what can
we learn from these studies? We present an overview of reported detections, and
discuss some of the results.
","[{""version"":""v1"",""created"":""Mon, 7 Jul 1997 18:39:53 GMT""}]","2009-10-30"
"astro-ph/9707086","Lih-Sin The","L.-S. The, M.D. Leising, D.H. Hartmann (Clemson Univ.), J.D. Kurfess
  (NRL), P. Blanco (UCSD), D. Bhattacharya (UC Riverside)","Hard X-ray Emission from Cassiopeia A SNR","5 pages, 2 postscript figures, 1 postscript table, latex uses
  epsfig.sty, aipproc.sty, to appear in the proc. of the 4th COMPTON symposium,
  held in Williamsburg, VA, April 27-30, 1997. Minor correction for SN1006's
  power-law index in Table 2",,"10.1063/1.53930",,"astro-ph",,"  We report the results of extracting the hard X-ray continuum spectrum of Cas
A SNR from RXTE/PCA Target of Opportunity (TOO) observations and CGRO/OSSE
observations. The data can rule out the single thermal bremsstrahlung model for
Cas A continuum between 2 and 150 keV. The single power law model gives a
mediocre fit (~5%) to the data with a power-law index, $\Gamma$ =
2.94$\pm$0.02. A model with two component (bremsstrahlung + bremsstrahlung or
bremsstrahlung + power law) gives a good fit. The power law index is quite
constrained suggesting that this continuum might not be the X-ray thermal
bremmstrahlung from accelerated MeV electrons at shock fronts (Asvarov et al.
1989) which would have $\Gamma\simeq$2.26. With several SNRs detected by ASCA
showing a hard power-law nonthermal X-ray continuum, we expect a similar
situation for Cas A SNR which has $\Gamma$=2.98$\pm$0.09. We discuss the
implication of the hardest nonthermal X-rays detected from Cas A to the
synchrotron radiation model.
","[{""version"":""v1"",""created"":""Mon, 7 Jul 1997 18:52:44 GMT""},{""version"":""v2"",""created"":""Mon, 21 Jul 1997 19:41:42 GMT""}]","2009-10-30"
"astro-ph/9707087","Andrew Cohen","A.G. Cohen, A. De Rujula, S.L. Glashow","A Matter-Antimatter Universe?","28 pages, 5 figures, uses graphicx package; updated for Ap. J.
  version. Includes additional discussion of turbulence","Astrophys.J.495:539-549,1998","10.1086/305328","BUHEP-97-19","astro-ph hep-ph",,"  We ask whether the universe can be a patchwork consisting of distinct regions
of matter and antimatter. We demonstrate that, after recombination, it is
impossible to avoid annihilation near regional boundaries. We study the
dynamics of this process to estimate two of its signatures: a contribution to
the cosmic diffuse gamma-ray background and a distortion of the cosmic
microwave background. The former signal exceeds observational limits unless the
matter domain we inhabit is virtually the entire visible universe. On general
grounds, we conclude that a matter-antimatter symmetric universe is empirically
excluded.
","[{""version"":""v1"",""created"":""Mon, 7 Jul 1997 20:28:30 GMT""},{""version"":""v2"",""created"":""Sat, 15 Nov 1997 16:33:23 GMT""}]","2011-09-30"
"astro-ph/9707088","Jos de Bruijne","R. Hoogerwerf (1), J.H.J. de Bruijne (1), A.G.A. Brown (1), J. Lub
  (1), A. Blaauw (1,2), P.T. de Zeeuw (1) ((1) Sterrewacht Leiden, Leiden, (2)
  Kapteyn Astronomical Inst., Groningen)","New Results for Three Nearby OB Associations","4 pages, 7 Postscript figures, LaTeX using venice97.sty,
  twocolumn.sty; to appear in Proceedings of the Hipparcos Venice '97
  Symposium, ESA-SP 402",,,,"astro-ph",,"  We have developed a new procedure to identify moving groups, and have applied
it to carry out a census of the nearby OB associations based on Hipparcos
parallaxes and proper motions (see de Bruijne et al. and de Zeeuw et al.
elsewhere in this volume). Here we present three illustrative cases. For
$\alpha$ Persei our method allows us to refine the bright end of the membership
list, while for Collinder 121 the Hipparcos data change the whole appearance of
the association. Finally, we report the discovery of a new association in the
field of Cepheus OB2.
","[{""version"":""v1"",""created"":""Tue, 8 Jul 1997 07:07:44 GMT""}]","2007-05-23"
"astro-ph/9707089","Jos de Bruijne","P.T. de Zeeuw (1), A.G.A. Brown (1), J.H.J. de Bruijne (1), R.
  Hoogerwerf (1), J. Lub (1), R.S. Le Poole (1), A. Blaauw (1,2) ((1)
  Sterrewacht Leiden, Leiden, (2) Kapteyn Astronomical Inst., Groningen)","Structure and Evolution of Nearby OB Associations","6 pages, 4 Postscript figures, LaTeX using venice97.sty,
  twocolumn.sty; to appear in Proceedings of the Hipparcos Venice '97
  Symposium, ESA-SP 402",,,,"astro-ph",,"  We present the first results of a comprehensive census of the stellar content
of the nearby OB associations based on Hipparcos positions, proper motions and
parallaxes for 12842 candidate member stars distributed over 21 fields on the
sky. We use a new method to identify moving groups in these fields (see de
Bruijne et al., these proceedings). Previously, astrometric membership in
nearly all the nearby OB associations was known only for stars with spectral
types earlier than B5. The Hipparcos measurements now allow us to identify
members down to late F. This census provides a firm basis for studies of
galactic and extragalactic star forming regions.
","[{""version"":""v1"",""created"":""Tue, 8 Jul 1997 07:07:43 GMT""}]","2007-05-23"
"astro-ph/9707090","Jos de Bruijne","J.H.J. de Bruijne (1), R. Hoogerwerf (1), A.G.A. Brown (1), L.A.
  Aguilar (2), P.T. de Zeeuw (1) ((1) Sterrewacht Leiden, Leiden, (2) Inst. de
  Astronomia, UNAM, Mexico)","Improved Methods for Identifying Moving Groups","4 pages, 3 Postscript figures, LaTeX using venice97.sty,
  twocolumn.sty; to appear in Proceedings of the Hipparcos Venice '97
  Symposium, ESA-SP 402",,,,"astro-ph",,"  We present a new procedure for the identification of moving groups. It is a
combination of two independent member selection methods. One is a modern
implementation of a classical convergent point method for proper motion data.
The other objectively identifies moving groups in velocity space using proper
motions and parallaxes. We briefly describe both methods, and illustrate their
power by applying them to Hipparcos measurements of a field containing the
Upper Scorpius subgroup of the Scorpio-Centaurus association (Sco OB2). We show
how our membership selection procedure not only improves the list of previously
known B and A-type members, but also identifies many new members, including a
significant number of F stars. We apply our procedure to other nearby OB
associations elsewhere in these proceedings (Hoogerwerf et al.; de Zeeuw et
al.).
","[{""version"":""v1"",""created"":""Tue, 8 Jul 1997 07:07:47 GMT""}]","2007-05-23"
