"alg-geom/9705028","David R. Morrison","David R. Morrison","Through the Looking Glass","latex2e, 22 pages with 1 figure","Mirror Symmetry III (D. H. Phong, L. Vinet, and S.-T. Yau, eds.),
  American Mathematical Society and International Press, 1999, pp. 263-277",,"DUK-M-97-04","alg-geom math.AG",,"  It is frequently possible to produce new Calabi-Yau threefolds from old ones
by a process of allowing the complex structure to degenerate to a singular one,
and then performing a resolution of singularities. (Some care is needed to
ensure that the Calabi-Yau condition be preserved.) There has been speculation
that all Calabi-Yau threefolds could be linked in this way, and considerable
evidence has been amassed in this direction. We propose here a natural way to
relate this construction to the string-theoretic phenomenon known as ``mirror
symmetry.'' We formulate a conjecture which in principle could predict mirror
partners for all Calabi-Yau threefolds, provided that all were indeed linked by
the degeneration/resolution process. The conjecture produces new mirrors from
old, and so requires some initial mirror manifold construction---such as
Greene-Plesser orbifolding---as a starting point. (Lecture given at the CIRM
conference, Trento, June 1994, and at the Workshop on Complex Geometry and
Mirror Symmetry, Montr\'eal, March 1995.)
","[{""version"":""v1"",""created"":""Fri, 30 May 1997 21:37:20 GMT""},{""version"":""v2"",""created"":""Mon, 2 Jun 1997 04:31:32 GMT""}]","2008-02-03"
"astro-ph/9705250","Mariano Mendez","M. Mendez, M. van der Klis, J. van Paradijs (University of Amsterdam),
  W.H.G. Lewin (MIT), F.K. Lamb (University of Illinois), B.A. Vaughan
  (Caltech), E. Kuulkers (University of Oxford), D. Psaltis (University of
  Illinois)","Kilohertz QPO and Atoll Source States in 4U 0614+09","To appear in ApJL. AAS LaTex v4.0 (10 pages, 4 ps-figures)",,,,"astro-ph",,"  We report three RXTE/PCA observations of the low-mass X-ray binary 4U
0614+09. They show strong (~ 30% rms) band-limited noise with a cut-off
frequency varying between 0.7 and 15 Hz in correlation with the X-ray flux. We
observe two non-simultaneous 11-15% (rms) kHz peaks near 728 and 629 Hz in the
power spectra of two of our observations when the X-ray flux is ~ 10^{-9} erg
cm^{-2} s{-1} (2-10 keV), but find no QPO (< 6% rms) when the X-ray flux is
half that. We suggest that count rate may not be a good measure for $\dot M$
even in sources as intrinsically weak as 4U 0614+09, and that QPO frequency and
noise cutoff frequency track $\dot M$ more closely than count rate. The QPO
increases in rms amplitude from ($11 \pm 1.3$) % at 3 keV to ($37 \pm 12$) % at
23 keV; the fractional amplitude of the band-limited noise is
energy-independent. This suggests different sites of origin for these two
phenomena. The spectrum of the oscillating flux roughly corresponds to a black
body with temperature ($1.56 \pm 0.2$) keV and radius ($ 500 \pm 200$) m (other
models fit as well), which might indicate the oscillations originate at a small
region on the neutron star surface.
","[{""version"":""v1"",""created"":""Fri, 30 May 1997 16:15:53 GMT""}]","2007-05-23"
"astro-ph/9705251","Morel Pierre","P. Morel, J. Provos, G. Berthomieu (Observatoire de la Cote d'Azur,
  Nice, France)","Updated Solar Models","15 pages, 10 figures in PostScript, Latex file, uses l-aa.sty,
  accepted for publication in A&A, postscript available on website
  http://www.obs-nice.fr/morel/articles.html",,,,"astro-ph",,"  Solar models computed with mass loss, microscopic diffusion of helium and
heavy elements and with updated physics have been evolved from the pre-main
sequence to present days; they are compared to the observational constraints
including lithium depletion and to the Solar Reference Model (SRM) of Basu et
al. (1996), derived by inversion. Microscopic diffusion significantly improves
the agreement with the observed solar frequencies and agree with the SRM within
+- 0.2% for the sound velocity and +- 1% for the density, but slightly worsens
the neutrino problem. Neither microscopic diffusion nor overshooting explain
the observed lithium depletion consistently with helioseismological
constraints, while a mass loss process does it. Models computed with OPAL
equation of state and opacities are in better agreement with the seimic sound
speed. To reach the level of precision of helioseismological observations the
accuracy of solar models still needs to be improved by one magnitude; any such
improvement will necessitate equation of state and opacity data taking into
account of detailed changes in the mixture.
","[{""version"":""v1"",""created"":""Fri, 30 May 1997 17:11:55 GMT""}]","2007-05-23"
"astro-ph/9705252","John D. Larwood","John D. Larwood","The tidal disruption of protoplanetary accretion discs","Accepted by MNRAS. 16 pages, 15 figures. LaTeX2e in the MN style.
  PostScript files also available from http://www.maths.qmw.ac.uk/~jdl/",,"10.1093/mnras/290.3.490",,"astro-ph",,"  In this paper we revisit the problem of the tidal interaction occuring
between a protostellar accretion disc and a secondary point mass following a
parabolic trajectory. We model the disc response analytically and we compare
our results with three-dimensional SPH simulations. Inviscid as well as viscous
hydrodynamics is considered. We show that in a viscous system the response
derived from inviscid considerations is predominant even for the highest
estimates of an anomalous disc shear viscosity. The angular momentum lost from
the disc during the encounter is derived from linear theory, for distant
fly-bys, as well as the changes to the disc orientation expected in
non-coplanar encounters. It is shown that the target discs can become warped
and precess by a small amount during non-coplanar encounters. This small
precession is shown to give rise to a relative tilt of the disc which is always
more important for determining its final orientation than is the change to the
orbital inclination. We discuss the implications of our results for
protostellar accretion discs and planetary systems.
","[{""version"":""v1"",""created"":""Fri, 30 May 1997 17:56:03 GMT""}]","2015-06-24"
"astro-ph/9705253","Floyd Stecker","F. W. Stecker (NASA/GSFC) and M. H. Salamon (U.Utah)","Gamma-Ray Absorption at High Redshifts and the Gamma-Ray Background","4 pages, latex with 3 figures, to be published in Proc. 25th Intl.
  Cosmic Ray Conf","Proc. 25th Intl. Cosmic Ray Conf. 3 (1997) 317",,,"astro-ph",,"  We present results of a calculation of absorption of 10-500 GeV gamma-rays at
high redshifts. This calculation requires the determination of the high-
redshift evolution of the full spectral energy distribution of the
intergalactic photon field. For this, we have primarily followed the recent
analysis of Fall, Charlot and Pei. We give our results for the gamma-ray
opacity as a function of redshift out to a redshift of 3. We then give
predicted gamma-ray spectra for selected blazars and also extend our results on
the background from unresolved blazars to an energy of 500 GeV. Absorption
effects are predicted to significantly steepen the background spectrum above 20
GeV. Our absorption calculations can be used to place limits on the redshifts
of gamma-ray bursts. Our background calculations can be used to determine the
observability of multi-GeV lines from dark matter neutralino particles.
","[{""version"":""v1"",""created"":""Fri, 30 May 1997 20:17:50 GMT""}]","2007-05-23"
"astro-ph/9705254","Sergei Nayakshin","Sergei Nayakshin and Fulvio Melia","Physical Constraints on, and a Model for, the Active Regions in Seyfert
  Galaxies","submitted to ApJ; 11 pages and 1 figure; uses aas2pp4.sty",,"10.1063/1.53944",,"astro-ph",,"  We discuss several physical constraints on the nature of the Active Regions
(AR) in Seyfert 1 Galaxies, and show that a plausible model consistent with
these constraints is one in which the ARs are magnetically confined and
``fed''. The unique X-ray index of these sources points to a large compactness
parameter ($l\gg 1$). This, together with the conditions required to account
for the observed optical depth being close to unity, suggests that the magnetic
energy density in the AR should be comparable to the equipartition value in the
accretion disk, and that it should be released in a flare-like event above the
surface of the cold accretion disk. We consider the various issues pertaining
to magnetic flares and attempt to construct a coherent picture, including a
reason for the optical depth in the AR being $\sim 1$, and an understanding of
the characteristics of the X-ray reflection component and the power density
spectra associated with this high-energy emission.
","[{""version"":""v1"",""created"":""Fri, 30 May 1997 20:54:25 GMT""}]","2009-10-30"
"astro-ph/9705255","Sergei Nayakshin","Sergei Nayakshin and Fulvio Melia","Magnetic Flares and the Observed Optical Depth in Seyfert Galaxies","submitted to ApJL, 6 pages, 1 figure, uses aas2pp4.sty",,"10.1086/310998",,"astro-ph",,"  We here consider the pressure equilibrium during an intense magnetic flare
above the surface of a cold accretion disk. Under the assumption that the
heating source for the plasma trapped within the flaring region is an influx of
energy transported inwards with a group velocity close to $c$, e.g., by
magnetohydrodynamic waves, this pressure equilibrium can constrain the Thomson
optical depth $\tau_T$ to be of order unity. We suggest that this may be the
reason why $\tau_T\sim 1$ in Seyfert Galaxies. We also consider whether current
data can distinguish between the spectrum produced by a single X-ray emitting
region with $\tau_T\sim 1$ and that formed by many different flares spanning a
range of $\tau_T$. We find that the current observations do not yet have the
required energy resolution to permit such a differentiation. Thus, it is
possible that the entire X-ray/$\gamma$-ray spectrum of Seyfert Galaxies is
produced by many independent magnetic flares with an optical depth
$0.5<\tau_T<2$.
","[{""version"":""v1"",""created"":""Fri, 30 May 1997 21:13:59 GMT""}]","2009-10-30"
"astro-ph/9705256","Xiangdong Shi","George M. Fuller, Xiangdong Shi (UCSD)","Neutrino Production of Deuterium in Supermassive Stars and Possible
  Implications for Deuterium Detections in Ly-Limit Systems","latex 17 pages, 1 figure. Revised version","Astrophys.J. 487 (1997) L25-L28","10.1086/310879",,"astro-ph",,"  We describe how thermally produced anti-electron neutrinos ($\bar\nu_e$) from
the homologously collapsing core of a supermassive star ($M \ga 5\times10^4
M_\odot$) can lead to significant deuterium enrichment in the ejected envelope
of such a star. Deuterium-enriched material at high redshift might then serve
as a clue to the existence of pregalactic supermassive stars. Conceivably, the
ejected deuterium-enriched material could intercept the line of sight to a
distant QSO and mimic a Lyman limit absorber. In such a case, the deuterium
abundance inferred from absorption lines might not reflect the true primordial
abundance of deuterium. We discuss relevant theoretical uncertainties in
supermassive star physics as well as potential observational signatures in
Lyman $\alpha$ absorber clouds for processing by stars of this kind.
","[{""version"":""v1"",""created"":""Fri, 30 May 1997 22:50:07 GMT""},{""version"":""v2"",""created"":""Thu, 11 Sep 1997 18:46:56 GMT""}]","2009-10-30"
"astro-ph/9705257","Paul Kimoto","Paul A. Kimoto and David F. Chernoff (Cornell University)","Radiative instabilities in simulations of spherically symmetric
  supernova blast waves","18 pages text, LaTeX/AASTeX (aaspp4); 10 figures; accepted by ApJ",,"10.1086/304408",,"astro-ph",,"  High-resolution simulations of the cooling regions of spherically symmetric
supernova remnants demonstrate a strong radiative instability. This
instability, whose presence is dependent on the shock velocity, causes
large-amplitude fluctuations in the shock velocity. The fluctuations begin
almost immediately after the radiative phase begins (upon shell formation) if
the shock velocity lies in the unstable range; they last until the shock slows
to speeds less than approximately 130 km/s. We find that shock-velocity
fluctuations from the reverberations of waves within the remnant are small
compared to those due to the instability. Further, we find (in plane-parallel
simulations) that advected inhomogeneities from the external medium do not
interfere with the qualitative nature of the instability-driven fluctuations.
Large-amplitude inhomogeneities may alter the phases of shock-velocity
fluctuations, but do not substantially reduce their amplitudes.
","[{""version"":""v1"",""created"":""Fri, 30 May 1997 21:25:19 GMT""}]","2009-10-30"
"astro-ph/9705258","Moffat","J. W. Moffat","On the Relativistic Collapse of Dense Star Clusters","19 pages RevTex (latex)",,,"UTPT-97-13","astro-ph",,"  We investigate the fate of a relativistic star cluster with a dense core
which is undergoing a gravothermal catastrophe and is far from thermodynamic
equilibrium. Nonlinear cooperative contributions are included in the standard
transport equations for the last stage of evolution of a highly dense core of
stellar remnants. We find that the core redshift does not necessarily increase
without limit as the core becomes increasingly dense, preventing collapse to a
black hole. In particular, the redshift can remain less than the critical value
for relativistic collapse, resulting in a stable, massive dark core with a
Newtonian mantle and halo.
","[{""version"":""v1"",""created"":""Fri, 30 May 1997 22:13:59 GMT""}]","2007-05-23"
"astro-ph/9705259","Lucas M. Macri","Daya M. Rawson, Lucas M. Macri, Jeremy R. Mould, John P. Huchra, Wendy
  L. Freedman, Robert C. Kennicutt, Laura Ferrarese, Holland C. Ford, John A.
  Graham, Paul Harding, Mingsheng Han, Robert J. Hill, John G. Hoessel, Shaun
  M. G. Hughes, Garth D. Illingworth, Barry F. Madore, Randy L. Phelps, Abhijit
  Saha, Shoko Sakai, Nancy A. Silbermann, and Peter B. Stetson","The Extragalactic Distance Scale Key Project VIII. The Discovery of
  Cepheids and a New Distance to NGC 3621 Using the Hubble Space Telescope","29 pages, 13 tables, 36 figures, accepted for publication in ApJ.
  LaTeX, uses aasms.sty and apjpt4.sty Key Project archive at
  http://www.ipac.caltech.edu/H0kp",,"10.1086/304882",,"astro-ph",,"  We report on the discovery of Cepheids in the field spiral galaxy NGC 3621,
based on observations made with the Wide Field and Planetary Camera 2 on board
the Hubble Space Telescope (HST). NGC 3621 is one of 18 galaxies observed as a
part of The HST Key Project on the Extragalactic Distance Scale, which aims to
measure the Hubble constant to 10% accuracy. Sixty-nine Cepheids with periods
in the range 9--60 days were observed over 12 epochs using the F555W filter,
and 4 epochs using the F814W filter. The HST F555W and F814W data were
transformed to the Johnson V and Kron-Cousins I magnitude systems,
respectively. Photometry was performed using two independent packages, DAOPHOT
II/ALLFRAME and DoPHOT. Period-luminosity relations in the V and I bands were
constructed using 36 fairly isolated Cepheids present in our set of 69
variables. Extinction-corrected distance moduli relative to the LMC of 10.63
+/- 0.07 mag and 10.56 +/- 0.10 mag were obtained using the ALLFRAME and DoPHOT
data, respectively. True distance moduli of 29.13 +/- 0.18 mag and 29.06 +/-
0.18 mag, corresponding to distances of 6.3 Mpc and 6.1 Mpc, were obtained by
assuming values of 18.50 +/- 0.10 mag for the distance modulus of the LMC and
E(V-I) = 0.13 mag for the reddening of the LMC.
","[{""version"":""v1"",""created"":""Fri, 30 May 1997 23:05:50 GMT""}]","2009-10-30"
