"alg-geom/9712027","Ron Donagi","Ron Donagi and Ron Livne","The arithmetic-geometric mean and isogenies for curves of higher genus","Latex, 18 pages",,,,"alg-geom math.AG",,"  Computation of Gauss's arithmetic-geometric mean involves iteration of a
simple step, whose algebro-geometric interpretation is the construction of an
elliptic curve isogenous to a given one, specifically one whose period is
double the original period. A higher genus analogue should involve the explicit
construction of a curve whose jacobian is isogenous to the jacobian of a given
curve. The doubling of the period matrix means that the kernel of the isogeny
should be a lagrangian subgroup of the group of points of order 2 in the
jacobian. In genus 2 such a construction was given classically by Humbert and
was studied more recently by Bost and Mestre. In this article we give such a
construction for general curves of genus 3. We also give a similar but simpler
construction for hyperelliptic curves of genus 3. We show that the
hyperelliptic construction is a degeneration of the general one, and we prove
that the kernel of the induced isogeny on jacobians is a lagrangian subgroup of
the points of order 2. We show that for g at least 4 no similar construction
exists, and we also reinterpret the genus 2 case in our setup. Our construction
of these correspondences uses the bigonal and the trigonal constructions,
familiar in the theory of Prym varieties.
","[{""version"":""v1"",""created"":""Sun, 21 Dec 1997 19:47:44 GMT""}]","2007-05-23"
"astro-ph/9712284","Yutaka Fujita","Y. Fujita, S. Inoue (Tokyo Metro. U.), T. Nakamura, T. Manmoto, and K.
  E. Nakamura (Kyoto U.)","Emission from Isolated Black Holes and MACHOs Accreting from the
  Interstellar Medium","10 pages, 2 figures. To appear in the Astrophysical Journal Letters",,"10.1086/311220",,"astro-ph",,"  Adopting the advection dominated accretion flow (ADAF) model, we have
re-examined the radiation emitted by isolated stellar-mass black holes
accreting from the interstellar medium of our Galaxy. Two distinct types of
black holes are given consideration, 1) remnants of conventional massive star
evolution (RBHs, mass $\sim 10 M_{\sun}$), and 2) low-mass objects which
possibly constitutes the dark halo and cause the observed microlensing events
(MACHOBHs, mass $\sim 0.5 M_{\sun}$). In contrast to previous studies
incorporating spherical accretion models, the characteristic hard X-ray
emission from ADAFs serves as an important observational signature. Standard
estimates for the present density of RBHs suggest that a fair number of
objects, either in nearby molecular clouds (such as Orion) or in the general
Galactic disk, may be detected by near future X-ray instruments. Their
observation may also be feasible at lower frequencies, particularly in the
infrared and optical bands. On the other hand, the smaller mass and larger
velocity on average of MACHOBHs compared to RBHs make them unlikely to be
observable in the foreseeable future.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 1997 00:40:27 GMT""}]","2009-10-30"
"astro-ph/9712285","Gabriele Ghisellini","G. Ghisellini, G. Tagliaferri, L. Costamante, L. Maraschi, A. Celotti,
  G. Fossati, L. Bassani, M. Cappi, F. Frontera, E. Pian, A. Comastri, M.
  Cavallone, G. De Francesco, L. Lanteri, C.M. Raiteri, G. Sobrito, M. Villata,
  S. Giarrusso, B. Sacco, I.S. Glass, P. Grandi, E. Massaro, S. Molendi, P.
  Padovani, G.G.C. Palumbo, C. Perola, M. Salvati, A. Treves","BeppoSAX observations of PKS 0528+134","4 pages, LateX, 5 figures (included). Uses espcrc2.sty and epsf.sty
  (included). To appear in The Active X-ray Sky: Results from BeppoSAX and
  Rossi-XTE, Rome, Italy, 21-24 October, 1997. Eds.: L. Scarsi, H. Bradt, P.
  Giommi and F. Fiore",,"10.1016/S0920-5632(98)00255-2",,"astro-ph",,"  We report on the BeppoSAX observations of the gamma-ray blazar PKS 0528+134
performed in Feb and Mar 1997, during a multiwavelength campaign involving
EGRET and ground based telescopes. The source was in a faint and hard state,
with energy spectral index alpha=0.48+-0.04 between 0.1 and 10 keV, and [2-10]
keV flux of 2.7E-12 erg/cm2/s. No significant variability was observed. The
source was detected in the 20-120 keV band by the PDS, with a flux lying
slightly above the extrapolation from lower X-ray energies. Comparing this low
state with previous higher states of the source, there is an indication that
the X-ray spectrum hardens and the gamma-ray spectrum steepens when the source
is fainter.
","[{""version"":""v1"",""created"":""Sun, 21 Dec 1997 16:39:53 GMT""}]","2015-06-24"
"astro-ph/9712286","Gabriele Ghisellini","G. Ghisellini (Brera Astron. Obs., Milano, Italy)","Extreme synchrotron blazars: the case of Mkn 501","6 pages, LateX, 7 figures (included). Uses espcrc2.sty (included) and
  epsf.sty. To appear in The Active X-ray Sky: Results from BeppoSAX and
  Rossi-XTE, Rome, Italy, 21-24 October, 1997. Eds.: L. Scarsi, H. Bradt, P.
  Giommi and F. Fiore",,"10.1016/S0920-5632(98)00248-5",,"astro-ph",,"  BeppoSAX observations of Mkn501 in April 1997 (Pian et al. 1998), have
revealed an extraordinary X-ray emission from this BL Lac object, during a
phase of high activity at TeV energies, as monitored with the Whipple, HEGRA
and CAT Cerenkov telescopes. The 0.1-200 keV spectrum was hard, and the X-ray
power output peaked at or above 100 keV, 2 or 3 orders of magnitude more than
what indicated by previuos observations, while the luminosity increased by at
least a factor 20. The X-ray spectrum hardens when the source is brighter, but
variations seem limited to energies greater than 0.5 keV. All these
unprecedented spectral information pose severe constraints to all models, and
we discuss in particular how the homogenous, one-zone synchrotron self Compton
model must be modified to account for the observed properties. Other sources,
besides Mkn 501, could undergo similar flares.
","[{""version"":""v1"",""created"":""Sun, 21 Dec 1997 17:12:53 GMT""}]","2015-06-24"
"astro-ph/9712287","Alard","C. Alard and R. H. Lupton","A method for optimal image subtraction","8,pages, 4 Postscript figures, emulateapj.sty included","Astrophys.J. 503 (1998) 325","10.1086/305984","DASGAL666","astro-ph",,"  We present a new method designed for optimal subtraction of two images with
different seeing. Using image subtraction appears to be essential for the full
analysis of the microlensing survey images, however a perfect subtraction of
two images is not easy as it requires the derivation of an extremely accurate
convolution kernel. Some empirical attempts to find the kernel have used the
Fourier transform of bright stars, but solving the statistical problem of
finding the best kernel solution has never really been tackled. We demonstrate
that it is possible to derive an optimal kernel solution from a simple least
square analysis using all the pixels of both images, and also show that it is
possible to fit the differential background variation at the same time. We also
show that PSF variations can also be easily handled by the method. To
demonstrate the practical efficiency of the method, we analyzed some images
from a Galactic Bulge field monitored by the OGLE II project.
  We find that the residuals in the subtracted images are very close to the
photon noise expectations. We also present some light curves of variable stars,
and show that, despite high crowding levels, we get an error distribution close
to that expected from photon noise alone. We thus demonstrate that nearly
optimal differential photometry can be achieved even in very crowded fields. We
suggest that this algorithm might be particularly important for microlensing
surveys, where the photometric accuracy and completeness levels could be very
significantly improved by using this method.
","[{""version"":""v1"",""created"":""Sun, 21 Dec 1997 23:04:17 GMT""}]","2016-08-30"
"astro-ph/9712288","Jerry Kriss","B. R. Espey, G. A. Kriss, J. H. Krolik, W. Zheng, Z. Tsvetanov, and A.
  F. Davidsen (Johns Hopkins University)","Far-UV Observations of NGC 4151 during the ORFEUS-SPAS II Mission","4 pages, 2 PostScript figures, uses emulateapj.sty, apjfonts.sty. To
  appear in the Astrophysical Journal (Letters) special issue for ORFEUS","Astrophys.J. 500 (1998) L13","10.1086/311386","297","astro-ph",,"  We observed the Seyfert 1 galaxy NGC 4151 on eleven occasions at 1-2 day
intervals using the Berkeley spectrometer during the ORFEUS-SPAS II mission in
1996 November. The mean spectrum covers 912-1220 A at ~0.3 A resolution with a
total exposure of 15,658 seconds. The mean flux at 1000 A was 4.7e-13
erg/cm^2/s/A. We identify the neutral hydrogen absorption with a number of
components that correspond to the velocity distribution of \ion{H}{1} seen in
our own Galaxy as well as features identified in the CIV 1549 absorption
profile by Weymann et al. The main component of neutral hydrogen in NGC 4151
has a total column density of log N_HI = 18.7 +/- 1.5 cm^{-2} for a Doppler
parameter b=250 +/- 50 km/s, and it covers 84 +/- 6% of the source. This is
consistent with previous results obtained with the Hopkins Ultraviolet
Telescope. Other intrinsic far-UV absorption features are not resolved, but the
CIII* 1176 absorption line has a significantly higher blueshift relative to NGC
4151 than the CIII 977 resonance line. This implies that the highest velocity
region of the outflowing gas has the highest density. Variations in the
equivalent width of the CIII* 1176 absorption line anticorrelate with continuum
variations on timescales of days. For an ionization timescale <1 day, we set an
upper limit of 25 pc on the distance of the absorbing gas from the central
source. The OVI 1034 and HeII 1085 emission lines also vary on timescales of
1-2 days, but their response to the continuum variations is complex. For some
continuum variations they show no response, while for others the response is
instantaneous to the limit of our sampling interval.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 1997 15:34:05 GMT""}]","2009-10-30"
"astro-ph/9712289","Satoshi Nozawa","Naoki Itoh, Yasuharu Kohyama and Satoshi Nozawa","Relativistic Corrections to the Sunyaev-Zel'dovich Effect for Clusters
  of Galaxies","18 pages, 7 figures, LaTeX with AASMS macros, accepted for
  publication in the Astrophysical Journal","Astrophys.J.502:7-15,1998","10.1086/305876",,"astro-ph",,"  We study the generalized Kompaneets equation (kinetic equation for the photon
distribution function taking into account the Compton scattering by electrons)
using a relativistically covariant formalism. Using the generalized Kompaneets
equation, we derive an analytic expression for the Sunyaev-Zel'dovich effect,
which takes into account up to O(theta**5) terms, where theta=kT/mc**2 is the
relativistic expansion parameter and T is the electron temperature. We
carefully study the applicable region of the obtained analytic expression by
comparing with the result of the direct numerical integration. We conclude that
the present analytic expression can be reliably applied to the calculation of
the Sunyaev-Zel'dovich effect for kT < 15keV, which is the highest electron
temperature in the presently known clusters of galaxies. Therefore, the present
analytic expression can be applied to all known clusters of galaxies.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 1997 02:33:50 GMT""},{""version"":""v2"",""created"":""Mon, 2 Mar 1998 01:45:01 GMT""}]","2011-02-11"
"astro-ph/9712290","Jochen Eisloeffel","Milena Micono, Christopher J. Davis, Thomas P. Ray, Jochen
  Eisl\""offel, Matthew D. Shetrone","Proper Motions and Variability of the H$_2$ Emission in the
  HH~46/47system","2 figures",,"10.1086/311200",,"astro-ph",,"  We report here on the first proper motion measurements of molecular hydrogen
emission features in the Herbig-Haro 46/47 outflow. Assuming a distance of 350
pc to this flow, the inferred tangential velocities range from a few tens to
almost 500 km/s . The highest velocities are observed for H2 knots either in,
or close to, the jet/counterjet axes. Knots constituting the wings of the large
scale H2 bow (see, for example, Eisl\""offel et al. 1994) are found to move much
more slowly. These results appear to be in agreement with recent numerical
simulations of H2 emission from pulsed jets. We also report the first detection
of variability in H2 features for a young stellar object (YSO) outflow. It was
found that several H2 knots significantly changed their luminosity over the 4
year timebase used to conduct our study. This is in line with current estimates
for the cooling time of gas radiating shocked H2 emission in YSO environments.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 1997 10:08:47 GMT""}]","2015-06-24"
"astro-ph/9712291",,"G.M. Stirpe, B.J. Wilkes, A. Comastri, S. Mathur, P.T. O'Brien","BeppoSAX observations of the Seyfert 1 Galaxy NGC 3516","to appear in : The Active X-ray Sky: Results from BeppoSAX and
  Rossi-XTE, Nuclear Physics B Proceedings Supplements, L. Scarsi, H. Bradt, P.
  Giommi and F. Fiore (eds.), Elsevier Science B.V. 4 pages LateX and 6 ps
  figures, using espcrc2 and epsfig",,"10.1016/S0920-5632(98)00271-0",,"astro-ph",,"  We present the results of two observations of the bright Seyfert 1 galaxy NGC
3516, obtained with BeppoSAX in 1996 November and 1997 March. Useful signal is
detected between 0.2 and 60 keV, allowing for the first time the simultaneous
observation of all main spectral features. The source was brighter by a factor
2 at the second epoch of observation. Both spectra present a strong Fe Kalpha
line, and a reflection hump at high energy. An absorption edge at 0.8 keV is
visible in the later spectrum, but not in the earlier one, indicating that this
feature is strongly variable.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 1997 11:24:30 GMT""}]","2015-06-24"
"astro-ph/9712292","Osmi Vilhu","O. Vilhu, P. Muhli, J. Huovelin, P. Hakala, S.M. Rucinski and A.
  Collier Cameron","UV Spectroscopy of AB Doradus with the Hubble Space Telescope. Impulsive
  flares and bimodal profiles of the CIV 1549 line in a young star","to be published in AJ (April 98), 3 tables and 7 figures as separate
  PS-files, print Table 2 as a landscape",,"10.1086/300268",,"astro-ph",,"  We observed AB Doradus, a young and active late type star (K0 - K2 IV-V, P=
0.514 d) with the Goddard High Resolution Spectrograph of the post-COSTAR
Hubble Space Telescope with the time and spectral resolutions of 27 s and 15
km, respectively. The wavelength band (1531 - 1565 A) included the strong CIV
doublet (1548.202 and 1550.774, formed in the transition region at 100 000 K).
  The mean quiescent CIV flux state was close to the saturated value and 100
times the solar one. The line profile (after removing the rotational and
instrumental profiles) is bimodal consisting of two Gaussians, narrow (FWHM =
70 km/s) and broad (FWHM =330km/s). This bimodality is probably due to two
separate broadening mechanisms and velocity fields at the coronal base. It is
possible that TR transient events (random multiple velocities), with a large
surface coverage, give rise to the broadening of the narrow component,while
true microflaring is responsible for the broad one.
  The transition region was observed to flare frequently on different time
scales and magnitudes. The largest impulsive flare seen in the CIV 1549
emission reached in less than one minute the peak differential emission measure
(10**51.2 cm-3) and returned exponentially in 5 minutes to the 7 times lower
quiescent level.The 3 min average line profile of the flare was blue-shifted
(-190 km/s) and broadened (FWHM = 800 km/s). This impulsive flare could have
been due to a chromospheric heating and subsequent evaporation by an electron
beam, accelerated (by reconnection) at the apex of a coronal loop.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 1997 12:47:10 GMT""}]","2009-10-30"
"astro-ph/9712294","G. C. Anupama","G.C. Anupama and Arati Chokshi (IIA, Bangalore)","Short term optical variability in broad absorption line QSOs","12 pages Latex file uses AASTEX, 2 Postscript figures. To appear in
  ApJ Letters",,"10.1086/311185",,"astro-ph",,"  We present the first results from a pilot programme to monitor the short term
optical variability in Broad Absorption Line system QSOs. Intra-night optical
variations of ~5% were detected on time scales of ~ one hour in QSOs 0846+156
and 0856+172. Further, the mean magnitude level decreased in the two objects by
~0.05 and ~0.15 magnitude respectively during the period of our observations.
The observed light curves are quite similar to those previously seem in the
flat spectrum radio-loud sources, especially the BL Lacertae objects, and can
provide important constraints for the origin of microvariability, and also a
possible evolutionary link between the radio-loud and the radio-quiet QSOs.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 1997 14:05:42 GMT""}]","2009-10-30"
