"alg-geom/9712006","Toshiyuki Akita","Toshiyuki Akita","Homological infiniteness of Torelli groups","AMSLaTeX v.1.2, 6 pages",,,"Fukuoka University, Department of Applied Mathematics, preprint
  1997/12/01","alg-geom math.AG math.DG q-alg",,"  We prove that rational homology of the Torelli group of genus g is infinite
dimensional, provided g>6. This means that rational homology of the Torelli
space of genus g>6 is infinite dimensional. The Torelli groups with marked
points are also considered. In addition, we prove that rational homology of the
subgroup of the Torelli group of genus g generated by all the Dehn twists along
separating simple closed curves is infinite dimensional for g>2.
","[{""version"":""v1"",""created"":""Wed, 3 Dec 1997 20:03:26 GMT""}]","2007-05-23"
"astro-ph/9712044","Felix Aharonian","F.A. Aharonian and A.K. Konopelko (Max-Planck-Institut fuer
  Kernphysik, Heidelberg)","Stereo Imaging of VHE Gamma-Ray Sources","15 pages, 13 figures, uses epsf, wrapfig, to appear in Proceedings
  Towards a Major Atmospheric Cherenkov Detector-V (Kruger Park), 1997",,,,"astro-ph",,"  We describe the features of the stereoscopic approach in the imaging
atmospheric Cherenkov technique, and discuss the performance of future low
threshold telescope arrays.
","[{""version"":""v1"",""created"":""Wed, 3 Dec 1997 17:43:16 GMT""}]","2007-05-23"
"astro-ph/9712045","Wolfgang Brandner","Ralph Neuhaeuser (MPE Garching), Wolfgang Brandner (UIUC)","HIPPARCOS results for ROSAT-discovered young stars","4 pages, Latex, 2 postscript figures, accepted for publication as a
  A&A Letter, fixed a few typos, updated references, added Subj-class",,,,"astro-ph",,"  Out of about 500 Lithium-rich ROSAT counterparts, which are presumed to be
low-mass pre-main sequence stars, 21 stars have been observed by HIPPARCOS. We
study their parallaxes, proper motions, and photometric data. For 7 out of 10
Taurus and Lupus stars in our sample, proper motions and parallaxes are not
inconsistent with membership to these associations, while most of the stars in
Chamaeleon and Scorpius appear to be young foreground stars. Combined with
ground based photometry and spectroscopy, HIPPARCOS parallaxes allow us to
place 15 stars on an H-R diagram. All these 15 stars are indeed pre-main
sequence stars with ages from 1 to 15 Myr. Only two of the stars are located on
the Hayashi-tracks, whereas the other 13 are post-T Tauri stars located on
radiative tracks. Although this sample is admittedly small, containing only 3%
of the total sample of Lithium-rich ROSAT counterparts, it does not confirm
recent predictions by other authors: We find no stars in the age range from 20
to 100 Myr. The foreground pre-main sequence stars may have been ejected
towards us, or they belong to the Gould Belt system, a plane filled with young
stars.
","[{""version"":""v1"",""created"":""Wed, 3 Dec 1997 17:53:51 GMT""},{""version"":""v2"",""created"":""Sun, 7 Dec 1997 20:37:57 GMT""}]","2007-05-23"
"astro-ph/9712046","Craig L. Sarazin","Craig L. Sarazin, Michael W. Wise, Maxim L. Markevitch","X-Ray Spectral Properties of the Cluster Abell 2029","ApJ, in press, 16 pages including 13 figures, formatted with
  emulateapj Latex style",,"10.1086/305578",,"astro-ph",,"  We have analyzed ASCA and ROSAT PSPC spectra and images of the galaxy cluster
Abell 2029. The ASCA spectra of the cluster indicate that the gas temperature
declines with radius. The PSPC image shows that the cluster is very regular and
smooth. Also, there is no significant evidence for any irregularities in the
temperature distribution in the cluster, as would be produced by a subcluster
merger. These results suggest that A2029 is a relaxed cluster, and that the gas
is in hydrostatic equilibrium. We use the assumption of equilibrium to
determine the gravitational mass of the cluster as a function of radius. At a
radius of 16' (1.92 h_50^-1 Mpc), the gravitational mass is M_tot =
(9.42+-4.22) x 10^14 h_50^-1 Msun, while the mass of gas is M_gas =
(2.52+-0.77) x 10^14 h_50^-5/2 Msun. The gas fraction is found to increase with
radius; within a spherical radius of 16', the fraction is (M_gas/M_tot) =
(0.26+-0.14) h_50^-3/2. The iron abundance in the gas is found to be
(0.40+-0.04) of solar. There is no significant evidence for any variation in
the abundance with position in the cluster. The global X-ray spectra, central
X-ray spectra, and ROSAT surface brightness all require a cooling flow at the
cluster center. The global X-ray spectrum implies that the total cooling rate
is 363^+79_-96 h_50^-2 Msun/yr. The global X-ray spectra are consistent with
the Galactic value for the soft X-ray absorption toward the cluster. The PSPC
spectra of the central regions of the cluster are inconsistent with the large
value of foreground excess absorption found by White et al. (1991) based on the
Einstein SSS spectrum. The upper limit on excess foreground absorption is 7.3 x
10^19 cm^-2. However, the spectra do not rule a significant amount of intrinsic
absorbing gas located within the cooling flow region.
","[{""version"":""v1"",""created"":""Wed, 3 Dec 1997 18:13:45 GMT""}]","2009-10-30"
"astro-ph/9712047","Dante Minniti","D. Minniti, T. Vandehei, K.H. Cook, K. Griest, C. Alcock","Detection of Lithium in a Main Sequence Bulge Star Using Keck I as a 15m
  Diameter Telescope","10 pages, 2 PostScript figures, uses aaspp4.sty. Submitted to The
  Astrophysical Journal Letters",,"10.1086/311360",,"astro-ph",,"  The bulge contains the most chemically evolved old stellar population in the
Milky Way. Thanks to microlensing, it is now possible to obtain high resolution
echelle spectra of bulge stars near the main sequence turn-off, and study the
abundance of elements that are affected by stellar evolution, such as lithium.
We have observed with the HIRES spectrograph on the Keck I 10m telescope the
source star of the MACHO microlensing event 97BLG45 while it was magnified by
about 1 magnitude. Here we report the detection of the Li I line at \lambda
6707.8 \AA in the echelle spectrum of this star, and measure the bulge lithium
abundance for the first time: A(Li) = 2.25 \pm 0.25.
","[{""version"":""v1"",""created"":""Wed, 3 Dec 1997 18:17:51 GMT""}]","2009-10-30"
"astro-ph/9712048","Dante Minniti","D. Minniti, C. Alcock, R.A. Allsman, D.R. Alves, T.S. Axelrod, A.
  Becker, D.P. Bennett, K.H. Cook, K.C. Freeman, K. Griest, S.L. Marshall, B.A.
  Peterson, M.R. Pratt, P.J. Quinn, A.W. Rodgers, C.W. Stubbs, W. Sutherland,
  A. Tomaney, T. Vandehei, D.L. Welch (The MACHO Collaboration)","Pulsating Variable Stars in the MACHO Bulge database: The Semiregular
  Variables","12 pages, 8 PostScript figures, uses jd24.sty. Invited review for
  IAU-JD24, to appear in: Pulsating Stars - Recent Developments in Theory and
  Observation, 1998, eds. M. Takeuti, D. Sasselov, (Universal Academy Press:
  Tokyo)",,,,"astro-ph",,"  We review the pulsating stars contained in the top 24 fields of the MACHO
bulge database, with special emphasis on the red semiregular stars. Based on
period, amplitude and color cuts, we have selected a sample of 2000 semiregular
variables with $15<P<100$ days. Their color-magnitude diagram is presented, and
period-luminosity relation is studied, as well as their spatial distribution.
We find that they follow the bar, unlike the RR Lyrae in these fields.
","[{""version"":""v1"",""created"":""Wed, 3 Dec 1997 18:47:04 GMT""}]","2007-05-23"
"astro-ph/9712049","Craig L. Sarazin","Craig L. Sarazin, Richard Lieu","Extreme Ultraviolet Emission from Clusters of Galaxies: Inverse Compton
  Radiation from a Relic Population of Cosmic Ray Electrons?","ApJ Letters, in press, 4 pages with 1 embedded figure, Latex in
  emulateapj style",,"10.1086/311196",,"astro-ph",,"  We suggest that the luminous extreme ultraviolet (EUV) emission which has
been detected recently from clusters of galaxies is Inverse Compton (IC)
scattering of Cosmic Microwave Background (CMB) radiation by low energy cosmic
ray electrons in the intracluster medium. The cosmic ray electrons would have
Lorentz factors of gamma ~ 300, and would lose energy primarily by emitting EUV
radiation. These particles have lifetimes comparable to the Hubble time; thus,
the electrons might represent a relic population of cosmic rays produced by
nonthermal activity over the history of the cluster. The IC model naturally
explains the observed increase in the ratio of EUV to X-ray emission with
radius in clusters. The required energy in cosmic ray electrons is typically
1--10% of the thermal energy content of the intracluster gas. We suggest that
the cosmic ray electrons might have been produced by supernovae in galaxies, by
radio galaxies, or by particle acceleration in intracluster shocks.
","[{""version"":""v1"",""created"":""Wed, 3 Dec 1997 19:06:09 GMT""}]","2009-10-30"
"astro-ph/9712050","Art Wolfe","Arthur M. Wolfe and Jason X. Prochaska (University of California at
  San Diego)","On the Evolution of Damped Lyman Alpha Systems to Galactic Disks","9 pages, 3 encapsulated figures, uses LaTeX2e. Accepted for
  publication by the Astrophysical Journal Letters. Also available at
  http://nately.ucsd.edu/~xavier/DLA/thy.html",,"10.1086/311155",,"astro-ph",,"  The mean metallicity of the thick disk of the Galaxy is 0.5 dex higher than
that of the damped Lyman alpha systems. This has been interpreted to argue that
stars in the former do not arise out of gas in the latter. Using new
metallicity and H I column-density data we show the metal-rich damped systems
do contain sufficient baryons at the thick-disk metallicity to account for the
stellar masses of thick disks. Comparing our kinematic data with the
metallicities we show that damped Lyman alpha systems exhibiting the largest
profile velocity widths span a narrow range of high metallicities, while
systems with small velocity widths span a wider range of metallicities. This is
naturally explained by passage of the damped Lyman alpha sightlines through
rapidly rotating disks with negative radial gradients in metallicity. The
systematically lower N(H I) of systems with high velocity widths indicates (a)
the gaseous disks have centrally located holes, and (b) an apparent
inconsistency with the protogalactic clump model for damped Lyman alpha
systems. The higher metallicity of systems with low N(H I) further implies that
stars rather than gas dominate the baryonic content of the most metal-rich
damped systems.
","[{""version"":""v1"",""created"":""Wed, 3 Dec 1997 19:11:23 GMT""}]","2009-10-30"
"astro-ph/9712051","Avi Loeb","Rosalba Perna and Abraham Loeb (Harvard Univ.)","Identifying the Environment and Redshift of GRB Afterglows from the
  Time-Dependence of Their Absorption Spectra","13 pages, 4 figures, submitted to ApJL",,"10.1086/305865",,"astro-ph",,"  The discovery of Gamma-Ray Burst (GRB) afterglows revealed a new class of
variable sources at optical and radio wavelengths. At present, the environment
and precise redshift of the detected afterglows are still unknown. We show that
if a GRB source resides in a compact (<100pc) gas-rich environment, the
afterglow spectrum will show time-dependent absorption features due to the
gradual ionization of the surrounding medium by the afterglow radiation.
Detection of this time-dependence can be used to constrain the size and density
of the surrounding gaseous system. For example, the MgII absorption line
detected in GRB970508 should have weakened considerably during the first month
if the absorption occurred in a gas cloud of size <100pc around the source. The
time-dependent HI or metal absorption features provide a precise determination
of the GRB redshift.
","[{""version"":""v1"",""created"":""Wed, 3 Dec 1997 19:38:06 GMT""}]","2009-10-30"
"astro-ph/9712052","Jim Chiang","Charles D. Dermer and James Chiang (NRL)","Electron Acceleration and Synchrotron Radiation in Decelerating
  Plasmoids","23 pages, 6 eps figures, uses aaspp4.sty. To be submitted to ApJ",,"10.1016/S1384-1076(98)00004-9","NRL-7653-17","astro-ph",,"  An equation is derived to calculate the dynamics of relativistic magnetized
plasma which decelerates by sweeping up matter from the ISM. Reduction to the
non-radiative and radiative regimes is demonstrated. The evolving electron
momentum distribution function in the comoving fluid frame is used to calculate
the observed synchrotron radiation spectrum, assuming that a fixed fraction of
the comoving proton power is instantaneously transformed into a power-law,
""shock""-like electron distribution function. This permits an analytic solution
for the case of a relativistic plasmoid with a constant internal magnetic
field. Breaks in the temporal behavior of the primary burst emission and long
wavelength afterglows occur on two time scales for external ISM density
distributions. The first represents the time when the outflow sweeps up
approximately M/G_0 of material from the ISM, where M is the mass in the
outflow ejecta and G_0 is the initial Lorentz factor of the plasmoid. The
second represents the time when synchrotron cooling begins strongly to regulate
the number of nonthemal electrons that are producing radiation which is
observed at a given energy.
  Results are applied to GRB and blazar variability. The slopes of the time
profiles of the X-ray and optical light cuves of the afterglows of GRB 970228
and GRB 970508 are explained by injection of hard electron spectra with indices
$s < 2$ in a deceleration regime near the radiative limit. We also propose that
blazar flares are due to the transformation of the directed kinetic energy of
the plasmoid when interacting with the external medium, as would occur if
relativistic outflows pass through clouds orbiting the central supermassive
black hole.
","[{""version"":""v1"",""created"":""Wed, 3 Dec 1997 21:26:49 GMT""}]","2016-08-30"
"astro-ph/9712053","Krzysztof Stanek","K. Z. Stanek (CfA), J. Kaluzny (Warsaw), M. Krockenberger, D. D.
  Sasselov (CfA), J. L. Tonry (Hawaii), M. Mateo (Michigan)","DIRECT Distances to Nearby Galaxies Using Detached Eclipsing Binaries
  and Cepheids. II. Variables in the Field M31A","submitted to the Astronomical Journal, 29 pages, 18 figures; paper
  and data available at
  ftp://cfa-ftp.harvard.edu/pub/kstanek/DIRECT/papers/M31A/ and through WWW at
  http://cfa-www.harvard.edu/~kstanek/DIRECT/","1998, AJ, 115, 1894","10.1086/300342",,"astro-ph",,"  We undertook a long term project, DIRECT, to obtain the direct distances to
two important galaxies in the cosmological distance ladder -- M31 and M33,
using detached eclipsing binaries (DEBs) and Cepheids. While rare and difficult
to detect, detached eclipsing binaries provide us with the potential to
determine these distances with an accuracy better than 5%. The massive
photometry obtained in order to detect DEBs provides us with the light curves
for the Cepheid variables. These are essential to the parallel project to
derive direct Baade-Wesselink distances to Cepheids in M31 and M33. For both
Cepheids and eclipsing binaries the distance estimates will be free of any
intermediate steps.
  As a first step of the DIRECT project, between September 1996 and January
1997 we have obtained 36 full nights on the Michigan-Dartmouth-MIT (MDM)
1.3-meter telescope and 45 full/partial nights on the F. L. Whipple Observatory
(FLWO) 1.2-meter telescope to search for detached eclipsing binaries and new
Cepheids in the M31 and the M33 galaxies. In this paper, second in the series,
we present the catalog of variable stars, most of them newly detected, found in
the field M31A ($\alpha_{2000.0},\delta_{2000}=11.34\deg,41.73\deg$). We have
found 75 variable stars: 15 eclipsing binaries, 43 Cepheids and 17 other
periodic, possible long period or non-periodic variables. The catalog of
variables, as well as their photometry and finding charts, are available using
the anonymous ftp service and the WWW. The CCD frames are available on request.
","[{""version"":""v1"",""created"":""Wed, 3 Dec 1997 22:09:32 GMT""}]","2009-10-30"
