"alg-geom/9706011","Donu Arapura","Donu Arapura and Madhav Nori","Solvable fundamental groups of algebraic varieties and K\""ahler
  manifolds","16 pages, latex2e",,,,"alg-geom math.AG",,"  This is a long overdue write up of the following: If the fundamental group of
a normal complex algebraic variety (respectively Zariski open subset of a
compact K\""ahler manifold) is a solvable group of matrices over Q (respectively
polycyclic group), then it is virtually nilpotent. This should be interpreted
as saying that a large class of solvable groups will not occur as fundamental
groups of such spaces. The essential strategy is to first ""complete"" these
groups to algebraic groups (generalizing constructions of Malcev and Mostow),
and then check that the identity component is unipotent. This is done by Galois
theoretic methods in the algebraic case, and is reduced to homological
properties of one dimensional characters in the analytic case.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 22:12:48 GMT""},{""version"":""v2"",""created"":""Wed, 25 Jun 1997 02:51:23 GMT""}]","2016-08-30"
"astro-ph/9706241","Roberto Cid","R. Cid Fernandes (1), R. Terlevich (2), I. Aretxaga (2) ((1) Depto. de
  Fisica - UFSC, Florianopolis, Brazil, (2) Royal Greenwich Observatory,
  Cambridge, UK)","Patterns and Coincidences in the Light Curves of Active Galaxies","8 pages, uuencoded, gzip'ed, tar-file [Patterns.tar.gz.uu, 340Kb]
  Uses mn.sty, epsf.sty Also available at http://www.if.ufrgs.br/~cid MNRAS,
  accepted (March/1997)",,"10.1093/mnras/289.2.318","2","astro-ph",,"  We draw attention to some intriguing coincident patterns in the optical light
curves of NGC 4151 and NGC 5548. Inspecting the light curves of these two
classic Seyferts, we find evidence for at least five occurrences of a similar
sequence of variations. This pattern consists of a ~ 2 yr long sequence of
shorter flares, with a total energy of 3--5 10^{50} ergs in the B-band. We
predict that the on-going monitoring campain on NGC 5548 should soon reveal
more occurrences of this general pattern if it is truly recurrent. We speculate
on the possibility that this pattern is associated with a fundamental/universal
`unit' of variability in active galaxies, and discuss a possible connection
with the variability properties of QSOs.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 22:38:20 GMT""}]","2015-06-24"
"astro-ph/9706247","Andrew Ulmer","Andrew Ulmer (Princeton University Observatory)","Flares from the Tidal Disruption of Stars by Massive Black Holes","21 pages with 4 figures, AAS Latex, ApJ Submitted",,"10.1063/1.55887",,"astro-ph",,"  Tidal disruption flares are differentiated into two classes -- those which
are sub-Eddington and those which radiate near the Eddington limit. Flares from
black holes above ~2 x 10^7 M_\odot will generally not radiate above the
Eddington limit. For a Schwarzschild black hole, the maximum bolometric
luminosity of a tidal disruption is ~L_Edd(5 x 10^7 M_\odot), substantially
below the Eddington luminosities of the most massive disrupting black holes (~2
x 10^8 M_\odot). Bolometric corrections to the spectra of the brightest flares
are found to be large (~7.5 mag). Nevertheless, the brightest flares are likely
to have absolute magnitudes in excess of -19 in V and -21 in U (in the absence
of reddening). Because the spectra are so blue, K-corrections may actually
brighten the flares in optical bands. If such flares are as frequent as
believed, they may soon be detected in low or high redshift supernovae
searches. The He II ionizing radiation produced in the flares may dominate that
which is produced by all other sources in the centers of quiescent galaxies,
creating a steady state, highly ionized, fossil nebula with an extent of ~1 kpc
which may be observable in recombination lines.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 21:52:44 GMT""}]","2009-10-30"
"astro-ph/9706248","Sandip Kumar Chakraborty","Giuseppe Lanzafame, D. Molteni and S.K. Chakrabarti","Smoothed Particle Hydrodynamic Simulations of Viscous Accretion Discs
  Around Black Holes","MNRAS style 6 pages of output, macros included. MNRAS (submitted)",,"10.1046/j.1365-8711.1998.01816.x","SNBNCBS no. SNB/ASTRO/3-97","astro-ph",,"  Viscous Keplerian discs become sub-Keplerian close to a black hole since they
pass through sonic points before entering into it. We study the time evolution
of polytropic viscous accretion discs (both in one and two dimensional flows)
using Smoothed Particle Hydrodynamics. We discover that for a large region of
the parameter space, when the flow viscosity parameter is less than a critical
value, standing shock waves are formed. If the viscosity is very high then the
shock disappears. In the intermediate viscosity the disc oscillates very
significantly in viscous time-scale. Our simulations indicate that these
centrifugally supported high density region close to a black hole plays an
active role in the flow dynamics, and consequently, the radiation dynamics.
","[{""version"":""v1"",""created"":""Wed, 25 Jun 1997 13:16:51 GMT""}]","2009-10-30"
"astro-ph/9706249","Ferrara Andrea","Andrea Ferrara","Dust in Hot Environments: Giant Dusty Galactic Halos","10 pages, LaTeX (lamuphys.sty), 3 figures, IAU166, The Local Bubble
  and Beyond, Highlight Talk",,"10.1007/BFb0104749","OAA-12","astro-ph",,"  I review some of the evidences for dust in the Local Bubble and in galactic
halos and show that a general mechanism based on radiation pressure is capable
of evacuating dust grains from regions dominated by massive star energy input
and thus originate huge dusty halos. A Monte Carlo/particle model has been
developed to study the dust dynamics above HII chimneys and the results, among
other findings, show that dust can travel several kpc away from the plane of
the parent galaxy. The cosmological implications of extragalactic dust are
briefly outlined.
","[{""version"":""v1"",""created"":""Wed, 25 Jun 1997 09:44:36 GMT""}]","2009-10-30"
"astro-ph/9706251","David Chernoff","Amir Levinson, David F. Chernoff and Edwin E. Salpeter","Molecule Formation In and On Grains.I: Physical Regimes","28 pages, 7 postscript figures, uses revtex",,,,"astro-ph",,"  We study molecular hydrogen formation in and on solids. We construct a model
with surface sites and bulk sites capable of describing (1) the motion and
exchange of H and H_2 between surface and bulk, (2) the recombination of H and
dissociation of H_2 in and on the solid, and (3) the injection of H from the
gas phase and the loss of H and H_2 from the solid. The basic physical
processes include thermally activated reactions, collisionally induced
reactions, and tunneling reactions. Our main application is to the astronomical
problem of H_2 formation on grains in space but the model has more general
applicability. We investigate the steady-state H and H_2 concentrations in and
on the solid when gas phase atoms or ions stick to the surface or penetrate the
body of the grain. The model identifies ranges of physical parameters for which
the solid becomes saturated (surface and/or bulk) with particles (H and/or H_2)
and facilitates the calculation of the efficiency of molecule formation (the
fraction of the gas phase atoms that leave as molecules). These solutions are
highly degenerate in the sense that they depend only on a small number of
dimensionless parameters. We find that a variety of recombination pathways
operate under a broad range of conditions. As an example we study H_2 formation
in and on carbon grains.
","[{""version"":""v1"",""created"":""Wed, 25 Jun 1997 13:08:15 GMT""}]","2007-05-23"
"astro-ph/9706252","Alessandro Marconi","F. Macchetto(STScI), A. Marconi(STScI), D.J. Axon(STScI), A.
  Capetti(SISSA), W. Sparks (STScI), P. Crane (ESO)","The supermassive black hole of M87 and the kinematics of its associated
  gaseous disk","43 pages, 5 Tables and 19 Postscript figures (included), requires
  AASTeX style files, in press on the Astrophysical Journal","Astrophys.J. 489 (1997) 579","10.1086/304823",,"astro-ph",,"  We have obtained long-slit observations of the circumnuclear region of M87 at
three different locations, with a spatial sampling of 0.028"" using the Faint
Object Camera f/48 spectrograph on board HST. These data allow us to determine
the rotation curve of the inner ~1"" of the ionized gas disk in [OII]3727 to a
distance as close as 0.07"" (~5pc) to the dynamic center, thereby significantly
improving on both the spatial resolution and coverage of previous FOS
observations.
  We have modeled the kinematics of the gas under the assumption of the
existence of both a central black hole and an extended central mass
distribution, taking into account the effects of the instrumental PSF, the
intrinsic luminosity distribution of the line, and the finite size of the slit.
  We find that the central mass must be concentrated within a sphere whose
maximum radius is 0.05"" (~3.5pc) and show that both the observed rotation curve
and line profiles are consistent with a thin--disk in keplerian motion. We
conclude that the most likely explanation for the observed motions is the
presence of a supermassive black hole and derive a value of M_{BH} =
(3.2+/-0.9) 10^9 M_{sun} for its mass.
","[{""version"":""v1"",""created"":""Wed, 25 Jun 1997 15:13:59 GMT""}]","2009-10-30"
"astro-ph/9706253","Amanda C. Baker","A. C. Baker (Service d'Astrophysique, Saclay, France) and D. L.
  Clements (Institut d'Astrophysique Spatiale, Orsay, France)","The Fate of Ultra-luminous Mergers","To appear in the proceedings of the 1997 Moriond meeting on
  Extragalactic Astronomy in the Infrared. 6 pages, 1 figure, 1 author image",,,,"astro-ph",,"  Essentially all Ultra-Luminous IR Galaxies (ULIRGs) are in disturbed,
interacting or merging systems. It is known that interactions tend to induce
galactic starbursts. Thus, elliptical galaxies which are formed in mergers will
tend to have high metallicity, low dust and molecular gas content, and faint
structural distortions, as observed for the bone fide elliptical galaxy
population. The old stellar population in the merged galaxies will probe the
new gravitational potential, relaxing rapidly to give a de Vaucouleurs
surface-brightness profile if the remnant is elliptical-like. We examine the
old stellar population in 10 nearby (z < 0.15) ULIRGs, using deep near-IR
imaging photometry. These data reveal signs of elliptical-like structure in the
near-IR one-dimensional surface brightness profiles, supporting the hypothesis
that ultra-luminous mergers evolve into elliptical galaxies.
","[{""version"":""v1"",""created"":""Wed, 25 Jun 1997 15:12:19 GMT""}]","2007-05-23"
"astro-ph/9706257","Soker Noam","Noam Soker (Univ. of Haifa)","The Number of Planets Around Stars","11 pages, To be presented in the 10th Cool Stars Workshop, uses
  paspconf.sty",,,,"astro-ph",,"  Based on the large number of elliptical planetary nebulae I argue that about
55 per cent of all progenitors of planetary nebulae have planets around them.
The planets spin up the stars when the later evolve along the red giant branch
or along the asymptotic giant branch.
  The arguments, which were presented in several of my earlier works, and are
summarized in the paper, suggest that the presence of four gas-giant planets in
the solar system is the generality rather than the exception. I here continue
and: (1) examine the possibility of detecting signatures of surviving
Saturn-like planets inside planetary nebulae, and, (2) propose a model by which
the second parameter of the horizontal branch, which determines the
distribution of horizontal branch stars in the HR diagram, is the presence of
planets.
  A red giant branch star that interacts with a planet will lose a large
fraction of its envelope and will become a blue horizontal branch star.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 21:06:00 GMT""}]","2016-08-30"
"chao-dyn/9706024","Fernando P. Simonotti","Fernando P. Simonotti, Eduardo Vergini, Marcos Saraceno (Comision
  Nacional de Energia Atomica, Argentina)","Quantitative study of scars in the boundary section of the stadium
  billiard","10 pages, RevTex, 14 Figures (10 gifs, 4 PostScripts). Submitted to
  Physical Review E",,"10.1103/PhysRevE.56.3859",,"chao-dyn nlin.CD",,"  We construct a semiclassically invariant function on the boundary of the
billiard, taken as the Poincare section in Birkhoff coordinates, based on
periodic orbit information, as an ansatz for the normal derivative of the
eigenfunction. Defining an appropriate scalar product on the section, we can
compute the scar intensity of a given periodic orbit on an eigensate, as the
overlap beetween the constructed function and the normal derivative on the
section of the eigenstate. In this way, we are able to investigate how periodic
orbits scar the spectrum and how a given eigenstate decompose into scar
functions. We use this scheme on the Bunimovich stadium.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 18:06:20 GMT""}]","2009-10-30"
"chao-dyn/9706025",,"H. Alt, C. Dembowski, H.-D. Graef, R. Hofferbert, H. Rehfeld, A.
  Richter (Institut fuer Kernphysik, TH Darmstadt), R. Schuhmann, T. Weiland
  (Fachgebiet Theorie Elektromagnetischer Felder, Technische Hochschule
  Darmstadt)","Wave Dynamical Chaos in a Superconducting Three-Dimensional Sinai
  Billiard","4 pages RevTex; 4 postscript figures; to be published in Phys. Rev.
  Lett.; Info: hofferbert@linac.ikp.physik.th-darmstadt.de","Phys. Rev. Lett. 79, 1026 (1997)","10.1103/PhysRevLett.79.1026",,"chao-dyn nlin.CD",,"  Based on very accurate measurements performed on a superconducting microwave
resonator shaped like a desymmetrized three-dimensional (3D) Sinai billiard, we
investigate for the first time spectral properties of the vectorial Helmholtz,
i.e. non-quantum wave equation for a classically totally chaotic and
theoretically precisely studied system. We are thereby able to generalize some
aspects of quantum chaos and present some results which are consequences of the
polarization features of the electromagnetic waves.
","[{""version"":""v1"",""created"":""Wed, 25 Jun 1997 10:21:58 GMT""}]","2009-10-30"
