"astro-ph/9706002",,"Sandip K. Chakrabarti and Soumitri A. Sahu","Bondi Flows on Compact Objects Revisited","7 Latex pages including figures. Macros included. Astronomy and
  Astrophysics (in press)",,,,"astro-ph gr-qc",,"  We revisit Bondi flows on black holes, naked singularities and neutron stars
keeping in mind recent progress in understanding of the flow behaviour near
compact objects. In an adiabatic spherical accretion on black holes and naked
singularities, standing shock waves do not form, but shocks on neutron stars
may or may not form depending on the boundary conditions. For low accretion
rates (hard state), these objects may behave similarly. However, for high
accretion rates (soft state), the converging flow on a black hole will produce
a weak hard tail of energy spectral slope of $\sim 1.5$ (apart from the soft
bump) while the flow on a neutron star or a naked singularity will have no hard
tail. The soft bumps of neutron star candidates may generally be at higher
energies than those of naked singularities.
","[{""version"":""v1"",""created"":""Mon, 2 Jun 1997 08:45:32 GMT""}]","2007-05-23"
"astro-ph/9706003","O. Silchenko","O. K. Sil'chenko (Sternberg Astronomical Institute, Moscow, Russia),
  V. V. Vlasyuk and A. N. Burenkov (Special Astrophysical Observatory, Nizhnij
  Arkhyz, Russia)","Decoupled Nuclei and Nuclear Polar Rings in Regular Spiral Galaxies. NGC
  2841","10 pages, LATEX l-aa.sty, 11 Postscript figures. Accepted to the
  Astronomy and Astrophysics Main Journal",,,,"astro-ph",,"  The Sb galaxy NGC 2841 was observed at the 6 m telescope of SAO RAS with the
Multi-Pupil Field Spectrograph and at the 1 m telescope of SAO RAS with the
long-slit spectrograph. An unresolved nucleus of NGC 2841 is shown to be
chemically decoupled both in magnesium and in iron with abundance break
estimates of 0.36 dex for Mg and 0.6 dex for Fe; an abundance gradient in the
bulge is seen only in the magnesium index and is typical for early-type disk
galaxies. The rotation axis of the nuclear ionized gas in NGC 2841 is
orthogonal to that of the central stellar population; an existence of a bulge
stellar component with decoupled rotation momentum in the radius range 5"" -12""
is suspected. A possible scenario for the origin of the unusual central
structure in NGC 2841 is proposed.
","[{""version"":""v1"",""created"":""Mon, 2 Jun 1997 10:48:44 GMT""}]","2007-05-23"
"astro-ph/9706004","C. Popescu","Cristina C. Popescu, Ulrich Hopp, Hans Els\""asser","Results of a search for emission-line galaxies towards nearby voids. The
  spatial distribution","15 pages, LATEX file",,,"mpia-1997-13","astro-ph",,"  We present the results of a search for emission-line galaxies (ELGs) towards
nearby voids, based on a sample selected on the HQS (Hamburg Quasar Survey) -
III-aJ objective-prism plates. The survey was based on the presence of
emission-lines and therefore has the advantage to detect very faint objects
  (with all the flux in the emission-lines and almost no continuum), that would
be missed by an apparent magnitude limited survey. We found objects as faint as
B=20.5 and M(B)=(-15.0,-12.0).
  The observational data are given in Popescu et al. (1996) and in the present
paper we consider a complete subsample from these data. We analyse the spatial
distribution of our sample of ELGs in comparison with the distribution of
normal galaxies. Overall both distributions trace the same structures.
Nevertheless we also found a few ELGs in voids, from which at least 8 lie in
the very well defined nearby voids. The isolated galaxies seem to form fainter
structures that devide the larger voids into smaller ones. {}From our estimates
of the expected number of void galaxies we conclude that we did not find an
underlying homogenous void population.
","[{""version"":""v1"",""created"":""Mon, 2 Jun 1997 12:03:17 GMT""}]","2016-08-30"
"astro-ph/9706005","Martin Lopez Corredoira","Martin Lopez Corredoira (Instituto de Astrofisica de Canarias)","Force equation of the large-scale structure of the Universe","10 pages, Latex, 3 Postscript figures, accepted in A&A","Astron.Astrophys.326:433,1997",,,"astro-ph",,"  This article presents a statistical-mechanical treatment of a relationship
(the force equation) between the gravitational potential for two particles and
the correlation functions in a relaxed distribution of particles with different
masses. This relationship is used in the case of galaxies interacting through a
Newtonian potential in an Universe in expansion, i.e. the large-scale
distribution of galaxies.
  By applying this equation and from the observed two-point correlation
function for galaxies as a $-1.8$ exponent power law, I derive the approximate
dependence of a mass-mass correlation function as a $-2.8$ exponent power law,
i.e. I infer that mass is more correlated than galaxies at short distances,
when the distribution is considered as relaxed.
","[{""version"":""v1"",""created"":""Mon, 2 Jun 1997 14:51:24 GMT""}]","2011-05-23"
"astro-ph/9706006","Christian Henkel","C. Codella, R. Welser, C. Henkel, P.J. Benson, and P.C. Myers","Four New Dense Molecular Cores in the Taurus Molecular Cloud (TMC):
  Ammonia and Cyanodiacetylene Observations","10 pages, Latex file, 7 Postscript Figures, l-aa.sty and psfig.sty
  included. Accepted to Astronomy and Astrophysics",,,"MPIfR Preprint 698","astro-ph",,"  Trying to obtain a more complete picture of star forming regions in the
Taurus Molecular Cloud, four newly discovered dense cores (L1521D, L1521F,
L1524, L1507A) are identified and mapped through the ammonia (J,K)=(1,1) and
(2,2) rotational inversion lines. These cores have sizes of 0.06-0.09 pc,
hydrogen densities of order 10000 - 100000 cm-3 and kinetic temperatures
between 8 and 10 K. The masses range from 0.2 - 1.0 solar masses, placing the
cores with the lowest M values at the lower edge of the mass distribution for
ammonia cores in the TMC. Turbulent, thermal and gravitational energies have
been estimated. A comparison between these energy terms and considerations
related to thermal and turbulent line broadening indicate that these cores are
close to equilibrium. Moreover we report the detection of the J=9-8 transition
of HC5N towards the four ammonia peak positions. The HC5N column densities are
in agreement with values derived for other molecular cores in the TMC.
","[{""version"":""v1"",""created"":""Mon, 2 Jun 1997 13:04:36 GMT""}]","2007-05-23"
"astro-ph/9706007","Koichi Iwamoto","Ken'ichi Nomoto, Koichi Iwamoto, Nobuhiro Kishimoto (Department of
  Astronomy, University of Tokyo)","Type Ia Supernovae: Their Origin and Possible Applications in Cosmology","7 page LaTeX, 5 PostScript figures, to appear in Science, Vol. 276
  (1997)",,"10.1126/science.276.5317.1378",,"astro-ph",,"  Spectroscopic and photometric evidence indicates that Type Ia supernovae (SNe
Ia) are the thermonuclear explosions of accreting white dwarfs. However, the
progenitor binary systems and hydrodynamical models for SNe Ia are still
controversial. The relatively uniform light curves and spectral evolution of
SNe Ia have led to their use as a standard candle for determining cosmological
parameters, such as the Hubble constant, the density parameter, and the
cosmological constant. Recent progress includes the calibration of the absolute
maximum brightness of SNe Ia with the Hubble Space Telescope, the reduction of
the dispersion in the Hubble diagram through the use of the relation between
the light curve shape and the maximum brightness of SNe Ia, and the discovery
of many SNe Ia with high red shifts.
","[{""version"":""v1"",""created"":""Mon, 2 Jun 1997 13:32:02 GMT""},{""version"":""v2"",""created"":""Fri, 6 Jun 1997 11:38:25 GMT""}]","2009-10-30"
"astro-ph/9706008","Arvind Parmar","A. N. Parmar (1), P. Kahabka (2), H. W. Hartmann (3), J. Heise (3), D.
  D. E. Martin (1), M. Bavdaz (1) and T. Mineo (4) ((1) ESA/ESTEC, (2) Univ. of
  Amsterdam, (3) SRON, (4) IFCAI)","A BeppoSAX observation of the super-soft source CAL87","4 pages. Accepted for publication in A&A (Letters)",,,,"astro-ph",,"  We report on a BeppoSAX Concentrator Spectrometer observation of the
super-soft source (SSS) CAL87. The X-ray emission in SSS is believed to arise
from nuclear burning of accreted material on the surface of a white dwarf (WD).
An absorbed blackbody spectral model gives a chi^2_v of 1.18 and a temperature
of 42 +/- ^13 _11 eV. However, the derived luminosity and radius are greater
than the Eddington limit and radius of a WD. Including an O viii edge at 0.871
keV gives a significantly better fit (at > 95% confidence) and results in more
realistic values of the source luminosity and radius. We also fit WD atmosphere
models to the CAL87 spectrum. These also give reasonable bolometric
luminosities and radii in the ranges 2.7-4.8 10^{36} erg/s and 8-20 10^7 cm,
respectively. These results support the view that the X-ray emission from CAL87
results from nuclear burning in the atmosphere of a WD.
","[{""version"":""v1"",""created"":""Mon, 2 Jun 1997 13:50:04 GMT""}]","2007-05-23"
"astro-ph/9706009","Arvind Parmar","E. Kuulkers (1 and 2), A. N. Parmar (1), A. Owens (1), T. Oosterbroek
  (1), U. Lammers (1) ((1) ESA/ESTEC, (2) Univ. of Oxford)","Low-energy line emission from Cygnus X-2 observed with the BeppoSAX LECS","4 pages. Accepted for publication in A&A (Letters)",,,,"astro-ph",,"  We present a 0.2-10 keV spectrum of the low-mass X-ray binary Cygnus X-2
obtained using the Low Energy Concentrator Spectrometer on-board Bepposax. The
spectrum can be described by a cut-off power-law model with absorption of (2.28
+/- 0.07) 10^{21} atoms/cm^2, a power-law index of 0.78 +/- 0.02 and a cut-off
energy of 4.30 +/- 0.08 keV (68% confidence errors), except at energies near ~1
keV where excess emission is present. This can be modeled by a broad Gaussian
line feature with an energy of 1.02 +/- 0.04 keV, a full width half-maximum of
0.47 +/- 0.07 keV and an equivalent width of 74 +/-^{25}_{11} eV. This result
confirms earlier reports of line emission near 1 keV and shows the intensity
and structure of the feature to be variable.
","[{""version"":""v1"",""created"":""Mon, 2 Jun 1997 14:18:23 GMT""}]","2007-05-23"
"astro-ph/9706010","Igor Moskalenko","A. W. Strong, I. V. Moskalenko, V. Schoenfelder (MPE)","Numerical models for cosmic ray propagation and gamma ray production","4 pages including 12 figures, latex2e, epsfig.sty, wrapfig.sty,
  times.sty, mathptm.sty. Proc. 25th International Cosmic Ray Conference
  (Durban, South Africa), 1997, v. 4, p. 257-260. Details can be found at
  http://www.gamma.mpe-garching.mpg.de/~aws/aws.html N.B. An error in Fig.6 (a
  scale of the axis Intensity) is now corrected","Proc. 25th ICRC (Durban), 1997, v.4, p.257-260",,,"astro-ph",,"  An extensive program for the calculation of galactic cosmic-ray propagation
has been developed. Primary and secondary nucleons, primary and secondary
electrons, and secondary positrons are included. The basic spatial propagation
mechanisms are (momentum-dependent) diffusion, convection, while in momentum
space energy loss and diffusive reacceleration are treated. Fragmentation and
energy losses are computed using realistic distributions for the interstellar
gas and radiation fields. Predictions of the diffuse Galactic gamma ray and
synchrotron emission are made. Our new estimate of the cosmic-ray positron
spectrum is compared with the latest experimental data.
","[{""version"":""v1"",""created"":""Mon, 2 Jun 1997 14:24:58 GMT""},{""version"":""v2"",""created"":""Fri, 5 Sep 1997 15:07:29 GMT""}]","2008-02-03"
"astro-ph/9706011","Greg Taylor","G. B. Taylor and R. C. Vermeulen","Bi-Directional Relativistic Jets of the Radio Galaxy 1946+708:
  Constraints on the Hubble Constant","in press at ApJ Letters, 12 page LaTex document includes 5 postscript
  figures",,"10.1086/310800",,"astro-ph",,"  We present measurements of bi-directional motions in the jets of the radio
galaxy 1946+708 at z=0.101. This is a Compact Symmetric Object with striking
S-symmetry. Sensitive 15 GHz observations reveal a compact component at the
center of symmetry with a strongly inverted spectrum, that we identify as the
core. From five 4.9 GHz observations spread over 4 years we have determined the
velocities of four compact jet components. If simple kinematic models can be
applied then the inclination of the source and the bulk jet velocity can be
directly determined for any assumed value of the Hubble constant. Conversely,
the measurements already place constraints on the Hubble constant, and we show
how further observations of 1946+708 can yield an increasingly accurate
determination of H_0.
","[{""version"":""v1"",""created"":""Mon, 2 Jun 1997 15:12:05 GMT""}]","2009-10-30"
