"adap-org/9706003","Marie-Line Chabanol","M.-L. Chabanol and V. Hakim (Laboratoire de Physique Statistique, ENS
  Paris, France)","Analysis of a dissipative model of self-organized criticality with
  random neighbors","4 pages, TeX, 4 Postscript figures, submitted to ""Physical Review E,
  Rapid Communications""",,"10.1103/PhysRevE.56.R2343",,"adap-org cond-mat.stat-mech nlin.AO",,"  We analyze a random neighbor version of the OFC stick-slip model. We find
that the mean avalanche size is finite as soon as dissipation exists in the
bulk but that this size grows exponentially fast when dissipation tends to
zero.
","[{""version"":""v1"",""created"":""Mon, 9 Jun 1997 13:07:18 GMT""}]","2009-10-30"
"astro-ph/9706075","Peter Kahabka","P. Kahabka (Amsterdam), W. Pietsch (M.P.E.)","X-Ray Binary Systems in the Small Magellanic Cloud","22 pages, Latex","Astron. Astrophys. 312, 919-936(1996)",,,"astro-ph",,"  We present the result of a systematic search for spectrally hard and soft
X-ray binary systems in the Small Magellanic Cloud (SMC). This search has been
applied to ROSAT PSPC data (0.1-2.4 keV) collected during 9 pointed
observations towards this galaxy covering a time span of 2 years from October
91 till October 93. Selection criteria have been defined in order to confine
the sample of candidates. Finally 7 spectrally hard and 4 spectrally soft
sources were selected from the list as candidates for binaries in the SMC. The
sample is luminosity limited (>3.10**35 erg/s). SMC X-1 has been observed
during a full binary orbit starting with a low-state covering an X-ray eclipse
and emerging into a bright long-duration flare with two short-duration flares
separated by 10 hours. The Be type transient SMC X-2 has been redetected with
ROSAT. Variability has been found in the sources RX J0051.8-7231 and RX
J0052.1-731 already discovered with Einstein. RX J0101.0-7206 has been
discovered at the north-eastern boundary of the giant SMC HII region N66 during
an X-ray outburst and half a year later during a quiescent phase. A variable
source, RX J0049.1-7250, located north-east of the SMC supernova remnant N19
and which may either be an X-ray binary or an AGN turns out to be strongly
absorbed. It may be located behind the SMC. If it is an X-ray binary then it
radiates at the Eddington limit in the X-ray bright state. Another variable and
hard X-ray source RX J0032.9-7348 has been discovered at the south-eastern
border of the body of the SMC. A high mass X-ray binary nature is favored for
this source. We searched for CAL87 like systems in the SMC catalog and found
none. A new candidate supersoft source RX J0103.8-7254 has been detected. We
cannot exclude that it is a foreground object.
","[{""version"":""v1"",""created"":""Mon, 9 Jun 1997 12:11:35 GMT""}]","2007-05-23"
"astro-ph/9706076","Zharykov S. V.","V. G. Kurt (1), V. V. Sokolov (2), S. V. Zharikov (2), G. G. Pavlov
  (3) and B.V. Komberg (1) ((1) Astro Space Center of the Russian Academy of
  Sciences, Moscow;Russia (2) Special Astrophysical Observatory of RAS,
  Karachai-Cherkessia, Nizhnij Arkhyz, Russia; (3) The Pennsylvania State
  University, Dept. of Astronomy & Astrophysics, University Park, PA)","BVRI observations of PSR B0656+14 with the 6-meter telescope","11 pages, 8 Postscript figures, Latex, l-aa.sty and psfig.sty
  included, submitted to Astronomy and Astrophysics",,,,"astro-ph",,"  We observed the middle-aged radio pulsar 0656+14 with a CCD detector at the
6-m telescope. Broadband BVRI images show the following magnitudes of the
pulsar counterpart: B = 24.85 (+0.19, -0.16), V = 24.90 (+0.16, -0.14), R =
24.52 (+0.12, -0.11), I = 23.81 (+0.27, -0.21). We fitted the UV-optical (space
+ ground-based) data with a two-component model which combines a power law
(non-thermal component) with a thermal spectrum emitted by the neutron star
surface. The power law component, with the energy power-law index \alpha=1.5
(+1.1,-1.2), dominates in the observed range. Constraints on the thermal
component correspond to the Rayleigh-Jeans parameter G\equiv
T_6(R_{10}/d_{500})^2=4.1 (+2.1, -4.1), where $T=10^6T_6$ K is the brightness
temperature, R_\infty = 10 R_{10}$ km is the neutron star radius as seen by a
distant observer, and $d=500 d_{500}$ pc is the distance. The shape of the
optical-UV spectrum of PSR 0656+14 differs considerably from those observed
from other pulsars: the middle-aged Geminga and young Crab, Vela.
","[{""version"":""v1"",""created"":""Sun, 8 Jun 1997 20:19:47 GMT""},{""version"":""v2"",""created"":""Wed, 11 Jun 1997 09:52:03 GMT""},{""version"":""v3"",""created"":""Wed, 24 Sep 1997 06:57:30 GMT""}]","2008-02-03"
"astro-ph/9706077","Charley Lineweaver","Charles H. Lineweaver (UNSW, Sydney & Strasbourg) and Domingos Barbosa
  (Sussex & Strasbourg)","What Can Cosmic Microwave Background Observations Already Say About
  Cosmological Parameters in Open and Critical-Density Cold Dark Matter Models?","18 pages with 7 figures, conforms to accepted version in press:
  Astrophysical Journal, 496, (April 1, 1998). Three of the figures have been
  modified, references updated, typos corrected. This version includes a table
  of current CMB measurements",,"10.1086/305408",,"astro-ph",,"  We use a combination of the most recent cosmic microwave background (CMB)
flat -band power measurements to place constraints on Hubble's constant h and
the total density of the Universe Omega_o in the context of inflation-based
cold dark matter (CDM) models with no cosmological constant. We use chisquared
minimization to explore the 4-dimensional parameter space having as free
parameters, h, Omega_o, the power spectrum slope n and the power spectrum
normalization at L=10. Conditioning on Omega_o=1 we obtain h=0.33 +/- 0.08.
Allowing Omega_o to be a free parameter reduces the ability of the CMB data to
constrain h and we obtain 0.26 < h < 0.97 with a best-fit value at h=0.40. We
obtain Omega_o=0.85 and set a lower limit Omega_o > 0.53. A strong correlation
between acceptable h and Omega_o values leads to a new constraint: Omega_o
h^1/2=0.55 +/- 0.10. A favored open model with Omega_o=0.3 and h=0.70 is more
than ~4 sigma from the CMB data best-fit model and is rejected at the 99% CL.
High baryonic models (Omega_b h^2 ~0.026) yield the best CMB chi-squared fits
and are more consistent with other cosmological constraints. The best-fit model
has n=0.91^{+0.29}_{-0.09} and Q=18.0^+1.2_-1.5 uK. The amplitude and position
of the dominant peak in the best-fit power spectrum are A_peak=76^+3_-7 uK and
L_peak = 260^+30_-20. Unlike the Omega_o=1 case we considered previously, CMB h
results are now consistent with the higher values favored by local measurements
of h but only if 0.55 >~ Omega_o >~ 0.85. Using an approximate joint likelihood
to combine our CMB constraint on Omegta_o h^{1/2} with other cosmological
constraints we obtain h=0.58 +/- 0.11 and Omega_o=0.65^+0.16_-0.15.
","[{""version"":""v1"",""created"":""Sun, 8 Jun 1997 22:16:35 GMT""},{""version"":""v2"",""created"":""Wed, 25 Feb 1998 06:40:38 GMT""}]","2009-10-30"
"astro-ph/9706078","Re'em Sari","Re'em Sari (Hebrew University, Jerusalem and IAS, Princeton)","Hydrodynamics of GRB After-Glow","15 pages, LaTeX",,,,"astro-ph",,"  The detection of delayed emission at X-ray optical and radio wavelengths,
``after-glow'', suggests that the relativistic shell which emitted the initial
GRB due to internal shocks decelerates on encountering an external medium,
giving rise to the after-glow. At a very early stage (few seconds), the
observed bolometric luminosity increases as t^2. On longer time scales (more
than about 10s), the luminosity drops as t^{-1}. If the main burst is long
enough, an intermediate stage of constant luminosity will form. In this case,
the after-glow overlaps the main burst, otherwise there is a time separation
between the two. On the long time scale, the flow decelerate in a self similar
way, reaching non relativistic velocities after about 30days. Due to the
deceleration and the accumulation of ISM material, the relation between the
observed time, the shock radius, and its Lorentz factor, is given by
t=R/16\gamma^2c which is a factor of 8 different from the usual expression. The
majority of particles are those of the original ejecta (and not the ISM) up to
about 900s. These particles reach sub-relativistic velocities on a time scale
of about 2hours, well before the flow becomes sub-relativistic. Therefore the
ejecta particles are probably unimportant for most of the after-glow radiation.
We show that even though only a small fraction of the energy is given to the
electrons, most of the energy can be radiated over time. If this fraction is
greater than 10% radiation losses will significantly influence the
hydrodynamical evolution at early times (less than 1day).
","[{""version"":""v1"",""created"":""Mon, 9 Jun 1997 01:58:37 GMT""}]","2007-05-23"
"astro-ph/9706079","Masahiro Teshima","S.Aiso, M.Chikawa, Y.Hayashi, N.Hayashida, K.Hibino, H.Hirasawa,
  K.Honda, N.Hotta, N.Inoue, F.Ishikawa, N.Ito, S.Kabe, F.Kajino, T.Kashiwagi,
  S.Kawakami, Y.Kawasaki, N.Kawasumi, H.Kitamura, K.Kuramochi, K.Kurata,
  E.Kusano, H.Lafoux, E.C.Loh, Y.Matsubara, T.Matsuyama, Y.Mizumoto,
  K.Mizutani, M.Nagano, D.Nishikawa, J.Nishimura, M.Nishizawa, T.Ouchi,
  H.Ohoka, M.Ohnishi, To.Saito, N.Sakaki, M.Sakata, K.Sakumoto, M.Sasaki,
  M.Sasano, H.Shimodaira, A.Shiomi, P.Sokolsky, T.Sugiyama, T.Takahashi,
  S.Taylor, M.Teshima, I.Tsushima, Y.Uchihori, T.Yamamoto, Y.Yamamoto,
  S.Yoshida, H.Yoshii, and T.Yuda","The Detection of TeV Gamma Rays from Crab using the Telescope Array
  Prototype","4 pages, 5 figures, contribution to 25th ICRC Durban",,,,"astro-ph",,"  The Telescope Array prototype detectors were installed at Akeno Observatory
and at the Utah Fly's Eye site. Using these detectors, we have observed the
Crab Nebula and AGN's since the end of 1995. The successful detections of TeV
gamma rays from Crab Nebula and Mkn501 are reported.
","[{""version"":""v1"",""created"":""Mon, 9 Jun 1997 02:28:13 GMT""}]","2009-09-25"
"astro-ph/9706080","Adam Burrows","A. Burrows, D. Sudarsky, C. Sharp, M. Marley, W.B. Hubbard, J.I.
  Lunine, T. Guillot, D. Saumon, and R. Freedman","Advances in the Theory of Extrasolar Giant Planets and Brown Dwarfs","19 pages total, LaTeX, 9 figures, to be published in the proceedings
  of the workshop ""Brown Dwarfs and Extrasolar Planets,"" held in Tenerife,
  Spain, March 17 - 21, 1997",,,,"astro-ph",,"  We have developed a new non-gray theory of the evolution, spectra, and colors
of extrasolar giant planets (EGPs) and brown dwarfs that reveals their exotic
nature and uniqueness. We have discovered that the fluxes of such objects for
T$_{eff}$s from 1300 K to 100 K can be spectacularly higher in the near
infrared bands than black body values and that their infrared colors are
anomalously blue. As a consequence, EGPs and brown dwarfs reside in hitherto
unoccupied realms of the H--R diagram and may be more easily found with current
and planned telescopes than previously imagined.
","[{""version"":""v1"",""created"":""Mon, 9 Jun 1997 05:24:09 GMT""}]","2007-05-23"
"astro-ph/9706081","Renee Kraan Korteweg","W. van Driel (Nancay Obs., Obs. de Paris-Meudon), R.C. Kraan-Korteweg
  (DAEC, Obs. de Paris-Meudon), B. Binggeli (Astron. Institut Basel) and W.K.
  Huchtmeier (MPI fuer Radioastronomie, Bonn)","An HI line search for optically identified dwarf galaxy candidates in
  the M81 group","Accepted for publication in A&ASS. 12 pages, LaTex, 2 encapsulated
  postscript figures, requires l-aa.sty and epsf.sty. Fig. 1 not avalaible in
  el. form",,,,"astro-ph",,"  Sensitive 21cm HI line observations were performed for 23 dwarf members and
possible members of the nearby M81 group of galaxies, including five objects of
a clustering of extremely low-surface brightness objects of unknown nature.
With the Nancay decimetric radio telescope the radial velocity range of -529 to
1826 km/s was searched to an rms noise of ~3-5 mJy. Only three objects were
detected. However, their high radial velocities (between 600 and 1150 km/s)
show them to lie behind the M81 group. These three objects, classified as dS0:
(UGC 4998) and Im (Kar 1N and UGC 5658), have HI masses of 0.5, 2.0 and 2.5
10^8 Msun, for the assumed distance of 4 Mpc, and HI mass-to-blue light ratios
of 0.05, 0.91 and 0.22 Msun/LBsun, respectively. Considering that half of the
observed objects are classified as irregular dwarfs, hence expected to be
relatively gas-rich, the resulting detection rate of about 1/3 is quite low.
However, the mean redshift and velocity dispersion of the M81 group (<v> = 101
km/s, sigma=114 km/s) suggest that the HI emission of low velocity HI-rich
members of the M81 group may still remain hidden within the strong Galactic HI
emission (typically -150 < v < 115 km/s) or, for the 6 dwarf candidates in the
immediate vicinity of M81, overshadowed by the very extended HI envelope
encompassing M81, M82, NGC 3077, and NGC 2976 (-280 < v < 355 km/s).
","[{""version"":""v1"",""created"":""Mon, 9 Jun 1997 11:11:34 GMT""}]","2007-05-23"
"astro-ph/9706082","Michiel R. Hogerheijde","Michiel R. Hogerheijde (1), Ewine F. van Dishoeck (1), Geoffrey A.
  Blake (2) and Huib Jan van Langevelde(3) ((1) Sterrewacht Leiden, The
  Netherlands, (2) California Institute of Technology, (3) JIVE, The
  Netherlands)","Tracing the envelopes around embedded low-mass young stellar objects
  with HCO+ and millimeter-continuum observations","45 pages, 10 figures, ApJ/AASLaTeX. To be published in The
  Astrophysical Journal",,"10.1086/304755","STW 382-97","astro-ph",,"  Interferometer observations of millimeter-continuum (OVRO) and single-dish
observations of HCO+ and H13CO+ J=1-0, 3-2, and 4-3 (JCMT, IRAM 30m) are
presented of nine embedded low-mass young stellar objects (YSOs) in Taurus. All
nine objects are detected at 3.4 and 2.7 mm, with fluxes of 4-200 mJy, and
consist of unresolved (<3 arcsec) point sources, plus, toward about half of the
objects, an extended envelope. The point sources likely are circumstellar
disks, showing that these are established early in the embedded phase.
Literature values of 1.1 mm continuum emission are used to trace the envelopes,
carrying 0.001-0.26 M(sol). In HCO+, the 1-0 lines trace the surrounding
clouds, while the 3-2 and 4-3 are concentrated toward the sources with
intensities well correlated with the envelope flux. An HCO+/H2 abundance of
1.2e-8 is derived. The HCO+ line strengths and envelope fluxes can be fit
simultaneously with the simple collapse model of Shu (1977), and related
density power laws with slopes p=1-3. As an indicator of the relative
evolutionary phase of a YSO, the ratio of HCO+ 3-2 line intensity over
bolometric luminosity is proposed, which is roughly proportional to the current
ratio of envelope over stellar mass. It is concluded that HCO+ 3-2 and 4-3 are
excellent tracers of the early embedded phase of star formation.
","[{""version"":""v1"",""created"":""Mon, 9 Jun 1997 14:26:58 GMT""}]","2009-10-30"
"cmp-lg/9706006","Roth Dan","Ido Dagan (Bar Ilan University, Israel), Yael Karov (Weizmann
  Institute, Israel), Dan Roth (Weizmann Institute, Israel)","Mistake-Driven Learning in Text Categorization","9 pages, uses aclap.sty",,,,"cmp-lg cs.CL",,"  Learning problems in the text processing domain often map the text to a space
whose dimensions are the measured features of the text, e.g., its words. Three
characteristic properties of this domain are (a) very high dimensionality, (b)
both the learned concepts and the instances reside very sparsely in the feature
space, and (c) a high variation in the number of active features in an
instance. In this work we study three mistake-driven learning algorithms for a
typical task of this nature -- text categorization. We argue that these
algorithms -- which categorize documents by learning a linear separator in the
feature space -- have a few properties that make them ideal for this domain. We
then show that a quantum leap in performance is achieved when we further modify
the algorithms to better address some of the specific characteristics of the
domain. In particular, we demonstrate (1) how variation in document length can
be tolerated by either normalizing feature weights or by using negative
weights, (2) the positive effect of applying a threshold range in training, (3)
alternatives in considering feature frequency, and (4) the benefits of
discarding features while training. Overall, we present an algorithm, a
variation of Littlestone's Winnow, which performs significantly better than any
other algorithm tested on this task using a similar feature set.
","[{""version"":""v1"",""created"":""Mon, 9 Jun 1997 10:57:55 GMT""}]","2008-02-03"
"cond-mat/9706074","Shmuel Gurvitz","S.A. Gurvitz","Measurements with a noninvasive detector and dephasing mechanism","The difference between continuous and rapidly repeated observations
  is elaborated. To appear in Phys. Rev. B","Phys. Rev. B 56 (1997) 15215.","10.1103/PhysRevB.56.15215","WIS-97/15/June-PH","cond-mat.mes-hall quant-ph",,"  We study dynamics of the measurement process in quantum dot systems, where a
particular state out of coherent superposition is observed. The ballistic
point-contact placed near one of the dots is taken as a noninvasive detector.
We demonstrate that the measurement process is fully described by the
Bloch-type equations applied to the whole system. These equations clearly
reproduce the collapse of the density-matrix into the statistical mixture in
the course of the measurement process. The corresponding dephasing width is
uniquely defined. We show that the continuous observation of one of the states
in a coherent superposition may accelerate decay from this state -- in
contradiction with rapidly repeated observations, which slow down the
transitions between quantum states (the quantum Zeno effect).
","[{""version"":""v1"",""created"":""Mon, 9 Jun 1997 10:13:16 GMT""},{""version"":""v2"",""created"":""Sun, 5 Oct 1997 14:34:34 GMT""}]","2009-10-30"
