"alg-geom/9701006","Yujiro Kawamata","Yujiro Kawamata","On the cone of divisors of Calabi-Yau fiber spaces","AMS-TeX, 21 pages",,,,"alg-geom math.AG",,"  We prove some version of Morrison's conjecture on the cone of divisors for
Calabi-Yau fiber spaces with non-trivial base pace whose total space is
3-dimensional.
","[{""version"":""v1"",""created"":""Mon, 13 Jan 1997 03:48:58 GMT""}]","2008-02-03"
"astro-ph/9701057","Robert Braun","Jayaram N. Chengalur (NFRA), Robert Braun (NFRA), W. Butler Burton
  (Sterrewacht Leiden)","DI in the outer Galaxy","4 page LaTeX requires l-aa.sty and psfig.sty, 1 ps figure. Accepted
  for publication in A&A Letters",,,,"astro-ph",,"  We report on a deep search with the Westerbork Synthesis Radio Telescope
towards the galactic anticenter for the 327 MHz hyperfine transition of DI.
This is a favorable direction for a search because: (i) the HI optical depth is
high due to velocity crowding; (ii) the observed molecular column density is
low (implying that most of the deuterium would probably be in atomic form,
rather than in HD); and (iii) the stellar reprocessing should be minimal.
  Our observations are about a factor of two more sensitive than previous
searches for DI in this direction. We detect a low significance (about 4 sigma)
feature, consistent in both amplitude and center frequency with an emission
feature reported previously (Blitz & Heiles 1987). If this is the DI line, then
the implied N_D/N_H of 3.9+/-1.0 x 10^-5 is comparable to the inferred
pre-solar deuterium abundance. Our observation is consistent with the recent
low measurements of D/H towards high-redshift Lyman-limit systems. On the other
hand, if the reports of high DI abundance (about 24 x 10^-5) in such systems
are confirmed, then our observations imply that even in regions of reduced star
formation within the outer Galaxy, the DI abundance has been reduced by a
factor of about 6 from the primordial abundance.
","[{""version"":""v1"",""created"":""Mon, 13 Jan 1997 09:00:53 GMT""}]","2007-05-23"
"astro-ph/9701058",,"Mario Vietri, Andrea Ferrara, Francesco Miniati","The survival of interstellar clouds against Kelvin-Helmholtz
  instabilities","13 pages, AASTEX LATEX, accepted for publication in The Astrophysical
  Journal",,"10.1086/304202",,"astro-ph",,"  We consider the stability of clouds surrounded by a hotter confining medium
with respect to which they are in motion, against Kelvin-Helmholtz
instabilities (KHI). In the presence of cooling, sound waves are damped by
dissipation. Whenever cooling times are shorter than sound crossing times, as
they are in the normal interstellar medium, this implies that the instability
generated at the interface of the two media cannot propagate far from the
interface itself. To study how this influences the overall stability, first we
derive an analytic dispersion relation for cooling media, separated by a shear
layer. The inclusion of dissipation does not heal the instability, but it is
shown that only a small volume around the interface is affected, the
perturbation decaying exponentially with distance from the surface; this is
confirmed by numerical simulations. Numerical simulations of spherical clouds
moving in a surrounding intercloud medium by which they are pressure confined
show that these clouds develop a core/halo structure, with a turbulent halo,
and a core in laminar flow nearly unscathed by the KHI. The related and
previously reported ``champagne effect'', whereby clouds seem to explode from
their top sides, is cured by the inclusion of radiative losses.
","[{""version"":""v1"",""created"":""Mon, 13 Jan 1997 09:23:38 GMT""}]","2009-10-30"
"astro-ph/9701059","Basilio Ruiz Cobo","L.R. Bellot Rubio, B. Ruiz Cobo, M. Collados (Instituto de Astrofisica
  de Canarias, La Laguna (Tenerife), Spain)","Fluxtube model atmospheres and Stokes V zero-crossing wavelengths","To appear in ApJ Letters (1997) (in press)",,"10.1086/310543",,"astro-ph",,"  First results of the inversion of Stokes I and V profiles from plage regions
near disk center are presented. Both low and high spatial resolution spectra of
FeI 6301.5 and FeI 6302.5 A obtained with the Advanced Stokes Polarimeter (ASP)
have been considered for analysis. The thin flux tube approximation,
implemented in an LTE inversion code based on response functions, is used to
describe unresolved magnetic elements. The code allows the simultaneous and
consistent inference of all atmospheric quantities determining the radiative
transfer with the sole assumption of hydrostatic equilibrium. By considering
velocity gradients within the tubes we are able to match the full ASP Stokes
profiles. The magnetic atmospheres derived from the inversion are characterized
by the absence of significant motions in high layers and strong velocity
gradients in deeper layers. These are essential to reproduce the asymmetries of
the observed profiles. Our scenario predicts a shift of the Stokes V
zero-crossing wavelengths which is indeed present in observations made with the
Fourier Transform Spectrometer.
","[{""version"":""v1"",""created"":""Mon, 13 Jan 1997 12:18:35 GMT""}]","2009-10-30"
"astro-ph/9701062","Eduardo Telles","Eduardo Telles (Sao Paulo), Jorge Melnick (ESO) and Roberto Terlevich
  (RGO)","The Morphology of HII Galaxies","11 latex pages, including 5 postscript figures within the text (106
  Kb). MNRAS accepted. Image figures not included in the text can be sent to
  you upon request or found in http://www.iagusp.usp.br/~etelles/papers/images/",,"10.1093/mnras/288.1.78",,"astro-ph",,"  We present CCD images of a sample of 39 HII galaxies taken at the Danish
1.54m telescope on La Silla. The images are used to analyse the morphology of
these emission line dwarfs, and the structural properties of the knots of star
formation and of the underlying galaxy. The sizes of the starbursts are
measured. We propose a morphological classification based on the presence or
absence of signs of tails, extensions, or distorted outer isophotes. This
criterion segregates the objects into two broad morphological types with
different physical properties: the more disturbed and extended (type I) HII
galaxies having larger luminosities and velocity dispersions than the more
compact and regular (type II) objects. The relative position of HII galaxies
and of a sample of dwarf elliptical galaxies in the [R -- sigma] diagram
support the hypothesis of a possible evolutionary link between the two types of
galaxy.
","[{""version"":""v1"",""created"":""Mon, 13 Jan 1997 15:55:39 GMT""}]","2015-06-24"
"chao-dyn/9701010",,"H. Rehfeld and H. Alt, C. Dembowski, H.-D. Graef, R. Hofferbert, A.
  Richter (Institut fuer Kernphysik, TH Darmstadt,Germany), H. Lengeler
  (AT-Division, CERN, Geneva, Switzerland)","Wave Dynamical Chaos in Superconducting Microwave Cavities","8 pages (Latex) including 3 postscript figures; Proceeding of the 3rd
  International Summer School/Conference ""Let's Face Chaos through Nonlinear
  Dynamics"" (24.6.-5.7.1996, Maribor, Slowenija), to be published in Open
  Systems and Information Dynamics; rehfeld@linac.ikp.physik.th-darmstadt.de",,,"IKDA 96/40","chao-dyn nlin.CD",,"  During the last few years we have studied the chaotic behavior of special
Euclidian geometries, so-called billiards, from the quantum or in more general
sense ""wave dynamical"" point of view. Due to the equivalence between the
stationary Schroedinger equation and the classical Helmholtz equation in the
two-dimensional case (plain billiards), it is possible to simulate ""quantum
chaos"" with the help of macroscopic, superconducting microwave cavities. Using
this technique we investigated spectra of three billiards from the family of
Pascal's Snails (Robnik-Billiards) with a different chaoticity in each case in
order to test predictions of standard stochastical models for classical chaotic
systems.
","[{""version"":""v1"",""created"":""Mon, 13 Jan 1997 12:23:41 GMT""}]","2008-02-03"
"dg-ga/9701004","Ulrich Bunke","U. Bunke, H. Koch","The eta-form and a generalized Maslov index","24 pages, Latex",,,,"dg-ga math.DG",,"  We consider families of Dirac operators on the unit interval which depend on
parameters via boundary conditions. We study the associated eta forms and
Maslov cocyles. With this simple example we show how previous results of
Lesch/Woiciechowski and the first author on the eta invariant of cylinders
generalize to the family case.
","[{""version"":""v1"",""created"":""Mon, 13 Jan 1997 14:57:46 GMT""}]","2008-02-03"
"gr-qc/9701024","Vitorio Alberto De Lorenci","Vitorio A. De Lorenci, Jerome Martin, Nelson Pinto-Neto and Ivano
  Damiao Soares","Topology Change in Canonical Quantum Cosmology","23 pages, LaTex file. We added in the conclusion some comments about
  path integral formalism and corrected litle misprintings","Phys.Rev. D56 (1997) 3329-3340","10.1103/PhysRevD.56.3329","Notas de Fisica CBPF-NF 002/97","gr-qc",,"  We develop the canonical quantization of a midisuperspace model which
contains, as a subspace, a minisuperspace constituted of a
Friedman-Lema\^{\i}tre-Robertson-Walker Universe filled with homogeneous scalar
and dust fields, where the sign of the intrinsic curvature of the spacelike
hypersurfaces of homogeneity is not specified, allowing the study of topology
change in these hypersurfaces. We solve the Wheeler-DeWitt equation of the
midisuperspace model restricted to this minisuperspace subspace in the
semi-classical approximation. Adopting the conditional probability
interpretation, we find that some of the solutions present change of topology
of the homogeneous hypersurfaces. However, this result depends crucially on the
interpretation we adopt: using the usual probabilistic interpretation, we find
selection rules which forbid some of these topology changes.
","[{""version"":""v1"",""created"":""Sun, 12 Jan 1997 19:14:00 GMT""},{""version"":""v2"",""created"":""Mon, 5 May 1997 20:51:44 GMT""}]","2009-10-30"
"gr-qc/9701025","Claude Barrabes","C. Barrabes, G.F. Bressange and P.A. Hogan","Some Physical Consequences of Abrupt Changes in the Multipole Moments of
  a Gravitating Body","26 pages, tex, no figures, to appear in Phys.Rev.D","Phys.Rev.D55:3477-3484,1997","10.1103/PhysRevD.55.3477",,"gr-qc",,"  The Barrab\`es-Israel theory of light-like shells in General Relativity is
used to show explicitly that in general a light-like shell is accompanied by an
impulsive gravitational wave. The gravitational wave is identified by its
Petrov Type N contribution to a Dirac delta-function term in the Weyl conformal
curvature tensor (with the delta-function singular on the null hypersurface
history of the wave and shell). An example is described in which an
asymptotically flat static vacuum Weyl space-time experiences a sudden change
across a null hypersurface in the multipole moments of its isolated axially
symmetric source. A light-like shell and an impulsive gravitational wave are
identified, both having the null hypersurface as history. The stress-energy in
the shell is dominated (at large distance from the source) by the jump in the
monopole moment (the mass) of the source with the jump in the quadrupole moment
mainly responsible for the stress being anisotropic. The gravitational wave
owes its existence principally to the jump in the quadrupole moment of the
source confirming what would be expected.
","[{""version"":""v1"",""created"":""Mon, 13 Jan 1997 15:11:21 GMT""}]","2011-09-09"
"gr-qc/9701026","Claude Barrabes","C. Barrabes and G.F. Bressange","Singular Hypersurfaces in Scalar-Tensor Theories of Gravity","38 pages, latex, no figures, to appear in Classical and Quantum
  Gravity","Class.Quant.Grav.14:805-824,1997","10.1088/0264-9381/14/3/021",,"gr-qc",,"  We study singular hypersurfaces in tensor multi-scalar theories of gravity.
We derive in a distributional and then in an intrinsic way, the general
equations of junction valid for all types of hypersurfaces, in particular for
lightlike shells and write the general equations of evolution for these
objects. We apply this formalism to various examples in static spherically
symmetric spacetimes, and to the study of planar domain walls and plane
impulsive waves.
","[{""version"":""v1"",""created"":""Mon, 13 Jan 1997 15:20:32 GMT""}]","2011-05-12"
"hep-ex/9701007","Lucio L.","L.Ludovici, P.Zucchelli (CERN)","Conceptual Study of an ``Anti-Tagged'' Experiment Searching for
  muon-neutrino --> electron-neutrino Oscillation","16 pages, LaTex, 7 figures and 2 tables",,,"CERN-PPE/96-181","hep-ex",,"  We study the conceptual feasibility of a high energy, ``short baseline'',
zero background experiment to search for muon-neutrino --> electron-neutrino
oscillations and fully covering the area where the LSND experiment claims
evidence. The natural electron-neutrino background of the muon-neutrino beam,
from K and mu decays in the decay tunnel, is suppressed by a hadron blind
detector that vetoes, by time coincidence, a possible electron-neutrino signal
in the neutrino detector (anti-tagging technique). We discuss this new idea and
we study a possible implementation in the old neutrino line of the PS
accelerator, which at CERN offers the ideal $L/E$ ratio. In the anti-tagged
muon-neutrino beam, the electron-neutrino contamination can be reduced by more
than two orders of magnitude over conventional beams, down to 5*10^{-5}. In an
ideal appearance experiment using a 300 t detector one would expect after two
years 112 events according to the LSND result, with a background of 1.1-2.4
events. In case of a negative search, the 90% C.L. upper limit in the mixing
angle would be sin^2 < 1.8*10^{-4}$ for large Delta(m^2) and Delta(m^2)
<3.3*10^{-2} eV^2 for maximal mixing.
","[{""version"":""v1"",""created"":""Mon, 13 Jan 1997 11:21:03 GMT""}]","2007-05-23"
