"alg-geom/9701011","Viacheslav V. Nikulin","Viacheslav V. Nikulin","K3 surfaces with interesting groups of automorphisms","AMS-Tex, 23 pages, no figures. Significantly extended variant
  prepared for publication",,,,"alg-geom hep-th math.AG math.QA q-alg",,"  By the fundamental result of I.I. Piatetsky-Shapiro and I.R. Shafarevich
(1971), the automorphism group Aut(X) of a K3 surface X over C and its action
on the Picard lattice S_X are prescribed by the Picard lattice S_X. We use this
result and our method (1980) to show finiteness of the set of Picard lattices
S_X of rank $\ge 3$ such that the automorphism group Aut(X) of the K3 surface X
has a non-trivial invariant sublattice S_0 in S_X where the group Aut(X) acts
as a finite group. For hyperbolic and parabolic lattices S_0 it has been proved
by the author before (1980, 1995). Thus we extend this results to negative
sublattices S_0.
  We give several examples of Picard lattices S_X with parabolic and negative
S_0. We also formulate the corresponding finiteness result for reflective
hyperbolic lattices of hyperbolic type over purely real algebraic number
fields.
  These results are important for the theory of Lorentzian Kac--Moody algebras
and Mirror Symmetry.
","[{""version"":""v1"",""created"":""Fri, 24 Jan 1997 15:37:15 GMT""},{""version"":""v2"",""created"":""Fri, 21 Feb 1997 05:58:30 GMT""}]","2008-02-03"
"astro-ph/9701182","F. H. Briggs","F.H. Briggs, E. Sorar, R.C. Kraan-Korteweg, W. van Driel","Driftscan Surveys in the 21cm Line with the Arecibo and Nancay
  Telescopes","7 pages; Latex; 1 encapsulated postscript figure; 4 jpeg images; 1
  gif image. Presented at the workshop `HI in the Local Universe', Sydney, May
  13-15 1996. Accepted for publication by Publications of the Astronomical
  Society of Australia. Complete manuscript with encapsulated figures is
  available at
  http://www.atnf.csiro.au/Publications/HI_workshop/proceedings.html",,"10.1071/AS97037",,"astro-ph",,"  Driftscan methods are highly efficient, stable techniques for conducting
extragalactic surveys in the 21cm line of neutral hydrogen. Holding the
telescope still while the beam scans the sky at the sidereal rate produces
exceptionally stable spectral baselines, increased stability for RFI signals,
and excellent diagnostic information about system performance. Data can be
processed naturally and efficiently by grouping long sequences of spectra into
an image format, thereby allowing thousands of individual spectra to be
calibrated, inspected and manipulated as a single data structure with standard
tools that already exist in astronomical software. The behavior of spectral
standing waves (multi-path effects) can be appraised and excised in this
environment, making observations possible while the Sun is up. The method is
illustrated with survey data from Arecibo and Nancay.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 16:50:31 GMT""}]","2015-06-24"
"astro-ph/9701184","Rauzy","S. Rauzy (ANPE and CPT, Marseille, France)","Calibration of the Tully-Fisher relation in the field","20 pages, 24 figures. To appear in A&A Supplement Series",,,,"astro-ph",,"  A new technique for calibrating Tully-Fisher like relations by using field
galaxies is proposed. Based on a null-correlation approach (NCA), the technique
is insensitive to the presence of selection effects on apparent magnitude $m$
and on log line-width distance indicator $p$. This interesting property is used
for discarding near by galaxies of the observed sample. It is shown that such a
subsampling allows in effect to attenuate biases on calibration parameters
created by the presence of radial peculiar velocities.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 16:24:43 GMT""}]","2007-05-23"
"astro-ph/9701185","Kim K. McLeod","K. K. McLeod (Smithsonian Astrophysical Observatory)","Near-IR Properties of Quasar Host Galaxies","6 pages, 3 eps figures, Latex+lamuphys.sty, to be published in
  proceedings of ESO/IAC `Quasar Hosts' conference 24-27 September 1996",,,,"astro-ph",,"  We have obtained deep, near-IR images of nearly 100 host galaxies of nearby
quasars and Seyferts. We find the near-IR light to be a good tracer of luminous
mass in these galaxies. For the most luminous quasars there is a correlation
between the maximum allowed B-band nuclear luminosity and the host galaxy mass,
a ``luminosity/host-mass limit''. Comparing our images with images from HST, we
find that the hosts of these very luminous quasars are likely early type
galaxies, even for radio-quiet objects whose lower-luminosity counterparts
traditionally live in spirals. We speculate that the luminosity/host-mass limit
represents a physical limit on the size of black hole that can exist in a given
galaxy spheroid mass. We discuss the promises of NICMOS for detecting the hosts
of luminous quasars.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 16:19:41 GMT""}]","2007-05-23"
"astro-ph/9701186",,"Ricardo P. Schiavon, B. Barbuy, Patan D. Singh (Instituto
  Astrononomico Geofisico, Sao Paulo, Brazil)","The FeH Wing-Ford Band in Spectra of M Stars","23 pages + 11 figures in postscript format + 3 ps figures (Nos. 2, 6
  and 7) available under request to ripisc@andromeda.iagusp.usp.br. Accepted
  for publication in The Astrophysical Journal",,"10.1086/304332",,"astro-ph",,"  We study the FeH Wing-Ford band at 9850 - 10200 Angstrons by means of the fit
of synthetic spectra to the observations of M stars, employing recent model
atmospheres. On the basis of the spectrum synthesis, we analyze the dependence
of the band upon atmospheric parameters. FeH lines are a very sensitive surface
gravity indicator, being stronger in dwarfs. They are also sensitive to
metallicity (Allard & Hauschildt 1995). The blending with CN lines, which are
stronger in giants, does not affect the response of the Wing-Ford band to
surface gravity at low resolution (or high velocity dispersions) because CN
lines, which are spread all along the spectrum, are smeared out at convolutions
of FWHM $\simgreat$ 3 Angstrons. We conclude that the Wing-Ford band is a
suitable dwarf/giant indicator for the study of composite stellar populations.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 19:02:36 GMT""}]","2009-10-30"
"astro-ph/9701188","Alex Kim","The Supernova Cosmology Project: A. G. Kim, S. Gabi, G. Goldhaber, D.
  E. Groom, I. M. Hook, M. Y. Kim, J. C. Lee, C. R. Pennypacker, S. Perlmutter,
  I. A. Small, A. Goobar, R. Pain, R. S. Ellis, R. G. McMahon, B. J. Boyle, P.
  S. Bunclark, D. Carter, M. J. Irwin, K. Glazebrook, H. J. M. Newberg, A. V.
  Filippenko, T. Matheson, M. Dopita, and W. J. Couch","Implications For The Hubble Constant from the First Seven Supernovae at
  z >= 0.35","13 pages, 2 Postscript figures. Preprint also available at
  http://www-supernova.lbl.gov . To appear in ApJ Letters","Astrophys.J.476:L63,1997","10.1086/310507",,"astro-ph",,"  The Supernova Cosmology Project has discovered over twenty-eight supernovae
(SNe) at 0.35 <z < 0.65 in an ongoing program that uses Type Ia SNe as
high-redshift distance indicators. Here we present measurements of the ratio
between the locally observed and global Hubble constants, H_0^L/H_0^G, based on
the first 7 SNe of this high-redshift data set compared with 18 SNe at z <= 0.1
from the Calan/Tololo survey. If Omega_M <= 1, then light-curve-width corrected
SN magnitudes yield H_0^L/H_0^G < 1.10 (95% confidence level) in both a
Lambda=0 and a flat universe. The analysis using the SNe Ia as standard candles
without a light-curve-width correction yields similar results. These results
rule out the hypothesis that the discrepant ages of the Universe derived from
globular clusters and recent measurements of the Hubble constant are
attributable to a locally underdense bubble. Using the
Cepheid-distance-calibrated absolute magnitudes for SNe Ia of Sandage (1996},
we can also measure the global Hubble constant, H_0^G. If Omega_M >= 0.2, we
find that H_0^G < 70 km/s/Mpc in a Lambda=0 universe and H_0^G < 78 km/s/Mpc in
a flat universe, correcting the distant and local SN apparent magnitudes for
light curve width. Lower results for H_0^G are obtained if the magnitudes are
not width corrected.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 22:52:42 GMT""}]","2012-08-27"
"astro-ph/9701189","Shin Mineshige","Shin Mineshige, Masayuki Umemura","Self-Similar Collapse of a Self-Gravitating Viscous Disk","6 pages without figures. The paper has 3 figures (if you need
  figures, please send email to minesige@kusastro.kyoto-u.ac.jp). To appear in
  ApJ, 1997 May 1 issue",,"10.1086/303964",,"astro-ph",,"  A self-similar solution for time evolution of isothermal, self-gravitating
viscous disks is found under the condition that $\alpha' \equiv \alpha (H/r)$
is constant in space (where $\alpha$ is the viscosity parameter and $H/r$ is
the ratio of a half-thickness to radius of the disk). This solution describes a
homologous collapse of a disk via self-gravity and viscosity. The disk
structure and evolution is distinct in the inner and outer parts. There is a
constant mass inflow in the outer portions so that the disk has flat rotation
velocity, constant accretion velocity, and surface density decreasing outward
as $\Sigma \propto r^{-1}$. In the inner portions, in contrast, mass is
accumulated near the center owing to the boundary condition of no radial
velocity at the origin, thereby a strong central concentration being produced;
surface density varies as $\Sigma \propto r^{-5/3}$. Moreover, the transition
radius separating the inner and outer portions increases linearly with time.
The consequence of such a high condensation is briefly discussed in the context
of formation of a quasar black hole.
","[{""version"":""v1"",""created"":""Fri, 24 Jan 1997 05:30:01 GMT""}]","2009-10-30"
"astro-ph/9701190","Rob Fender","R.P. Fender (University of Sussex, UK), R.E. Spencer, S.J. Newell,
  A.K. Tzioumis","High-resolution radio observations of GX 339-4","4 pages, LaTeX, 4 figures (included). Accepted for publication in
  MNRAS",,,,"astro-ph",,"  We present radio observations of the black hole candidate X-ray binary GX
339-4 with the Australia Telescope compact array. Mapping of the highest
resolution 3.5 cm data reveals a jet-like extension, which if confirmed would
be the first detection of a radio jet from a persistent black-hole candidate
system. No evidence is found for associated structures such as bow shocks or
jet lobes on larger scales. The spectral energy distribution from 22 - 3 cm is
relatively flat, suggesting emission is dominated by a compact absorbed core.
","[{""version"":""v1"",""created"":""Fri, 24 Jan 1997 10:38:02 GMT""}]","2007-05-23"
"astro-ph/9701191","Krzysztof M. Gorski","K. M. Gorski (TAC, Copenhagen, DK)","Cosmic Microwave Background Anisotropy in the COBE DMR 4-yr Sky Maps","8 pages, LaTeX, uses 'cmb.sty', and 'psfig.tex' (included), 3
  PostScript figures, and one .gif file of the color plate. To appear in the
  Proceedings of the XXXIst Recontres de Moriond, 'Microwave Background
  Anisotropies'",,,,"astro-ph",,"  The COBE satellite has provided the only comprehensive multi-frequency
full-sky observations of the microwave sky available today. Assessment of the
observations requires a detailed likelihood analysis to extract the maximum
amount of information present in the noisy data. I present a specific method
for estimating the CMB anisotropy power spectrum independent of any assumptions
about the underlying cosmology, and then use standard image processing
techniques to generate the most revealing corresponding maps of the signal. The
consistency of the data at the available frequencies provides strong support to
the assertion that we are being provided with our first glimpse of the last
scattering surface.
","[{""version"":""v1"",""created"":""Fri, 24 Jan 1997 13:26:28 GMT""}]","2007-05-23"
"astro-ph/9701192","Marek Kukula","Marek J. Kukula, James S. Dunlop, David H. Hughes, Geoff Taylor and
  Todd Boroson","Infrared imaging and off-nuclear spectroscopy of quasar hosts","8 pages, latex, 2 figures, presented at the ESO/IAC conference on
  `Quasar Hosts', Tenerife, 24-27 September 1996",,,,"astro-ph",,"  We present the results of two complementary ground-based programmes to
determine the host galaxy properties of radio-quiet and radio-loud quasars and
to compare them with those of radio galaxies. Both infrared images and optical
off-nuclear spectra were obtained and we discuss the various strategies used to
separate the quasar-related emission from that of the underlying galaxy.
However, the key feature of this project is the use of carefully matched
samples, which ensure that the data for different types of object are directly
comparable.
","[{""version"":""v1"",""created"":""Fri, 24 Jan 1997 15:51:06 GMT""}]","2007-05-23"
"chao-dyn/9701023","Emilio Hernandez-Garcia","R. Montagne, E. Hernandez-Garcia, A. Amengual, and M. San Miguel","Wound-up phase turbulence in the Complex Ginzburg-Landau equation","22 pages, 15 figures included. Uses subfigure.sty (included) and
  epsf.tex (not included). Related research in
  http://www.imedea.uib.es/Nonlinear","Physical Review E 56, 151-167 (1997)","10.1103/PhysRevE.56.151","UIB96-12-110","chao-dyn nlin.CD",,"  We consider phase turbulent regimes with nonzero winding number in the
one-dimensional Complex Ginzburg-Landau equation. We find that phase turbulent
states with winding number larger than a critical one are only transients and
decay to states within a range of allowed winding numbers. The analogy with the
Eckhaus instability for non-turbulent waves is stressed. The transition from
phase to defect turbulence is interpreted as an ergodicity breaking transition
which occurs when the range of allowed winding numbers vanishes. We explain the
states reached at long times in terms of three basic states, namely
quasiperiodic states, frozen turbulence states, and riding turbulence states.
Justification and some insight into them is obtained from an analysis of a
phase equation for nonzero winding number: rigidly moving solutions of this
equation, which correspond to quasiperiodic and frozen turbulence states, are
understood in terms of periodic and chaotic solutions of an associated system
of ordinary differential equations. A short report of some of our results has
been published in [Montagne et al., Phys. Rev. Lett. 77, 267 (1996)].
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 17:53:54 GMT""}]","2009-10-30"
