"alg-geom/9708023","Wolfram Decker","Hirotachi Abo, Wolfram Decker, Nobuo Sasakura","An elliptic conic bundle in P^4 arising from a stable rank-3 vector
  bundle","13 pages, AmS-TeX v. 2.1",,,,"alg-geom math.AG",,"  In this note we show the existence of a family of elliptic conic bundles in
P^4 of degree 8. This family has been overlooked and in fact falsely ruled out
in a series of classification papers. Our surfaces provide a counterexample to
a conjecture of Ellingsrud and Peskine. According to this conjecture there
should be no irregular m-ruled surface in P^4 for m at least 2.
","[{""version"":""v1"",""created"":""Thu, 28 Aug 1997 07:51:03 GMT""}]","2009-09-25"
"alg-geom/9708024","Yuri I. Manin","Maxim Kontsevich, Yuri I. Manin","Relations between the correlators of the topological sigma-model coupled
  to gravity","AMS-Tex, 13 pages, no figures","Commun.Math.Phys. 196 (1998) 385-398","10.1007/s002200050426",,"alg-geom hep-th math.AG",,"  We prove a new recursive relation between the correlators $<
\tau_{d_1}\gamma_1...\tau_{d_n}\gamma_n >_{g,\beta}$, which together with known
relations allows one to express all of them through the full system of
Gromov-Witten invariants in the sense of Kontsevich-Manin and the intersection
indices of tautological classes on $\bar{M}_{g,n}$, effectively calculable in
view of earlier results due to Mumford, Kontsevich, Getzler, and Faber. This
relation shows that a linear change of coordinates of the big phase space
transforms the potential with gravitational descendants to another function
defined completely in terms of the Gromov-Witten correspondence and the
intersection theory on $V^n\times\bar{M}_{g,n}$. We then extend the formalism
of gravitational descendants from quantum cohomology to more general Frobenius
manifolds and Cohomological Field Theories.
","[{""version"":""v1"",""created"":""Thu, 28 Aug 1997 13:06:05 GMT""}]","2009-10-30"
"astro-ph/9708250","Weihsueh A. Chiu","Weihsueh A. Chiu, Jeremiah P. Ostriker, and Michael A. Strauss
  (Princeton)","Using Cluster Abundances and Peculiar Velocities to Test the Gaussianity
  of the Cosmological Density Field","34 pg incl. 8 embedded figures, LaTeX, aaspp4.sty, submitted to ApJ","Astrophys.J. 494 (1998) 479-490","10.1086/305246",,"astro-ph",,"  (Abridged) By comparing the frequency of typical events with that of unusual
events, one can test whether the cosmological density distribution function is
consistent with the normally made assumption of Gaussianity. To this end, we
compare the consistency of the tail-inferred (from clusters) and measured
values (from large-scale flows) of the rms level of mass fluctuations for two
distribution functions: a Gaussian, and a texture (positively-skewed) PDF.
Averaging the recent large-scale flow measurements, we find that observations
of the rms and the tail at the 10 h^-1 Mpc scale disfavor a texture PDF at ~1.5
sigma in all cases. However, taking only the most recent measurement of the
rms, that from Willick et al. (1997b), the comparison disfavors textures for
low Omega_0=0.3, and disfavors Gaussian models if Omega_0=1 (again at ~1.5
sigma). Predictions for evolution of high temperature clusters can also be made
for the models considered, and strongly disfavor Omega_0=1 in Gaussian models
and marginally disfavor Omega_0=1 in texture models. Only Omega_0=0.3 Gaussian
models are consistent with all the data considered.
","[{""version"":""v1"",""created"":""Wed, 27 Aug 1997 16:10:37 GMT""}]","2009-10-30"
"astro-ph/9708251","Merav Opher","Merav Opher and Reuven Opher","The Magnetic Field Spectrum in a Plasma in Thermal Equilibrium in the
  Epoch of Primordial Nucleosynthesis","25 pages, RevTeX, 4 ps figure. To be published in Phys.Rev.D","Phys.Rev. D56 (1997) 3296-3306","10.1103/PhysRevD.56.3296",,"astro-ph physics.flu-dyn physics.plasm-ph",,"  The low frequency magnetic field spectrum in the primordial plasma is of
particular interest as a possible origin of magnetic fields in the universe
(e.g., Tajima et al. 1992 and Cable and Tajima 1992). We derive the magnetic
field spectrum in the primordial plasma, in particular, at the epoch of
primordial nucleosynthesis. The pioneering study of Cable and Tajima (1992) of
the electromagnetic fluctuations, based on the Fluctuation-Dissipation Theorem,
is extended. Our model describes both the thermal and collisional effects in a
plasma. It is based on a kinetic description with the BGK collision term. It is
shown that the zero-frequency peak found by Cable and Tajima (1992) decreases.
At high frequencies, the blackbody spectrum is obtained naturally without the
necessity of the link procedure used by them. At low frequencies ($\omega \leq
4\omega_{pe}$, where $\omega_{pe}$ is the electron plasma frequency) it is
shown that the magnetic field spectrum has more energy than the blackbody
spectrum in vacuum.
","[{""version"":""v1"",""created"":""Wed, 27 Aug 1997 16:24:13 GMT""}]","2009-10-30"
"astro-ph/9708252","Edward A. Ajhar","Tod R. Lauer, John L. Tonry, Marc Postman, Edward A. Ajhar and Jon A.
  Holtzman","The Far Field Hubble Constant","18 pages; figure[1-2,7-9].ps are EPS files included in body of text,
  figure[3-6].jpg are JPEG images not included; LaTeX (AASTeX v4.0); Submitted
  to The Astrophysical Journal. Compressed PostScript of entire paper with all
  figures included is available at ftp://mars.tuc.noao.edu/sbf/hubble.ps.gz",,"10.1086/305671",,"astro-ph",,"  We used HST to obtain surface brightness fluctuation (SBF) observations of
four nearby brightest cluster galaxies (BCG) to calibrate the BCG Hubble
diagram of Lauer & Postman (1992). This BCG Hubble diagram contains 114
galaxies covering the full celestial sphere and is volume limited to 15,000
km/s, providing excellent sampling of the far field Hubble flow. The SBF zero
point is based on the Cepheid calibration of the ground I_KC method (Tonry et
al. 1997) as extended to the WFPC2 F814W filter by Ajhar et al. (1997). The BCG
globular cluster luminosity functions give distances essentially identical to
the SBF results. Using the velocities and SBF distances of the four BCG alone
gives H_0 = 82 +/- 8 km/s/Mpc in the CMB frame, valid on ~4,500 km/s scales.
Use of BCG as photometric redshift estimators allows the BCG Hubble diagram to
be calibrated independently of recession velocities, yielding a far field H_0 =
89 +/- 10 km/s/Mpc with an effective depth of ~11,000 km/s. The error in this
case is dominated by the photometric cosmic scatter in using BCG as distance
estimators. The concordance of the present results with other recent H_0
determinations, and a review of theoretical treatments on perturbations in the
near field Hubble flow, argue that going to the far field removes an important
source of uncertainty, but that there is not a large systematic error to be
corrected for to begin with. Further improvements in H_0 depend more on
understanding nearby calibrators than on improved sampling of the distant flow.
","[{""version"":""v1"",""created"":""Wed, 27 Aug 1997 17:17:53 GMT""}]","2009-10-30"
"astro-ph/9708253","Jordi Miralda-Escude","Jordi Miralda-Escude","Reionization of the Intergalactic Medium and the Damping Wing of the
  Gunn-Peterson Trough","submitted to ApJ","Astrophys.J.501:15-22,1998","10.1086/305799",,"astro-ph",,"  Observations of high-redshift quasars show that the IGM must have been
reionized at some redshift $z>5$. If a source of radiation could be observed at
the rest-frame Lya wavelength, at a sufficiently high redshift where some of
the IGM in the line-of-sight was not yet reionized, the Gunn-Peterson trough
should be present. Longward of the Lya wavelength, a damping wing should be
observed caused by the neutral IGM whose absorption profile can be predicted.
Measuring the shape of this damping wing would provide irrefutable evidence of
the observation of the IGM before reionization, and a determination of the
density of the neutral IGM. This measurement might be hindered by the possible
presence of a dense absorption system associated with the source.
  Shortward of the \lya wavelength, absorption should be seen from the patchy
structure of the IGM in the process of reionization. We show that a complete
Gunn-Peterson trough is most likely to continue to be observed through the
epoch where the IGM is partially ionized. The damping wings of the neutral
patches should overlap if the proper pathlength through an ionized region is
less than 1 h^{-1} Mpc; even in larger ionized regions, the characteristic
background intensity should be low enough to yield a very high optical depth
due to the residual neutral fraction, although occasionally some flux may be
transmitted through large, underdense voids within an ionized region. The case
of the HeII reionization is also discussed, and we argue that helium was
already doubly ionized by z=3 throughout the IGM.
  The recently discovered afterglows of gamma-ray bursts might soon be observed
at very high redshifts. Their featureless continuum spectrum and high
luminosities make them ideal sources for studying absorption by the IGM.
","[{""version"":""v1"",""created"":""Wed, 27 Aug 1997 17:23:14 GMT""}]","2009-09-28"
"astro-ph/9708254","Graca Rocha","S. Hancock (1), G. Rocha (1,3), A.N. Lasenby (1) and C.M. Gutierrez
  (2) ((1) Mullard Radio Astronomy Observatory, Cavendish Laboratory (MRAO),
  (2) Instituto de Astrofisica de Canarias (IAC), (3) Department of Physics,
  Kansas State University (KSU))","Constraints on cosmological parameters from recent measurements of CMB
  anisotropy","7 pages LaTeX, including 6 PostScript figures. Accepted for
  publication in MNRAS",,"10.1111/j.1365-8711.1998.01169.x",,"astro-ph",,"  A key prediction of cosmological theories for the origin and evolution of
structure in the Universe is the existence of a `Doppler peak' in the angular
power spectrum of cosmic microwave background (CMB) fluctuations. We present
new results from a study of recent CMB observations which provide the first
strong evidence for the existence of a `Doppler Peak' localised in both angular
scale and amplitude. This first estimate of the angular position of the peak is
used to place a new direct limit on the curvature of the Universe,
corresponding to a density of $\Omega=0.7^{+0.8}_{-0.5}$, consistent with a
flat Universe. Very low density `open' Universe models are inconsistent with
this limit unless there is a significant contribution from a cosmological
constant. For a flat standard Cold Dark Matter dominated Universe we use our
results in conjunction with Big Bang nucleosynthesis constraints to determine
the value of the Hubble constant as $\ho=30-70\kmspmpc$ for baryon fractions
$\Omega_b=0.05$ to 0.2. For $\ho=50\kmspmpc$ we find the primordial spectral
index of the fluctuations to be $n=1.1 \pm 0.1$, in close agreement with the
inflationary prediction of $n \simeq 1.0$
","[{""version"":""v1"",""created"":""Wed, 27 Aug 1997 17:25:55 GMT""}]","2020-11-25"
"astro-ph/9708255","Lev Titarchuk","Lev Titarchuk and Thomas Zannias","The Extended Power Law as Intrinsic Signature For a Black Hole","31 pages, 3 figures; Astrophysical Journal accepted",,"10.1086/305157",,"astro-ph",,"  We analyze the exact general relativistic exact integro-differential equation
of radiative transfer describing the interaction of low energy photons with a
Maxwellian distribution of hot electrons in gravitational field of a
Schwarzschild black hole. We prove that due to Comptonization an initial
arbitrary spectrum of low energy photons unavoidably results in spectra
characterized by an extended power-law feature. We examine the spectral index
by using both analytical and numerical methods for a variety of physical
parameters as such the plasma temperature and the mass accretion rate. The
presence of the event horizon as well as the behaviour of the null geodesics in
its vicinity largely determine the dependence of the spectral index on the flow
parameters. We come to the conclusion that the bulk motion of a converging flow
is more efficient in upscattering photons than thermal Comptonization provided
that the electron temperature in the flow is of order of a few keV or less. In
this case, the spectrum observed at infinity consists of a soft component
produced by those input photons that escape after a few scatterings without any
significant energy change and of hard component (described by a power law)
produced by the photons that underwent significant upscattering. The luminosity
of the power-law component is relatively small compared to that of the soft
component. For accretion into black hole the spectral energy index of the
power-law is always higher than one for plasma temperature of order of a few
keV. This result suggests that the bulk motion Comptonization might be
responsible for the power-law spectra seen in the black-hole X-ray sources.
","[{""version"":""v1"",""created"":""Wed, 27 Aug 1997 19:44:07 GMT""}]","2009-10-30"
"astro-ph/9708256","Lev Titarchuk","Lev Titarchuk and Alex Muslimov","Rotational splitting effect in neutron star QPOs","plain tex, 4 pages, published in Astron. Astrophys. 1997, the 1st of
  July issue, v. 323, L5-L8",,,,"astro-ph",,"  We explain the peak spacing in the power spectra of millisecond variability
detected by the Rossi X-ray Timing Explorer (RXTE) in the X-ray emission from
the LMXBs (Sco X-1, 4U1728-34, 4U1608-522, 4U1636-536, etc) in terms of the
rotational splitting of an intrinsic frequency (which is of order of the local
Keplerian frequency) caused by an accretion disk. We calculate this effect and
demonstrate that there is a striking agreement with the observational data. We
show that the observed discrete frequencies ranging from 200 to 1200 Hz can be
described by a whole set of overtones. For higher overtones (lower frequencies,
$\lsim $ 100 Hz) the ratio between frequencies is determined by the quantum
numbers alone. We suggest that a similar phenomena should be observed in Black
Hole (BH) systems for which the QPO (quasi-periodic oscillation) frequency
should be inversely proportional to the mass of the compact object. For BH
systems the characteristic frequency of oscillations should therefore be a
factor of 5-10 less than for a neutron star system. keywords
","[{""version"":""v1"",""created"":""Wed, 27 Aug 1997 21:01:05 GMT""}]","2007-05-23"
"astro-ph/9708257","Michael Meyer","Michael R. Meyer, S.V.W. Beckwith, T.M. Herbst, and M. Robberto","The Transitional PMS Object DI Tauri: Evidence for a Sub-stellar
  Companion and Rapid Disk Evolution","Astrophysical Journal Letters, in press: 13 pages, latex, 2 figures",,"10.1086/316780",,"astro-ph",,"  We report mid--IR observations of two young stars found in the Taurus dark
cloud spatially resolving for the first time their 10 $\mu$m emission. The
weak-emission T Tauri star DI Tau, tentatively identified by Skrutskie et al.
(1990) on the basis of 12 $\mu$m IRAS data as an object in the process of
dissipating its circumstellar disk, is found to have no infrared excess at a
wavelength of 10 $\mu$m. The nearby classical T Tauri star DH Tau exhibits
excess emission at 10 $\mu$m consistent with predictions based on circumstellar
disk models. While both objects appear to have the same stellar mass, age, and
rotation rate, they differ in two fundamental respects: DH Tau is a single star
with an active accretion disk and DI Tau is a binary system lacking such a
disk. The companion to DI Tau has a very low luminosity and is located at a
projected distance of $\sim 20$ A.U. from the primary. Assuming the system to
be co-eval, we derive a mass below the hydrogen burning limit for the
companion. We speculate that the formation of a sub-stellar mass companion has
led to the rapid evolution of the circumstellar disk that may have surrounded
DI Tau.
","[{""version"":""v1"",""created"":""Thu, 28 Aug 1997 08:03:51 GMT""}]","2009-10-30"
"astro-ph/9708258","Rafal Moderski","Marek Sikora (CAMK, Warsaw)","Radiation Processes in Blazars","LaTeX, 12 pages, no figures, macro aipproc.sty included, to appear in
  Proceedings of the 4th Compton Symposium",,"10.1063/1.54010",,"astro-ph",,"  We present an overview of the current theoretical models attempting to
describe the structure and radiative processes operating in blazars and discuss
the observational constraints that these models must confront.
","[{""version"":""v1"",""created"":""Thu, 28 Aug 1997 08:12:45 GMT""}]","2009-10-30"
