"alg-geom/9707018","James M. Turner","James M. Turner","On Simplicial Commutative Rings with Vanishing Andr\'e-Quillen Homology","14 pages, LaTeX2e",,,,"alg-geom math.AC math.AG q-alg",,"  We propose a generalization of a conjecture of D. Quillen, on the vanishing
of Andr\'e-Quillen homology, to simplicial commutative rings. This conjecture
characterizes a notion of local complete intersection, extended to the
simplicial setting, under a suitable hypothesis on the local characteristic.
Further, under the condition of finite-type homology, we then prove the
conjecture in the case of a simplicial commutative algebra augmented over a
field of non-zero characteristic. As a consequence, we obtain a proof of
Quillen's conjecture for a Noetherian commutative algebra - again augmented
over a field of non-zero characteristic.
","[{""version"":""v1"",""created"":""Thu, 31 Jul 1997 17:38:39 GMT""},{""version"":""v2"",""created"":""Mon, 11 Aug 1997 17:46:38 GMT""}]","2008-02-03"
"astro-ph/9707346","Liliya L. R. Williams","Prasenjit Saha (Physics, Oxford, UK), Liliya L. R. Williams (IoA,
  Cambridge, UK)","Non-parametric reconstruction of the galaxy-lens in PG1115+080","16 pages, To appear in MNRAS",,"10.1093/mnras/292.1.148",,"astro-ph",,"  We describe a new, non-parametric, method for reconstructing lensing mass
distributions in multiple-image systems, and apply it to PG1115, for which time
delays have recently been measured. It turns out that the image positions and
the ratio of time delays between different pairs of images constrain the mass
distribution in a linear fashion. Since observational errors on image positions
and time delay ratios are constantly improving, we use these data as a rigid
constraint in our modelling. In addition, we require the projected mass
distributions to be inversion-symmetric and to have inward-pointing density
gradients. With these realistic yet non-restrictive conditions it is very easy
to produce mass distributions that fit the data precisely. We then present
models, for $H_0=42$, 63 and 84 \kmsmpc, that in each case minimize
mass-to-light variations while strictly obeying the lensing constraints. (Only
a very rough light distribution is available at present.) All three values of
$H_0$ are consistent with the lensing data, but require quite different
morphologies for the lensing galaxy. If $H_0$ is low, the main lensing galaxy
could be an early type. If $H_0$ is high, the galaxy is reconstructed as a late
elliptical or nearly edge-on disc; a binary or merging system is also
plausible.
","[{""version"":""v1"",""created"":""Thu, 31 Jul 1997 16:35:32 GMT""}]","2015-06-24"
"astro-ph/9707349","Eric Linder","Eric V. Linder (UMass - Amherst)","Transition from Clumpy to Smooth Angular Diameter Distances","10 pages, 3 figures, AAS LaTeX (aaspp4.sty), accepted by ApJ. Revised
  version contains additional text and figure on observational consequences for
  cosmological tests",,"10.1086/305468",,"astro-ph",,"  Distance relations in a locally inhomogeneous universe are expected to behave
like the Dyer-Roeder solution on small angular scales and the
Friedmann-Robertson-Walker solution on large angular scales. Within a simple
compact clump model the transition between these asymptotic behaviors is
demonstrated and quantified. The redshift dependent transition scale is of
order a few arcseconds; this implies it should have little influence on large
angular scale cosmological tests such as the volume-redshift relation but
possibly significant effects on arcsecond angular diameter measurements of
radio galaxies and AGNs. For example, at $z=2$ on arcsecond scales a clumpy
flat universe mimics the angular diameter distance of a smooth $\Omega=0.27$
model.
","[{""version"":""v1"",""created"":""Thu, 31 Jul 1997 17:08:14 GMT""},{""version"":""v2"",""created"":""Wed, 29 Oct 1997 18:26:17 GMT""}]","2009-10-30"
"astro-ph/9707350","Antonio Parravano","Antonio Parravano and Catherine Pech","Diffuse Gas Condensation Induced by Variations of the Ionizing Flux","14 pages, 11 Postscript figures, Latex, l-aa.sty, accepted by
  Astronomy & Astrophysics, e-mail:parravan@ciens.ula.ve",,,,"astro-ph",,"  The variation of an ionizing flux as a mechanism to stimulate the
condensation of a diffuse gas is considered. To illustrate this effect, two
situations are examined: one on the context of pregalactic conditions, and the
other on the context of the actual interstellar medium. We focus our attention
on flash-like variations; that is, during a ``short'' period of time the
ionizing flux is enhanced in comparison to the pre- and post-flash values. In
both cases the cause of the induced phase change is the same: the enhancement
of the cooling rate by the increase in the electron density caused by the
momentary increase of ionizing flux. After the passing of the flash, the
cooling rate remains enhanced due to the ``inertia of the ionization''. In the
first case (metal free gas) the cooling rate is enhanced due to the fact that
the increase of the electron density makes possible the gas phase formation of
H_2 by the creation of the intermediaries H^- and H^+_2. We show that after the
passing of the photo-ionizing flash a cloud near thermo-chemical equilibrium at
~8000 K may be induced to increase its H_2 content by many orders of magnitude,
causing a rapid decrease of its temperature to values as low as 100 K. In the
second case (solar abundances gas) the dominant cooling mechanism of the warm
neutral gas (the excitation of heavy ions by electron impacts) is proportional
to the electron density. We show that, for the expected states of the warm
interstellar gas, ionizing flashes may induce the phase transition from the
warm to the cool phase. The results indicate that the mechanism of induced
condensation studied here might play a relevant role in the gas evolution of
the diffuse gas in both, the pregalactic and the actual interstellar medium
conditions.
","[{""version"":""v1"",""created"":""Thu, 31 Jul 1997 19:51:10 GMT""}]","2007-05-23"
"astro-ph/9707351",,"Norman K. Glendenning (Lawrence Berkeley National Laboratory,
  California)","Strangeness in Compact Stars and Signal of Deconfinement","17 pages, 15 figures, Latex. (Invited Talk at the International
  Symposium on ``Strangeness In Quark Matter 1997'', Thera (Santorini), Hellas,
  April 14-18, 1997, To be published in Journal of Physics G (Organizers: A
  Panagiotou and J. Madsen)","J.Phys.G23:2013-2027,1997","10.1088/0954-3899/23/12/026","LBL-40606","astro-ph",,"  Phase transitions in compact stars are discussed including hyperonization,
deconfinement and crystalline phases. Reasons why kaon condensation is unlikely
is reviewed. Particular emphasis is placed on the evolution of internal
structure with spin-down of pulsars. A signature of a first order phase
transition in the timing structure of pulsars which is strong and easy to
measure, is identified.
","[{""version"":""v1"",""created"":""Thu, 31 Jul 1997 20:00:02 GMT""}]","2008-11-26"
"astro-ph/9707352","Paul Kimoto","Paul A. Kimoto and David F. Chernoff (Cornell University)","Effects of magnetic fields on radiatively overstable shock waves","11 text pages, LaTeX/AASTeX (aaspp4); 5 figures; accepted by ApJ",,"10.1086/304628",,"astro-ph",,"  We discuss high-resolution simulations of one-dimensional, plane-parallel
shock waves with mean speeds between 150 and 240 km/s propagating into gas with
Alfven velocities up to 40 km/s and outline the conditions under which these
radiative shocks experience an oscillatory instability in the cooling length,
shock velocity, and position of the shock front. We investigate two forms of
postshock cooling: a truncated single power law and a more realistic piecewise
power law. The degree of nonlinearity of the instability depends strongly on
the cooling power law and the Alfven Mach number: for power-law indices \alpha
< 0 typical magnetic field strengths may be insufficient either to stabilize
the fundamental oscillatory mode or to prevent the oscillations from reaching
nonlinear amplitudes.
","[{""version"":""v1"",""created"":""Thu, 31 Jul 1997 20:20:33 GMT""}]","2009-10-30"
"astro-ph/9707353","Markus Boettcher","M. Boettcher (Rice Univ. Houston/MPIfR Bonn), H.-P. Reuter (MPIfR
  Bonn), H. Lesch (Univ. Muenchen)","The radio spectra of galactic nuclei","4 pages, accepted as Letter in A&A, uses epsf.sty, rotate.sty",,,,"astro-ph",,"  We present a model for the inverted radio spectra of active active galactic
nuclei as well as the central regions of normal galaxies. The model is based on
the unified scenario for active galaxies, stating that the central engines of
active galaxies consists of a supermassive black hole surrounded by an
accretion disk and a radio jet. The nuclei of normal (i. e. less active)
galaxies are supposed to be scaled-down versions of the same phenomenon. We
show that the radio emission of a jet component, becoming optically thin to the
radio emission of a monoenergetic pair plasma at decreasing frequencies as it
moves outward and expands, is well suited to explain the observational results.
We present a model calculation for the special case of the nucleus of M~81.
","[{""version"":""v1"",""created"":""Thu, 31 Jul 1997 20:54:50 GMT""}]","2007-05-23"
"astro-ph/9707354","Phil Armitage","Philip J. Armitage (CITA)","The stream-disk interaction","8 pages, including 3 figures. To appear in 13th North American
  workshop on CVs. Paper and color visualizations also available at
  http://www.cita.utoronto.ca/~armitage/stream_disk.html",,,"CITA-97-24","astro-ph",,"  I review theoretical aspects of the interaction between the accretion stream
and the disk in interacting binary systems, concentrating on recent
hydrodynamic calculations. At low accretion rates, cooling is expected to be
efficient, and the interaction leads to a nearly ballistic stream overflowing
the disk rim towards smaller radii. If cooling is ineffectual, the shocked gas
produces a bulge on the disk rim, and there is no coherent stream inward of the
disk edge. Results are presented for the mass fraction and velocity structure
of the overflowing component, and the implications for X-ray observations of
`dips', and doppler tomography of cataclysmic variables are briefly discussed.
","[{""version"":""v1"",""created"":""Thu, 31 Jul 1997 21:12:32 GMT""}]","2007-05-23"
"astro-ph/9708001","John Webb","J. K. Webb, R. F. Carswell, K. M. Lanzetta, R. Ferlet, M. Lemoine, A.
  Vidal-Madjar, D. V. Bowen","A High Deuterium Abundance at z=0.7","6 pages, 1 figure","Nature 388 (1997) 250","10.1038/40814",,"astro-ph",,"  Of the light elements, the primordial abundance of deuterium, (D/H)_p,
provides the most sensitive diagnostic for the cosmological mass density
parameter Omega_B. Recent high redshift (D/H) measurements are highly
discrepant, although this may reflect observational uncertainties. The larger
(D/H) values, which imply a low Omega_B and require the Universe to be
dominated by non-baryonic matter (dynamical studies indicate a higher total
density parameter), cause problems for galactic chemical evolution models since
they have difficulty in reproducing the large decline down to the lower
present-day (D/H). Conversely, low (D/H) values imply an Omega_B greater than
derived from ^7Li and ^4He abundance measurements, and may require a deuterium
abundance evolution that is too low to easily explain. Here we report the first
measurement at intermediate redshift, where the observational difficulties are
smaller, of a gas cloud with ideal characteristics for this experiment. Our
analysis of the z = 0.7010 absorber toward 1718+4807 indicates (D/H) = 2.0 +/-
0.5 x 10^{-4} which is in the high range. This and other independent
observations suggests there may be a cosmological inhomogeneity in (D/H)_p of
at least a factor of ten.
","[{""version"":""v1"",""created"":""Fri, 1 Aug 1997 02:30:15 GMT""}]","2009-10-30"
"astro-ph/9708002","Monika Balucinska-Church","M. J. Church(1,2), T. Dotani(2), M. Balucinska-Church(1,2), K.
  Mitsuda(2), T. Takahashi(2), H. Inoue(2) and K. Yoshida(3) ((1)School of
  Physics and Astronomy, University of Birmingham, UK (2)ISAS, Sagamihara,
  Japan (3)Kanagawa University,Yokohama, Japan)","Simple Photoelectric Absorption during Dipping in the ASCA Observation
  of XB1916-053","9 pages, Latex, 5 eps figures","to be published in Astrophysical Journal, vol. 491 (December 1,
  1997)","10.1086/304936",,"astro-ph",,"  We report results of analysis of the ASCA observation of the Low Mass X-ray
Binary dipping source XB1916-053 made on 1993, May 2nd. We have shown that the
spectra can be well fitted by the same two-component model previously used to
give good explanations of the very different dip sources X1755-338 and
X1624-490, consisting of point-source blackbody emission from the neutron star
plus extended Comptonised emission from the accretion disk corona. In
XB1916-053, all levels of dipping can be fitted using kT_bb= 2.14+/-0.28 keV
and power law photon index = 2.42 +/-0.21. Dipping is shown to be due to large
increases of column density for the point-like blackbody, combined with the
extended power law component being progressively covered by absorber until in
the deepest parts of dips, the partial covering fraction approaches unity. This
approach differs radically from the ``absorbed plus unabsorbed'' approach
previously used in spectral modelling of XB1916-053 and similar sources, in
which the normalisation of the unabsorbed component is allowed to decrease
markedly in dipping, behavior generally attributed to the effects of electron
scattering. Thus we have shown that spectral evolution in XB1916-053 can be
explained simply in terms of photoelectric absorption without the need for
substantial electron scattering. This explanation is supported by calculation
of the relative importance of photoelectric absorption and electron scattering
in the absorbing region which shows that little electron scattering is expected
in the ASCA energy band.
","[{""version"":""v1"",""created"":""Fri, 1 Aug 1997 05:45:10 GMT""}]","2009-10-30"
"astro-ph/9708003","Werner Hofmann","M. Ulrich, A. Daum, G. Hermann and W. Hofmann","An improved technique of image analysis for IACTs and IACT Systems","18 Pages, 8 figures, Latex, uses epsf",,,"MPI H - V 29 - 1997 Subj.-class: Astrophysics","astro-ph",,"  In order to better utilize the information contained in the shower images
generated by imaging Cherenkov telescopes (IACTs) equipped with cameras with
small pixels, images are fit to a parametrization of image shapes gained from
Monte Carlo simulations, treating the shower direction, impact point, and
energy as free parameters. Monte Carlo studies for a system of IACTs predict an
improvement of order 1.5 in the angular resolution. The fitting technique can
also be applied to single-telescope images; simulations indicate that the
shower direction in space can be reconstructed event-by-event with a resolution
of 0.16 deg. to 0.20 deg., allowing to generate genuine source maps. Data from
Crab observations with a single HEGRA telescope confirm this prediction.
","[{""version"":""v1"",""created"":""Fri, 1 Aug 1997 08:42:59 GMT""}]","2007-05-23"
